"the other"-pronoun-en "l'altre"-pronoun-ca
"de manera confusa"-adverb-ca "confusingly"-adverb-en
"constructively"-adverb-en "constructivament"-adverb-ca
"constructivament"-adverb-ca "constructively"-adverb-en
"contemporaneously"-adverb-en "de manera contemporània"-adverb-ca
"de manera contemporània"-adverb-ca "contemporaneously"-adverb-en
"contrary to all appearances"-adverb-en "en contra de les aparences"-adverb-ca
"en contra de les aparences"-adverb-ca "contrary to all appearances"-adverb-en
"contrary to expectations"-adverb-en "en contra de les expectatives"-adverb-ca
"en contra de les expectatives"-adverb-ca "contrary to expectations"-adverb-en
"contrary to popular belief"-adverb-en "en contra de la creença popular"-adverb-ca
"en contra de la creença popular"-adverb-ca "contrary to popular belief"-adverb-en
"controversially"-adverb-en "controvertidament"-adverb-ca
"controvertidament"-adverb-ca "controversially"-adverb-en
"d'amagat"-adverb-ca "surreptitiously"-adverb-en
"surreptitiously"-adverb-en "d'amagat"-adverb-ca
"credibly"-adverb-en "de manera convincent"-adverb-ca
"de manera convincent"-adverb-ca "credibly"-adverb-en
"cryptographically"-adverb-en "criptogràficament"-adverb-ca
"criptogràficament"-adverb-ca "cryptographically"-adverb-en
"cumulatively"-adverb-en "de manera acumulativa"-adverb-ca
"de manera acumulativa"-adverb-ca "cumulatively"-adverb-en
"day after day"-adverb-en "dia rere dia"-adverb-ca
"dia rere dia"-adverb-ca "day after day"-adverb-en
"day by day"-adverb-en "de dia en dia"-adverb-ca
"de dia en dia"-adverb-ca "day by day"-adverb-en
"dear Sir/Madam"-adverb-en "benvolgut/da senyor/a"-adverb-ca
"benvolgut/da senyor/a"-adverb-ca "dear Sir/Madam"-adverb-en
"dear"-adverb-en "benvolgut/da"-adverb-ca
"dear"-adverb-en "benvolguts/des"-adverb-ca
"benvolgut/da"-adverb-ca "dear"-adverb-en
"benvolguts/des"-adverb-ca "dear"-adverb-en
"deceptively"-adverb-en "enganyosament"-adverb-ca
"enganyosament"-adverb-ca "deceptively"-adverb-en
"enganyosament"-adverb-ca "misleadingly"-adverb-en
"misleadingly"-adverb-en "enganyosament"-adverb-ca
"decidedly"-adverb-en "decididament"-adverb-ca
"decididament"-adverb-ca "decidedly"-adverb-en
"decididament"-adverb-ca "resolutely"-adverb-en
"resolutely"-adverb-en "decididament"-adverb-ca
"decrescendo"-adverb-en "decrescendo"-adverb-ca
"decrescendo"-adverb-ca "decrescendo"-adverb-en
"deep into the night"-adverb-en "a negra nit"-adverb-ca
"a negra nit"-adverb-ca "deep into the night"-adverb-en
"a negra nit"-adverb-ca "far into the night"-adverb-en
"a negra nit"-adverb-ca "in the middle of the night"-adverb-en
"far into the night"-adverb-en "a negra nit"-adverb-ca
"in the middle of the night"-adverb-en "a negra nit"-adverb-ca
"defiantly"-adverb-en "amb actitud desafiant"-adverb-ca
"amb actitud desafiant"-adverb-ca "defiantly"-adverb-en
"demonstrably"-adverb-en "demostrablement"-adverb-ca
"demostrablement"-adverb-ca "demonstrably"-adverb-en
"derisively"-adverb-en "burlonament"-adverb-ca
"burlonament"-adverb-ca "derisively"-adverb-en
"deterministically"-adverb-en "de manera determinista"-adverb-ca
"de manera determinista"-adverb-ca "deterministically"-adverb-en
"devoutly"-adverb-en "devotament"-adverb-ca
"devotament"-adverb-ca "devoutly"-adverb-en
"dimensionally"-adverb-en "dimensionalment"-adverb-ca
"dimensionalment"-adverb-ca "dimensionally"-adverb-en
"dimly"-adverb-en "tènuement"-adverb-ca
"tènuement"-adverb-ca "dimly"-adverb-en
"disparagingly"-adverb-en "despectivament"-adverb-ca
"despectivament"-adverb-ca "disparagingly"-adverb-en
"distantly"-adverb-en "vagament"-adverb-ca
"vagament"-adverb-ca "distantly"-adverb-en
"vagament"-adverb-ca "vaguely"-adverb-en
"vaguely"-adverb-en "vagament"-adverb-ca
"distinctively"-adverb-en "distintivament"-adverb-ca
"distintivament"-adverb-ca "distinctively"-adverb-en
"dominantly"-adverb-en "de manera dominant"-adverb-ca
"de manera dominant"-adverb-ca "dominantly"-adverb-en
"eastward"-adverb-en "cap a l'est"-adverb-ca
"cap a l'est"-adverb-ca "eastward"-adverb-en
"cap a l'est"-adverb-ca "to the east"-adverb-en
"to the east"-adverb-en "cap a l'est"-adverb-ca
"either all or nothing"-adverb-en "o tot o res"-adverb-ca
"o tot o res"-adverb-ca "either all or nothing"-adverb-en
"elaborately"-adverb-en "elaboradament"-adverb-ca
"elaboradament"-adverb-ca "elaborately"-adverb-en
"eloquently"-adverb-en "eloqüentment"-adverb-ca
"eloqüentment"-adverb-ca "eloquently"-adverb-en
"eminently"-adverb-en "eminetment"-adverb-ca
"eminetment"-adverb-ca "eminently"-adverb-en
"endways"-adverb-en "de punta"-adverb-ca
"de punta"-adverb-ca "endways"-adverb-en
"endwise"-adverb-en "de cantó"-adverb-ca
"de cantó"-adverb-ca "endwise"-adverb-en
"equivalently"-adverb-en "equivalently"-adverb-ca
"equivalently"-adverb-ca "equivalently"-adverb-en
"et al"-adverb-en "et al"-adverb-ca
"et al"-adverb-ca "et al"-adverb-en
"euphemistically"-adverb-en "eufemísticament"-adverb-ca
"eufemísticament"-adverb-ca "euphemistically"-adverb-en
"encara més"-adverb-ca "what is more"-adverb-en
"what is more"-adverb-en "encara més"-adverb-ca
"every once in a while"-adverb-en "molt de tant en tant"-adverb-ca
"molt de tant en tant"-adverb-ca "every once in a while"-adverb-en
"evolutionarily"-adverb-en "de manera evolutiva"-adverb-ca
"de manera evolutiva"-adverb-ca "evolutionarily"-adverb-en
"exactly the same way"-adverb-en "just de la mateixa manera"-adverb-ca
"just de la mateixa manera"-adverb-ca "exactly the same way"-adverb-en
"excellently"-adverb-en "excel·lentment"-adverb-ca
"excel·lentment"-adverb-ca "excellently"-adverb-en
"excitedly"-adverb-en "amb emoció"-adverb-ca
"amb emoció"-adverb-ca "excitedly"-adverb-en
"explosively"-adverb-en "explosivament"-adverb-ca
"explosivament"-adverb-ca "explosively"-adverb-en
"exquisitely"-adverb-en "exquisitament"-adverb-ca
"exquisitament"-adverb-ca "exquisitely"-adverb-en
"extravagantly"-adverb-en "profusament"-adverb-ca
"profusament"-adverb-ca "extravagantly"-adverb-en
"faintly"-adverb-en "dèbilment"-adverb-ca
"dèbilment"-adverb-ca "faintly"-adverb-en
"fair and square"-adverb-en "de manera clara"-adverb-ca
"de manera clara"-adverb-ca "fair and square"-adverb-en
"familiarly"-adverb-en "familiarment"-adverb-ca
"familiarment"-adverb-ca "familiarly"-adverb-en
"famously"-adverb-en "com tothom sap"-adverb-ca
"com tothom sap"-adverb-ca "famously"-adverb-en
"far back in the past"-adverb-en "en altre temps"-adverb-ca
"en altre temps"-adverb-ca "far back in the past"-adverb-en
"en altre temps"-adverb-ca "in old days"-adverb-en
"en altre temps"-adverb-ca "in old times"-adverb-en
"in old days"-adverb-en "en altre temps"-adverb-ca
"in old times"-adverb-en "en altre temps"-adverb-ca
"far behind"-adverb-en "molt arrere"-adverb-ca
"molt arrere"-adverb-ca "far behind"-adverb-en
"far too long"-adverb-en "massa llarg"-adverb-ca
"massa llarg"-adverb-ca "far too long"-adverb-en
"far too soon"-adverb-en "massa d'hora"-adverb-ca
"massa d'hora"-adverb-ca "far too soon"-adverb-en
"federally"-adverb-en "federalment"-adverb-ca
"federalment"-adverb-ca "federally"-adverb-en
"fervently"-adverb-en "amb fervor"-adverb-ca
"amb fervor"-adverb-ca "fervently"-adverb-en
"finitely"-adverb-en "finitament"-adverb-ca
"finitament"-adverb-ca "finitely"-adverb-en
"flexibly"-adverb-en "flexiblement"-adverb-ca
"flexiblement"-adverb-ca "flexibly"-adverb-en
"for a brief period"-adverb-en "per un període breu"-adverb-ca
"per un període breu"-adverb-ca "for a brief period"-adverb-en
"for a change"-adverb-en "per variar"-adverb-ca
"per variar"-adverb-ca "for a change"-adverb-en
"for a good cause"-adverb-en "per una causa justa"-adverb-ca
"per una causa justa"-adverb-ca "for a good cause"-adverb-en
"for a limited time"-adverb-en "un temps limitat"-adverb-ca
"un temps limitat"-adverb-ca "for a limited time"-adverb-en
"for a short term"-adverb-en "un temps curt"-adverb-ca
"un temps curt"-adverb-ca "for a short term"-adverb-en
"for a year and a day"-adverb-en "un any i un dia"-adverb-ca
"un any i un dia"-adverb-ca "for a year and a day"-adverb-en
"for ages"-adverb-en "durant molt temps"-adverb-ca
"durant molt temps"-adverb-ca "for ages"-adverb-en
"for all it is worth"-adverb-en "per si serveix d'alguna cosa"-adverb-ca
"per si serveix d'alguna cosa"-adverb-ca "for all it is worth"-adverb-en
"for all practical purposes"-adverb-en "per raons pràctiques"-adverb-ca
"per raons pràctiques"-adverb-ca "for all practical purposes"-adverb-en
"for control purposes"-adverb-en "per raons de control"-adverb-ca
"per raons de control"-adverb-ca "for control purposes"-adverb-en
"for days"-adverb-en "molts dies"-adverb-ca
"molts dies"-adverb-ca "for days"-adverb-en
"for free"-adverb-en "de franc"-adverb-ca
"de franc"-adverb-ca "for free"-adverb-en
"de franc"-adverb-ca "free of charge"-adverb-en
"de franc"-adverb-ca "without charge"-adverb-en
"free of charge"-adverb-en "de franc"-adverb-ca
"without charge"-adverb-en "de franc"-adverb-ca
"per l'amor de Déu"-adverb-ca "for heaven's sake"-adverb-en
"for heaven's sake"-adverb-en "per l'amor de Déu"-adverb-ca
"for her sake"-adverb-en "per ella"-adverb-ca
"per ella"-adverb-ca "for her sake"-adverb-en
"for his sake"-adverb-en "per ell"-adverb-ca
"per ell"-adverb-ca "for his sake"-adverb-en
"for hours"-adverb-en "moltes hores"-adverb-ca
"moltes hores"-adverb-ca "for hours"-adverb-en
"for lack of evidence"-adverb-en "per falta d'evidència"-adverb-ca
"per falta d'evidència"-adverb-ca "for lack of evidence"-adverb-en
"for minutes"-adverb-en "durant uns minuts"-adverb-ca
"durant uns minuts"-adverb-ca "for minutes"-adverb-en
"for my part"-adverb-en "per part meua"-adverb-ca
"for my part"-adverb-en "per part meva"-adverb-ca
"per part meua"-adverb-ca "for my part"-adverb-en
"per part meva"-adverb-ca "for my part"-adverb-en
"for naught"-adverb-en "per res"-adverb-ca
"per res"-adverb-ca "for naught"-adverb-en
"per res"-adverb-ca "for nought"-adverb-en
"for nought"-adverb-en "per res"-adverb-ca
"for no particular reason"-adverb-en "sense cap raó particular"-adverb-ca
"sense cap raó particular"-adverb-ca "for no particular reason"-adverb-en
"for our part"-adverb-en "per part nostra"-adverb-ca
"per part nostra"-adverb-ca "for our part"-adverb-en
"for quite a while"-adverb-en "bastant temps"-adverb-ca
"bastant temps"-adverb-ca "for quite a while"-adverb-en
"for seconds"-adverb-en "durant uns segons"-adverb-ca
"durant uns segons"-adverb-ca "for seconds"-adverb-en
"for short"-adverb-en "per poca estona"-adverb-ca
"per poca estona"-adverb-ca "for short"-adverb-en
"for six months"-adverb-en "per sis mesos"-adverb-ca
"per sis mesos"-adverb-ca "for six months"-adverb-en
"for the best"-adverb-en "per bé"-adverb-ca
"per bé"-adverb-ca "for the best"-adverb-en
"per bé"-adverb-ca "for the better"-adverb-en
"for the better"-adverb-en "per bé"-adverb-ca
"for the following reasons"-adverb-en "per les raons següents"-adverb-ca
"per les raons següents"-adverb-ca "for the following reasons"-adverb-en
"for the rest"-adverb-en "pel que fa a la resta"-adverb-ca
"pel que fa a la resta"-adverb-ca "for the rest"-adverb-en
"for the sake of appearances"-adverb-en "en nom de les aparences"-adverb-ca
"en nom de les aparences"-adverb-ca "for the sake of appearances"-adverb-en
"for the sake of decency"-adverb-en "en nom de la decència"-adverb-ca
"en nom de la decència"-adverb-ca "for the sake of decency"-adverb-en
"for the sake of order"-adverb-en "en nom de l'ordre"-adverb-ca
"en nom de l'ordre"-adverb-ca "for the sake of order"-adverb-en
"for their sake"-adverb-en "en nom seu"-adverb-ca
"en nom seu"-adverb-ca "for their sake"-adverb-en
"en nom seu"-adverb-ca "on behalf"-adverb-en
"en nom seu"-adverb-ca "on her account"-adverb-en
"en nom seu"-adverb-ca "on their account"-adverb-en
"on behalf"-adverb-en "en nom seu"-adverb-ca
"on her account"-adverb-en "en nom seu"-adverb-ca
"on their account"-adverb-en "en nom seu"-adverb-ca
"for weeks on end"-adverb-en "durant setmanes seguides"-adverb-ca
"durant setmanes seguides"-adverb-ca "for weeks on end"-adverb-en
"for weeks"-adverb-en "durant setmanes"-adverb-ca
"durant setmanes"-adverb-ca "for weeks"-adverb-en
"for years on end"-adverb-en "durant anys seguits"-adverb-ca
"durant anys seguits"-adverb-ca "for years on end"-adverb-en
"for years"-adverb-en "durant anys"-adverb-ca
"durant anys"-adverb-ca "for years"-adverb-en
"forcibly"-adverb-en "forçadament"-adverb-ca
"forçadament"-adverb-ca "forcibly"-adverb-en
"fore and aft"-adverb-en "a proa i a babord"-adverb-ca
"a proa i a babord"-adverb-ca "fore and aft"-adverb-en
"fractionally"-adverb-en "fraccionalment"-adverb-ca
"fraccionalment"-adverb-ca "fractionally"-adverb-en
"free of interference"-adverb-en "sense interferències"-adverb-ca
"sense interferències"-adverb-ca "free of interference"-adverb-en
"des de sobre"-adverb-ca "from behind"-adverb-en
"from behind"-adverb-en "des de sobre"-adverb-ca
"from all parts"-adverb-en "de totes bandes"-adverb-ca
"de totes bandes"-adverb-ca "from all parts"-adverb-en
"de totes bandes"-adverb-ca "from all sides"-adverb-en
"from all sides"-adverb-en "de totes bandes"-adverb-ca
"from ancient times"-adverb-en "des de temps antics"-adverb-ca
"des de temps antics"-adverb-ca "from ancient times"-adverb-en
"des de temps antics"-adverb-ca "since ancient times"-adverb-en
"since ancient times"-adverb-en "des de temps antics"-adverb-ca
"de cap a cap"-adverb-ca "from end to end"-adverb-en
"de cap a cap"-adverb-ca "through and through"-adverb-en
"from end to end"-adverb-en "de cap a cap"-adverb-ca
"through and through"-adverb-en "de cap a cap"-adverb-ca
"from day to day"-adverb-en "d'un dia a l'altre"-adverb-ca
"d'un dia a l'altre"-adverb-ca "from day to day"-adverb-en
"from door to door"-adverb-en "de porta a porta"-adverb-ca
"de porta a porta"-adverb-ca "from door to door"-adverb-en
"from elsewhere"-adverb-en "de qualsevol altre lloc"-adverb-ca
"de qualsevol altre lloc"-adverb-ca "from elsewhere"-adverb-en
"from first to last"-adverb-en "des del principi fins al final"-adverb-ca
"des del principi fins al final"-adverb-ca "from first to last"-adverb-en
"from nowhere"-adverb-en "d'enlloc"-adverb-ca
"d'enlloc"-adverb-ca "from nowhere"-adverb-en
"from one day to the next"-adverb-en "d'un dia per l'altre"-adverb-ca
"d'un dia per l'altre"-adverb-ca "from one day to the next"-adverb-en
"from overseas"-adverb-en "des de l'estranger"-adverb-ca
"des de l'estranger"-adverb-ca "from overseas"-adverb-en
"from place to place"-adverb-en "de lloc en lloc"-adverb-ca
"de lloc en lloc"-adverb-ca "from place to place"-adverb-en
"from somewhere else"-adverb-en "d'alguna altra banda"-adverb-ca
"d'alguna altra banda"-adverb-ca "from somewhere else"-adverb-en
"from start to finish"-adverb-en "del principi fins al final"-adverb-ca
"del principi fins al final"-adverb-ca "from start to finish"-adverb-en
"from the back"-adverb-en "des del darrere"-adverb-ca
"des del darrere"-adverb-ca "from the back"-adverb-en
"des del principi"-adverb-ca "from the first"-adverb-en
"des del principi"-adverb-ca "from the start"-adverb-en
"from the first"-adverb-en "des del principi"-adverb-ca
"from the start"-adverb-en "des del principi"-adverb-ca
"from the front"-adverb-en "des del davant"-adverb-ca
"des del davant"-adverb-ca "from the front"-adverb-en
"des del davant"-adverb-ca "from up front"-adverb-en
"from up front"-adverb-en "des del davant"-adverb-ca
"from the horse's mouth"-adverb-en "de bona font"-adverb-ca
"de bona font"-adverb-ca "from the horse's mouth"-adverb-en
"from the inside"-adverb-en "des de dins"-adverb-ca
"des de dins"-adverb-ca "from the inside"-adverb-en
"from the left"-adverb-en "des de l'esquerra"-adverb-ca
"des de l'esquerra"-adverb-ca "from the left"-adverb-en
"from the outside"-adverb-en "des de fora"-adverb-ca
"des de fora"-adverb-ca "from the outside"-adverb-en
"from the rear"-adverb-en "des de darrere"-adverb-ca
"des de darrere"-adverb-ca "from the rear"-adverb-en
"from the right"-adverb-en "des de la dreta"-adverb-ca
"des de la dreta"-adverb-ca "from the right"-adverb-en
"from time immemorial"-adverb-en "des de temps immemorials"-adverb-ca
"des de temps immemorials"-adverb-ca "from time immemorial"-adverb-en
"des de temps immemorials"-adverb-ca "since time immemorial"-adverb-en
"since time immemorial"-adverb-en "des de temps immemorials"-adverb-ca
"from top to bottom"-adverb-en "de dalt a baix"-adverb-ca
"de dalt a baix"-adverb-ca "from top to bottom"-adverb-en
"de dalt a baix"-adverb-ca "from top to toe"-adverb-en
"from top to toe"-adverb-en "de dalt a baix"-adverb-ca
"from week to week"-adverb-en "de setmana en setmana"-adverb-ca
"de setmana en setmana"-adverb-ca "from week to week"-adverb-en
"full stretch"-adverb-en "a tot gas"-adverb-ca
"a tot gas"-adverb-ca "full stretch"-adverb-en
"full time"-adverb-en "a jornada plena"-adverb-ca
"a jornada plena"-adverb-ca "full time"-adverb-en
"further to the left"-adverb-en "més cap a l'esquerra"-adverb-ca
"més cap a l'esquerra"-adverb-ca "further to the left"-adverb-en
"further to the right"-adverb-en "més cap a la dreta"-adverb-ca
"més cap a la dreta"-adverb-ca "further to the right"-adverb-en
"gratefully"-adverb-en "agraïdament"-adverb-ca
"agraïdament"-adverb-ca "gratefully"-adverb-en
"gravitationally"-adverb-en "gravitacionalment"-adverb-ca
"gravitacionalment"-adverb-ca "gravitationally"-adverb-en
"harmlessly"-adverb-en "inofensivament"-adverb-ca
"inofensivament"-adverb-ca "harmlessly"-adverb-en
"headfirst"-adverb-en "de cap"-adverb-ca
"de cap"-adverb-ca "headfirst"-adverb-en
"heavenward"-adverb-en "cap al cel"-adverb-ca
"cap al cel"-adverb-ca "heavenward"-adverb-en
"cap al cel"-adverb-ca "heavenwards"-adverb-en
"cap al cel"-adverb-ca "skyward"-adverb-en
"heavenwards"-adverb-en "cap al cel"-adverb-ca
"skyward"-adverb-en "cap al cel"-adverb-ca
"aquí i allà"-adverb-ca "hither and thither"-adverb-en
"hither and thither"-adverb-en "aquí i allà"-adverb-ca
"fins aquí"-adverb-ca "so far and no further"-adverb-en
"fins aquí"-adverb-ca "thus far"-adverb-en
"so far and no further"-adverb-en "fins aquí"-adverb-ca
"thus far"-adverb-en "fins aquí"-adverb-ca
"hotly"-adverb-en "acaloradament"-adverb-ca
"acaloradament"-adverb-ca "hotly"-adverb-en
"hour after hour"-adverb-en "hora rere hora"-adverb-ca
"hora rere hora"-adverb-ca "hour after hour"-adverb-en
"hourly"-adverb-en "cada hora"-adverb-ca
"cada hora"-adverb-ca "hourly"-adverb-en
"if it be so"-adverb-en "si aquest fos el cas"-adverb-ca
"si aquest fos el cas"-adverb-ca "if it be so"-adverb-en
"if it comes to that"-adverb-en "si s'arriba a tal extrem"-adverb-ca
"si s'arriba a tal extrem"-adverb-ca "if it comes to that"-adverb-en
"if need be"-adverb-en "si cal"-adverb-ca
"si cal"-adverb-ca "if need be"-adverb-en
"si cal"-adverb-ca "if needed"-adverb-en
"si cal"-adverb-ca "if required"-adverb-en
"if needed"-adverb-en "si cal"-adverb-ca
"if required"-adverb-en "si cal"-adverb-ca
"if negative"-adverb-en "en cas negatiu"-adverb-ca
"en cas negatiu"-adverb-ca "if negative"-adverb-en
"if that's the case"-adverb-en "si és el cas"-adverb-ca
"si és el cas"-adverb-ca "if that's the case"-adverb-en
"imprecisely"-adverb-en "de manera imprecisa"-adverb-ca
"de manera imprecisa"-adverb-ca "imprecisely"-adverb-en
"inadequately"-adverb-en "inadequadament"-adverb-ca
"inadequadament"-adverb-ca "inadequately"-adverb-en
"inadvertently"-adverb-en "sense voler"-adverb-ca
"sense voler"-adverb-ca "inadvertently"-adverb-en
"inappropriately"-adverb-en "inapropiadament"-adverb-ca
"inapropiadament"-adverb-ca "inappropriately"-adverb-en
"in a fashion"-adverb-en "de moda"-adverb-ca
"de moda"-adverb-ca "in a fashion"-adverb-en
"de moda"-adverb-ca "in fashion"-adverb-en
"in fashion"-adverb-en "de moda"-adverb-ca
"in a landward direction"-adverb-en "en direcció a terra"-adverb-ca
"en direcció a terra"-adverb-ca "in a landward direction"-adverb-en
"en direcció nord-est"-adverb-ca "in a northeastwardly direction"-adverb-en
"in a northeastwardly direction"-adverb-en "en direcció nord-est"-adverb-ca
"en direcció nord"-adverb-ca "in a northwardly direction"-adverb-en
"in a northwardly direction"-adverb-en "en direcció nord"-adverb-ca
"en direcció nord-oest"-adverb-ca "in a northwestwardly direction"-adverb-en
"in a northwestwardly direction"-adverb-en "en direcció nord-oest"-adverb-ca
"en un moment"-adverb-ca "in no time at all"-adverb-en
"in no time at all"-adverb-en "en un moment"-adverb-ca
"in absentia"-adverb-en "in absentia"-adverb-ca
"in absentia"-adverb-ca "in absentia"-adverb-en
"in a short space of time"-adverb-en "en poc temps"-adverb-ca
"en poc temps"-adverb-ca "in a short space of time"-adverb-en
"en poc temps"-adverb-ca "in no time"-adverb-en
"in no time"-adverb-en "en poc temps"-adverb-ca
"in a skyward direction"-adverb-en "en direcció al cel"-adverb-ca
"en direcció al cel"-adverb-ca "in a skyward direction"-adverb-en
"en direcció sud-est"-adverb-ca "in a southeastwardly direction"-adverb-en
"in a southeastwardly direction"-adverb-en "en direcció sud-est"-adverb-ca
"en direcció sud"-adverb-ca "in a southwardly direction"-adverb-en
"in a southwardly direction"-adverb-en "en direcció sud"-adverb-ca
"en direcció sud-oest"-adverb-ca "in a southwestwardly direction"-adverb-en
"in a southwestwardly direction"-adverb-en "en direcció sud-oest"-adverb-ca
"in a stereotyped way"-adverb-en "de manera estereotipada"-adverb-ca
"de manera estereotipada"-adverb-ca "in a stereotyped way"-adverb-en
"in a vacuum"-adverb-en "al buit"-adverb-ca
"al buit"-adverb-ca "in a vacuum"-adverb-en
"en direcció oest"-adverb-ca "in a westwardly direction"-adverb-en
"in a westwardly direction"-adverb-en "en direcció oest"-adverb-ca
"en acció"-adverb-ca "into action"-adverb-en
"into action"-adverb-en "en acció"-adverb-ca
"in all but name"-adverb-en "a la pràctica"-adverb-ca
"a la pràctica"-adverb-ca "in all but name"-adverb-en
"in all weathers"-adverb-en "amb bon o mal temps"-adverb-ca
"amb bon o mal temps"-adverb-ca "in all weathers"-adverb-en
"en direcció est"-adverb-ca "in an eastwardly direction"-adverb-en
"in an eastwardly direction"-adverb-en "en direcció est"-adverb-ca
"in another place"-adverb-en "a un altre lloc"-adverb-ca
"a un altre lloc"-adverb-ca "in another place"-adverb-en
"in any event"-adverb-en "en tot cas"-adverb-ca
"en tot cas"-adverb-ca "in any event"-adverb-en
"in attendance"-adverb-en "de servei"-adverb-ca
"de servei"-adverb-ca "in attendance"-adverb-en
"de servei"-adverb-ca "on duty"-adverb-en
"on duty"-adverb-en "de servei"-adverb-ca
"en flor"-adverb-ca "in blossom"-adverb-en
"en flor"-adverb-ca "in flower"-adverb-en
"en flor"-adverb-ca "in full bloom"-adverb-en
"en flor"-adverb-ca "in full blossom"-adverb-en
"in blossom"-adverb-en "en flor"-adverb-ca
"in flower"-adverb-en "en flor"-adverb-ca
"in full bloom"-adverb-en "en flor"-adverb-ca
"in full blossom"-adverb-en "en flor"-adverb-ca
"in brackets"-adverb-en "entre parèntesis"-adverb-ca
"entre parèntesis"-adverb-ca "in brackets"-adverb-en
"in capital letters"-adverb-en "en majúscules"-adverb-ca
"en majúscules"-adverb-ca "in capital letters"-adverb-en
"in case"-adverb-en "per si de cas"-adverb-ca
"per si de cas"-adverb-ca "in case"-adverb-en
"per si de cas"-adverb-ca "just to be on the safe side"-adverb-en
"per si de cas"-adverb-ca "just to be safe"-adverb-en
"per si de cas"-adverb-ca "on the off-chance"-adverb-en
"just to be on the safe side"-adverb-en "per si de cas"-adverb-ca
"just to be safe"-adverb-en "per si de cas"-adverb-ca
"on the off-chance"-adverb-en "per si de cas"-adverb-ca
"in charge"-adverb-en "al càrrec"-adverb-ca
"al càrrec"-adverb-ca "in charge"-adverb-en
"al càrrec"-adverb-ca "in office"-adverb-en
"in office"-adverb-en "al càrrec"-adverb-ca
"in collaboration"-adverb-en "en col·laboració"-adverb-ca
"en col·laboració"-adverb-ca "in collaboration"-adverb-en
"in color"-adverb-en "en color"-adverb-ca
"en color"-adverb-ca "in color"-adverb-en
"in days to come"-adverb-en "en el futur"-adverb-ca
"en el futur"-adverb-ca "in days to come"-adverb-en
"en el futur"-adverb-ca "in future"-adverb-en
"en el futur"-adverb-ca "in the days to come"-adverb-en
"en el futur"-adverb-ca "in the hereafter"-adverb-en
"in future"-adverb-en "en el futur"-adverb-ca
"in the days to come"-adverb-en "en el futur"-adverb-ca
"in the hereafter"-adverb-en "en el futur"-adverb-ca
"in debt"-adverb-en "en deute"-adverb-ca
"en deute"-adverb-ca "in debt"-adverb-en
"in deep water"-adverb-en "amb l'aigua al coll"-adverb-ca
"amb l'aigua al coll"-adverb-ca "in deep water"-adverb-en
"in deficit"-adverb-en "en dèficit"-adverb-ca
"en dèficit"-adverb-ca "in deficit"-adverb-en
"in disarray"-adverb-en "en una situació caòtica"-adverb-ca
"en una situació caòtica"-adverb-ca "in disarray"-adverb-en
"in disgrace"-adverb-en "en desgràcia"-adverb-ca
"en desgràcia"-adverb-ca "in disgrace"-adverb-en
"en desgràcia"-adverb-ca "into disgrace"-adverb-en
"en desgràcia"-adverb-ca "out of favor"-adverb-en
"en desgràcia"-adverb-ca "out of favour"-adverb-en
"into disgrace"-adverb-en "en desgràcia"-adverb-ca
"out of favor"-adverb-en "en desgràcia"-adverb-ca
"out of favour"-adverb-en "en desgràcia"-adverb-ca
"in dispute"-adverb-en "en disputa"-adverb-ca
"en disputa"-adverb-ca "in dispute"-adverb-en
"in disrepute"-adverb-en "en descrèdit"-adverb-ca
"en descrèdit"-adverb-ca "in disrepute"-adverb-en
"in dock"-adverb-en "a port"-adverb-ca
"a port"-adverb-ca "in dock"-adverb-en
"in due form"-adverb-en "en la forma deguda"-adverb-ca
"en la forma deguda"-adverb-ca "in due form"-adverb-en
"in equal shares"-adverb-en "a parts iguals"-adverb-ca
"a parts iguals"-adverb-ca "in equal shares"-adverb-en
"in equilibrium"-adverb-en "en equilibri"-adverb-ca
"en equilibri"-adverb-ca "in equilibrium"-adverb-en
"en equilibri"-adverb-ca "on an even keel"-adverb-en
"on an even keel"-adverb-en "en equilibri"-adverb-ca
"in every possible way"-adverb-en "en tots els sentits"-adverb-ca
"en tots els sentits"-adverb-ca "in every possible way"-adverb-en
"en tots els sentits"-adverb-ca "in every sense"-adverb-en
"in every sense"-adverb-en "en tots els sentits"-adverb-ca
"in every sense of the word"-adverb-en "en tots els sentits de la paraula"-adverb-ca
"en tots els sentits de la paraula"-adverb-ca "in every sense of the word"-adverb-en
"in full sail"-adverb-en "a plenes veles"-adverb-ca
"a plenes veles"-adverb-ca "in full sail"-adverb-en
"in full"-adverb-en "en ple"-adverb-ca
"en ple"-adverb-ca "in full"-adverb-en
"in fun"-adverb-en "de broma"-adverb-ca
"de broma"-adverb-ca "in fun"-adverb-en
"de broma"-adverb-ca "in jest"-adverb-en
"in jest"-adverb-en "de broma"-adverb-ca
"amb la consciència tranquil·la"-adverb-ca "with a clear conscience"-adverb-en
"with a clear conscience"-adverb-en "amb la consciència tranquil·la"-adverb-ca
"in good hands"-adverb-en "en bones mans"-adverb-ca
"en bones mans"-adverb-ca "in good hands"-adverb-en
"en bones mans"-adverb-ca "in safe hands"-adverb-en
"in safe hands"-adverb-en "en bones mans"-adverb-ca
"in good time"-adverb-en "amb temps"-adverb-ca
"amb temps"-adverb-ca "in good time"-adverb-en
"amb temps"-adverb-ca "with time"-adverb-en
"with time"-adverb-en "amb temps"-adverb-ca
"in large part"-adverb-en "en gran part"-adverb-ca
