"algun"-determiner-ca "certain"-determiner-fr
"d'abord"-adverb-fr "primerament"-adverb-ca
"d'abord"-adverb-fr "en primer lloc"-adverb-ca
"premièrement"-adverb-fr "primerament"-adverb-ca
"premièrement"-adverb-fr "primer"-adverb-ca
"en primer lloc"-adverb-ca "d'abord"-adverb-fr
"en primer lloc"-adverb-ca "tout d'abord"-adverb-fr
"primer"-adverb-ca "premièrement"-adverb-fr
"tout d'abord"-adverb-fr "en primer lloc"-adverb-ca
"secretament"-adverb-ca "en secret"-adverb-fr
"en secret"-adverb-fr "secretament"-adverb-ca
"gratuitement"-adverb-fr "gratis"-adverb-ca
"gratis"-adverb-ca "gratuitement"-adverb-fr
"dins"-adverb-ca "à l'intérieur"-adverb-fr
"à l'intérieur"-adverb-fr "dins"-adverb-ca
"à l'intérieur"-adverb-fr "endins"-adverb-ca
"à l'intérieur"-adverb-fr "dintre"-adverb-ca
"à l'intérieur"-adverb-fr "a dins"-adverb-ca
"à l'intérieur"-adverb-fr "a dintre"-adverb-ca
"endins"-adverb-ca "à l'intérieur"-adverb-fr
"dintre"-adverb-ca "à l'intérieur"-adverb-fr
"a dins"-adverb-ca "à l'intérieur"-adverb-fr
"a dintre"-adverb-ca "à l'intérieur"-adverb-fr
"unànimement"-adverb-ca "à l'unanimité"-adverb-fr
"à l'unanimité"-adverb-fr "unànimement"-adverb-ca
"indígena"-noun-ca "aborigène"-noun-fr
"aborigène"-noun-fr "indígena"-noun-ca
"estabilització"-noun-ca "consolidation"-noun-fr
"consolidation"-noun-fr "estabilització"-noun-ca
"brigand"-noun-fr "bandit"-noun-ca
"bandit"-noun-ca "brigand"-noun-fr
"mondialisation"-noun-fr "globalització"-noun-ca
"globalització"-noun-ca "mondialisation"-noun-fr
"Florido"-properNoun-ca "Floride"-properNoun-fr
"Floride"-properNoun-fr "Florido"-properNoun-ca
"Foix"-properNoun-ca "Fois"-noun-fr
"Foix"-properNoun-ca "Fois"-properNoun-fr
"Fois"-noun-fr "Foix"-properNoun-ca
"Fois"-properNoun-fr "Foix"-properNoun-ca
