"avoir l'habitude de"-verb-fr "tener la costumbre de"-verb-es
"oficiar"-verb-es "officier"-verb-fr
"Dax"-properNoun-fr "Dax"-properNoun-es
"Dax"-properNoun-es "Dax"-properNoun-fr
"Pointe-à-Pitre"-properNoun-fr "Pointe-à-Pitre"-properNoun-es
"Pointe-à-Pitre"-properNoun-es "Pointe-à-Pitre"-properNoun-fr
"étanchéité"-noun-fr "estanqueidad"-noun-es
"estanqueidad"-noun-es "étanchéité"-noun-fr
"Châteauroux"-properNoun-fr "Châteauroux"-properNoun-es
"Châteauroux"-properNoun-es "Châteauroux"-properNoun-fr
"Guingamp"-properNoun-fr "Guingamp"-properNoun-es
"Guingamp"-properNoun-es "Guingamp"-properNoun-fr
"profanation"-noun-fr "profanación"-noun-es
"profanación"-noun-es "profanation"-noun-fr
"Altavista"-properNoun-fr "Altavista"-properNoun-es
"Altavista"-properNoun-es "Altavista"-properNoun-fr
"Anjelica Huston"-properNoun-fr "Anjelica Huston"-properNoun-es
"Anjelica Huston"-properNoun-es "Anjelica Huston"-properNoun-fr
"tél"-noun-fr "tfno"-noun-es
"tfno"-noun-es "tél"-noun-fr
"Arbelaitz"-properNoun-fr "Arbelaitz"-properNoun-es
"Arbelaitz"-properNoun-es "Arbelaitz"-properNoun-fr
"redonner"-verb-fr "volver a dar"-verb-es
"volver a dar"-verb-es "redonner"-verb-fr
"incommunicabilité"-noun-fr "incomunicabilidad"-noun-es
"incomunicabilidad"-noun-es "incommunicabilité"-noun-fr
"Elkabbach"-properNoun-fr "Elkabbach"-properNoun-es
"Elkabbach"-properNoun-es "Elkabbach"-properNoun-fr
"TF1"-properNoun-fr "TF1"-properNoun-es
"TF1"-properNoun-es "TF1"-properNoun-fr
"ligne droite"-noun-fr "txanpa"-noun-es
"txanpa"-noun-es "ligne droite"-noun-fr
"à titre de"-preposition-fr "en concepto de"-preposition-es
"à titre de"-preposition-fr "a título de"-preposition-es
"en concepto de"-preposition-es "à titre de"-preposition-fr
"a título de"-preposition-es "à titre de"-preposition-fr
"maréchal-ferrant"-noun-fr "herrador"-noun-es
"herrador"-noun-es "maréchal-ferrant"-noun-fr
"Perséphone"-properNoun-fr "Perséfone"-properNoun-es
"Perséfone"-properNoun-es "Perséphone"-properNoun-fr
"en ce temps-là"-adverb-fr "por aquel tiempo"-adverb-es
"por aquel tiempo"-adverb-es "en ce temps-là"-adverb-fr
"Danièle"-properNoun-fr "Danièle"-properNoun-es
"Danièle"-properNoun-es "Danièle"-properNoun-fr
"courageux"-adjective-fr "corajoso"-adjective-es
"corajoso"-adjective-es "courageux"-adjective-fr
"Wharton"-properNoun-fr "Wharton"-properNoun-es
"Wharton"-properNoun-es "Wharton"-properNoun-fr
"WWF"-noun-fr "WWF"-noun-es
"WWF"-noun-es "WWF"-noun-fr
"Lille"-properNoun-fr "Lille"-properNoun-es
"Lille"-properNoun-es "Lille"-properNoun-fr
"Anakin"-properNoun-fr "Anakin"-properNoun-es
"Anakin"-properNoun-es "Anakin"-properNoun-fr
"Humberto"-properNoun-fr "Humberto"-properNoun-es
"Humberto"-properNoun-es "Humberto"-properNoun-fr
"Alfa"-properNoun-fr "Alfa"-properNoun-es
"Alfa"-properNoun-es "Alfa"-properNoun-fr
"Antarctique"-properNoun-fr "Antártico"-properNoun-es
"Antártico"-properNoun-es "Antarctique"-properNoun-fr
"Rakocevic"-properNoun-fr "Rakocevic"-properNoun-es
"Rakocevic"-properNoun-es "Rakocevic"-properNoun-fr
"RC"-noun-fr "RC"-noun-es
"RC"-noun-es "RC"-noun-fr
"normativité"-noun-fr "normatividad"-noun-es
"normatividad"-noun-es "normativité"-noun-fr
"exemplarité"-noun-fr "ejemplaridad"-noun-es
"ejemplaridad"-noun-es "exemplarité"-noun-fr
"Maddie"-properNoun-fr "Maddie"-properNoun-es
"Maddie"-properNoun-es "Maddie"-properNoun-fr
"Urkia"-properNoun-fr "Urkia"-properNoun-es
"Urkia"-properNoun-es "Urkia"-properNoun-fr
"mer Noire"-properNoun-fr "Mar Negro"-properNoun-es
"Mar Negro"-properNoun-es "mer Noire"-properNoun-fr
"Affadas"-properNoun-fr "Affadas"-properNoun-es
"Affadas"-properNoun-es "Affadas"-properNoun-fr
"Bobigny"-properNoun-fr "Bobigny"-properNoun-es
"Bobigny"-properNoun-es "Bobigny"-properNoun-fr
"MP3"-properNoun-fr "MP3"-properNoun-es
"MP3"-properNoun-es "MP3"-properNoun-fr
"JO"-noun-fr "JJOO"-noun-es
"JJOO"-noun-es "JO"-noun-fr
"Laetitia"-properNoun-fr "Laetitia"-properNoun-es
"Laetitia"-properNoun-es "Laetitia"-properNoun-fr
"Hendaia"-properNoun-fr "Hendaia"-properNoun-es
"Hendaia"-properNoun-es "Hendaia"-properNoun-fr
"Lampre"-properNoun-fr "Lampre"-properNoun-es
"Lampre"-properNoun-es "Lampre"-properNoun-fr
"Martin Luther"-properNoun-fr "Martín Lutero"-properNoun-es
"Martín Lutero"-properNoun-es "Martin Luther"-properNoun-fr
"micro"-noun-fr "micro"-noun-es
"micro"-noun-es "micro"-noun-fr
"Guggenheim"-properNoun-fr "Guggenheim"-properNoun-es
"Guggenheim"-properNoun-es "Guggenheim"-properNoun-fr
"bas-fond"-noun-fr "bajura"-noun-es
"bajura"-noun-es "bas-fond"-noun-fr
"Dioclétien"-properNoun-fr "Diocleciano"-properNoun-es
"Diocleciano"-properNoun-es "Dioclétien"-properNoun-fr
"apostiller"-verb-fr "apostillar"-verb-es
"apostillar"-verb-es "apostiller"-verb-fr
"exploitable"-adjective-fr "explotable"-adjective-es
"explotable"-adjective-es "exploitable"-adjective-fr
"idiot"-adjective-fr "subnormal"-adjective-es
"subnormal"-adjective-es "idiot"-adjective-fr
"Acropole"-properNoun-fr "Acrópolis"-properNoun-es
"Acrópolis"-properNoun-es "Acropole"-properNoun-fr
"Arbona"-properNoun-fr "Arbona"-properNoun-es
"Arbona"-properNoun-es "Arbona"-properNoun-fr
"Dardanelles"-properNoun-fr "Dardanelos"-properNoun-es
"Dardanelos"-properNoun-es "Dardanelles"-properNoun-fr
"Le Mans"-properNoun-fr "Le Mans"-properNoun-es
"Le Mans"-properNoun-es "Le Mans"-properNoun-fr
"Tyrol"-properNoun-fr "Tirol"-properNoun-es
"Tirol"-properNoun-es "Tyrol"-properNoun-fr
"Tessa"-properNoun-fr "Tessa"-properNoun-es
"Tessa"-properNoun-es "Tessa"-properNoun-fr
"jauger"-verb-fr "aforar"-verb-es
"aforar"-verb-es "jauger"-verb-fr
"incinérer"-verb-fr "cremar"-verb-es
"cremar"-verb-es "incinérer"-verb-fr
"Tarbes"-properNoun-fr "Tarbes"-properNoun-es
"Tarbes"-properNoun-es "Tarbes"-properNoun-fr
"sunnite"-adjective-fr "sunnita"-adjective-es
"sunnite"-adjective-fr "sunní"-adjective-es
"sunnita"-adjective-es "sunnite"-adjective-fr
"sunní"-adjective-es "sunnite"-adjective-fr
"hanter"-verb-fr "frecuentar"-verb-es
"frecuentar"-verb-es "hanter"-verb-fr
"frecuentar"-verb-es "fréquenter"-verb-fr
"fréquenter"-verb-fr "frecuentar"-verb-es
"marchandage"-noun-fr "regateo"-noun-es
"regateo"-noun-es "marchandage"-noun-fr
"Lech"-properNoun-fr "Lech"-properNoun-es
"Lech"-properNoun-es "Lech"-properNoun-fr
"Kolobnev"-properNoun-fr "Kolobnev"-properNoun-es
"Kolobnev"-properNoun-es "Kolobnev"-properNoun-fr
"rembourser"-verb-fr "reembolsar"-verb-es
"reembolsar"-verb-es "rembourser"-verb-fr
"Hergé"-properNoun-fr "Hergé"-properNoun-es
"Hergé"-properNoun-es "Hergé"-properNoun-fr
"Macijauskas"-properNoun-fr "Macijauskas"-properNoun-es
"Macijauskas"-properNoun-es "Macijauskas"-properNoun-fr
"reçu"-adjective-fr "recibido"-adjective-es
"recibido"-adjective-es "reçu"-adjective-fr
"Versailles"-properNoun-fr "Versalles"-properNoun-es
"Versalles"-properNoun-es "Versailles"-properNoun-fr
"cessation"-noun-fr "cesación"-noun-es
"cesación"-noun-es "cessation"-noun-fr
"Allan"-properNoun-fr "Allan"-properNoun-es
"Allan"-properNoun-es "Allan"-properNoun-fr
"infaillible"-adjective-fr "infalible"-adjective-es
"infalible"-adjective-es "infaillible"-adjective-fr
"relocalisation"-noun-fr "relocalización"-noun-es
"relocalización"-noun-es "relocalisation"-noun-fr
"SRD"-noun-fr "SRD"-noun-es
"SRD"-noun-es "SRD"-noun-fr
"Astrakhan"-properNoun-fr "Astrakan"-properNoun-es
"Astrakan"-properNoun-es "Astrakhan"-properNoun-fr
"Marie-Antoinette"-properNoun-fr "Marie-Antoinette"-properNoun-es
"Marie-Antoinette"-properNoun-es "Marie-Antoinette"-properNoun-fr
"remplacement"-noun-fr "suplencia"-noun-es
"suplencia"-noun-es "remplacement"-noun-fr
"Hébrides"-properNoun-fr "Hebridas"-properNoun-es
"Hebridas"-properNoun-es "Hébrides"-properNoun-fr
"duchesse"-noun-fr "duquesa"-noun-es
"duquesa"-noun-es "duchesse"-noun-fr
"redécorer"-verb-fr "redecorar"-verb-es
"redecorar"-verb-es "redécorer"-verb-fr
"inculpé"-noun-fr "inculpado"-noun-es
"inculpado"-noun-es "inculpé"-noun-fr
"Épinal"-properNoun-fr "Épinal"-properNoun-es
"Épinal"-properNoun-es "Épinal"-properNoun-fr
"replier"-verb-fr "replegar"-verb-es
"replegar"-verb-es "replier"-verb-fr
"Côtes-d'Armor"-properNoun-fr "Côtes-d'Armor"-properNoun-es
"Côtes-d'Armor"-properNoun-es "Côtes-d'Armor"-properNoun-fr
"Juan José Ibarretxe"-properNoun-fr "Juan José Ibarretxe"-properNoun-es
"Juan José Ibarretxe"-properNoun-es "Juan José Ibarretxe"-properNoun-fr
"dénier"-verb-fr "denegar"-verb-es
"denegar"-verb-es "dénier"-verb-fr
"Saunier"-properNoun-fr "Saunier"-properNoun-es
"Saunier"-properNoun-es "Saunier"-properNoun-fr
"Basse-Normandie"-properNoun-fr "Baja Normandía"-properNoun-es
"Baja Normandía"-properNoun-es "Basse-Normandie"-properNoun-fr
"ménage"-noun-fr "paramento"-noun-es
"ménage"-noun-fr "menaje"-noun-es
"paramento"-noun-es "ménage"-noun-fr
"menaje"-noun-es "ménage"-noun-fr
"progressivité"-noun-fr "progresividad"-noun-es
"progresividad"-noun-es "progressivité"-noun-fr
"Port-au-Prince"-properNoun-fr "Puerto Príncipe"-properNoun-es
"Puerto Príncipe"-properNoun-es "Port-au-Prince"-properNoun-fr
"Rafsandjani"-properNoun-fr "Rafsandjani"-properNoun-es
"Rafsandjani"-properNoun-es "Rafsandjani"-properNoun-fr
"Élysée"-properNoun-fr "Élysée"-properNoun-es
"Élysée"-properNoun-es "Élysée"-properNoun-fr
"Port-de-Bouc"-properNoun-fr "Port-de-Bouc"-properNoun-es
"Port-de-Bouc"-properNoun-es "Port-de-Bouc"-properNoun-fr
"Xbox"-properNoun-fr "Xbox"-properNoun-es
"Xbox"-properNoun-es "Xbox"-properNoun-fr
"photocopieur"-noun-fr "fotocopiador"-noun-es
"fotocopiador"-noun-es "photocopieur"-noun-fr
"Iturbe"-properNoun-fr "Iturbe"-properNoun-es
"Iturbe"-properNoun-es "Iturbe"-properNoun-fr
"Aragon"-properNoun-fr "Aragon"-properNoun-es
"Aragon"-properNoun-es "Aragon"-properNoun-fr
"Mont-Blanc"-properNoun-fr "Mont-Blanc"-properNoun-es
"Mont-Blanc"-properNoun-es "Mont-Blanc"-properNoun-fr
"Onassis"-properNoun-fr "Onassis"-properNoun-es
"Onassis"-properNoun-es "Onassis"-properNoun-fr
"GATT"-noun-fr "GATT"-noun-es
"GATT"-noun-es "GATT"-noun-fr
"à succès"-adjective-fr "de éxito"-adjective-es
"de éxito"-adjective-es "à succès"-adjective-fr
"élucidation"-noun-fr "elucidación"-noun-es
"elucidación"-noun-es "élucidation"-noun-fr
"Odyssée"-properNoun-fr "Odisea"-properNoun-es
"Odisea"-properNoun-es "Odyssée"-properNoun-fr
"Ellen Johnson-Sirleaf"-properNoun-fr "Ellen Johnson-Sirleaf"-properNoun-es
"Ellen Johnson-Sirleaf"-properNoun-es "Ellen Johnson-Sirleaf"-properNoun-fr
"badaud"-adjective-fr "cotilla"-adjective-es
"badaud"-adjective-fr "mirón"-adjective-es
"cotilla"-adjective-es "badaud"-adjective-fr
"mirón"-adjective-es "badaud"-adjective-fr
"MP4"-properNoun-fr "MP4"-properNoun-es
"MP4"-properNoun-es "MP4"-properNoun-fr
"Matignon"-properNoun-fr "Matignon"-properNoun-es
"Matignon"-properNoun-es "Matignon"-properNoun-fr
"Hawaii"-properNoun-fr "Hawaii"-properNoun-es
"Hawaii"-properNoun-es "Hawaii"-properNoun-fr
"déchiffrer"-verb-fr "descifrar"-verb-es
"descifrar"-verb-es "déchiffrer"-verb-fr
"désapprovisionnement"-noun-fr "desabastecimiento"-noun-es
"desabastecimiento"-noun-es "désapprovisionnement"-noun-fr
"ravitailleur"-adjective-fr "abastecedor"-adjective-es
"abastecedor"-adjective-es "ravitailleur"-adjective-fr
"Mème"-adjective-fr "M"-adjective-es
"M"-adjective-es "Mème"-adjective-fr
"prêteur"-noun-fr "prestador"-noun-es
"prestador"-noun-es "prêteur"-noun-fr
"annotateur"-adjective-fr "anotador"-adjective-es
"anotador"-adjective-es "annotateur"-adjective-fr
"Vichy"-properNoun-fr "Vichy"-properNoun-es
"Vichy"-properNoun-es "Vichy"-properNoun-fr
"extraterrestre"-adjective-fr "alienígena"-adjective-es
"alienígena"-adjective-es "extraterrestre"-adjective-fr
"alienígena"-adjective-es "étrange"-adjective-fr
"étrange"-adjective-fr "alienígena"-adjective-es
"Fatah"-properNoun-fr "Fatah"-properNoun-es
"Fatah"-properNoun-es "Fatah"-properNoun-fr
"théâtralité"-noun-fr "teatralidad"-noun-es
"teatralidad"-noun-es "théâtralité"-noun-fr
"Francine"-properNoun-fr "Francine"-properNoun-es
"Francine"-properNoun-es "Francine"-properNoun-fr
"Irkoutsk"-properNoun-fr "Irkutsk"-properNoun-es
"Irkutsk"-properNoun-es "Irkoutsk"-properNoun-fr
"réaménagement"-noun-fr "redisposición"-noun-es
"redisposición"-noun-es "réaménagement"-noun-fr
"cette année"-adverb-fr "en lo que va de año"-adverb-es
"en lo que va de año"-adverb-es "cette année"-adverb-fr
"édulcoration"-noun-fr "edulcoración"-noun-es
"edulcoración"-noun-es "édulcoration"-noun-fr
"Lech Kaczynski"-properNoun-fr "Lech Kaczynski"-properNoun-es
"Lech Kaczynski"-properNoun-es "Lech Kaczynski"-properNoun-fr
"insolvabilité"-noun-fr "irresolubilidad"-noun-es
"irresolubilidad"-noun-es "insolvabilité"-noun-fr
"aérogénérateur"-noun-fr "aerogenerador"-noun-es
"aerogenerador"-noun-es "aérogénérateur"-noun-fr
"formater"-verb-fr "formatear"-verb-es
"formatear"-verb-es "formater"-verb-fr
"Andoni"-properNoun-fr "Andoni"-properNoun-es
"Andoni"-properNoun-es "Andoni"-properNoun-fr
"Saleh"-properNoun-fr "Salih"-properNoun-es
"Salih"-properNoun-es "Saleh"-properNoun-fr
"Gap"-properNoun-fr "Gap"-properNoun-es
"Gap"-properNoun-es "Gap"-properNoun-fr
"plusieurs"-determiner-fr "vario"-determiner-es
"vario"-determiner-es "plusieurs"-determiner-fr
"vario"-determiner-es "divers"-determiner-fr
"divers"-determiner-fr "vario"-determiner-es
"Scaramella"-properNoun-fr "Scaramella"-properNoun-es
"Scaramella"-properNoun-es "Scaramella"-properNoun-fr
"spécialiste"-adjective-fr "especialista"-adjective-es
"especialista"-adjective-es "spécialiste"-adjective-fr
"inéligibilité"-noun-fr "ineligibilidad"-noun-es
"ineligibilidad"-noun-es "inéligibilité"-noun-fr
"cour d'appel"-noun-fr "tribunal de apelación"-noun-es
"tribunal de apelación"-noun-es "cour d'appel"-noun-fr
"Bosphore"-properNoun-fr "Bósforo"-properNoun-es
"Bósforo"-properNoun-es "Bosphore"-properNoun-fr
"Périgueux"-properNoun-fr "Périgueux"-properNoun-es
"Périgueux"-properNoun-es "Périgueux"-properNoun-fr
"ABN"-noun-fr "ABN"-noun-es
"ABN"-noun-es "ABN"-noun-fr
"Alitalia"-properNoun-fr "Alitalia"-properNoun-es
"Alitalia"-properNoun-es "Alitalia"-properNoun-fr
"à défaut de"-preposition-fr "en defecto de"-preposition-es
"en defecto de"-preposition-es "à défaut de"-preposition-fr
"postérité"-noun-fr "poseridad"-noun-es
"poseridad"-noun-es "postérité"-noun-fr
"Provence-Alpes-Côte d'Azur"-properNoun-fr "Provenza-Alpes-Costa Azul"-properNoun-es
"Provenza-Alpes-Costa Azul"-properNoun-es "Provence-Alpes-Côte d'Azur"-properNoun-fr
"Darfour"-properNoun-fr "Darfour"-properNoun-es
"Darfour"-properNoun-es "Darfour"-properNoun-fr
"Calvados"-properNoun-fr "Calvados"-properNoun-es
"Calvados"-properNoun-es "Calvados"-properNoun-fr
"revaloriser"-verb-fr "revalorizar"-verb-es
"revalorizar"-verb-es "revaloriser"-verb-fr
"agir de"-verb-fr "tratar de"-verb-es
"tratar de"-verb-es "agir de"-verb-fr
"écuyer"-noun-fr "escudero"-noun-es
"escudero"-noun-es "écuyer"-noun-fr
"Hannibal Barca"-properNoun-fr "Anibal Barca"-properNoun-es
"Anibal Barca"-properNoun-es "Hannibal Barca"-properNoun-fr
"non-lieu"-noun-fr "sobreseimiento"-noun-es
"sobreseimiento"-noun-es "non-lieu"-noun-fr
"couturier"-noun-fr "modisto"-noun-es
"modisto"-noun-es "couturier"-noun-fr
"De Maglia"-properNoun-fr "De Maglia"-properNoun-es
"De Maglia"-properNoun-es "De Maglia"-properNoun-fr
"Euphrate"-properNoun-fr "Eufrates"-properNoun-es
"Eufrates"-properNoun-es "Euphrate"-properNoun-fr
"Aigle"-properNoun-fr "Aigle"-properNoun-es
"Aigle"-properNoun-es "Aigle"-properNoun-fr
"Cécile"-properNoun-fr "Cécile"-properNoun-es
"Cécile"-properNoun-es "Cécile"-properNoun-fr
"Mississippi"-properNoun-fr "Mississippi"-properNoun-es
"Mississippi"-properNoun-es "Mississippi"-properNoun-fr
"antialgique"-adjective-fr "antiálgico"-adjective-es
"antiálgico"-adjective-es "antialgique"-adjective-fr
"AFM"-noun-fr "AFM"-noun-es
"AFM"-noun-es "AFM"-noun-fr
"Ameztoi"-properNoun-fr "Ameztoi"-properNoun-es
"Ameztoi"-properNoun-es "Ameztoi"-properNoun-fr
"Tahiti"-properNoun-fr "Tahití"-properNoun-es
"Tahití"-properNoun-es "Tahiti"-properNoun-fr
"José Sócrates"-properNoun-fr "José Sócrates"-properNoun-es
"José Sócrates"-properNoun-es "José Sócrates"-properNoun-fr
"Hosni"-properNoun-fr "Hosni"-properNoun-es
"Hosni"-properNoun-es "Hosni"-properNoun-fr
"Palatinat"-properNoun-fr "Palatinado"-properNoun-es
"Palatinado"-properNoun-es "Palatinat"-properNoun-fr
"Guyane Française"-properNoun-fr "Guayana Francesa"-properNoun-es
"Guayana Francesa"-properNoun-es "Guyane Française"-properNoun-fr
"Guayana Francesa"-properNoun-es "Guyane"-properNoun-fr
"Guyane"-properNoun-fr "Guayana Francesa"-properNoun-es
"Guinée-Bissau"-properNoun-fr "Guinea Bissau"-properNoun-es
"Guinea Bissau"-properNoun-es "Guinée-Bissau"-properNoun-fr
"vérification"-noun-fr "bastanteo"-noun-es
"bastanteo"-noun-es "vérification"-noun-fr
"Fabiola"-properNoun-fr "Fabiola"-properNoun-es
"Fabiola"-properNoun-es "Fabiola"-properNoun-fr
"Agra"-properNoun-fr "Agra"-properNoun-es
"Agra"-properNoun-es "Agra"-properNoun-fr
"rationalité"-noun-fr "rationalidad"-noun-es
"rationalidad"-noun-es "rationalité"-noun-fr
"Corse-du-Sud"-properNoun-fr "Córcega del Sur"-properNoun-es
"Córcega del Sur"-properNoun-es "Corse-du-Sud"-properNoun-fr
"supporter"-verb-fr "dar soporte"-verb-es
"dar soporte"-verb-es "supporter"-verb-fr
"Mme"-noun-fr "Sr"-noun-es
"Sr"-noun-es "Mme"-noun-fr
"Sr"-noun-es "M"-noun-fr
"M"-noun-fr "Sr"-noun-es
"Haute-Normandie"-properNoun-fr "Alta Normandia"-properNoun-es
"Alta Normandia"-properNoun-es "Haute-Normandie"-properNoun-fr
"Haute-Marne"-properNoun-fr "Alto Marne"-properNoun-es
"Alto Marne"-properNoun-es "Haute-Marne"-properNoun-fr
"mer Rouge"-properNoun-fr "Mar Rojo"-properNoun-es
"Mar Rojo"-properNoun-es "mer Rouge"-properNoun-fr
"sauvegarder"-verb-fr "salvaguardar"-verb-es
"salvaguardar"-verb-es "sauvegarder"-verb-fr
"Abba"-properNoun-fr "Abba"-properNoun-es
"Abba"-properNoun-es "Abba"-properNoun-fr
"Aspiri"-properNoun-fr "Aspiri"-properNoun-es
"Aspiri"-properNoun-es "Aspiri"-properNoun-fr
"culpabilisation"-noun-fr "culpabilización"-noun-es
"culpabilización"-noun-es "culpabilisation"-noun-fr
"étayer"-verb-fr "apuntalar"-verb-es
"apuntalar"-verb-es "étayer"-verb-fr
"Alexandr"-properNoun-fr "Alexandr"-properNoun-es
"Alexandr"-properNoun-es "Alexandr"-properNoun-fr
"El Correo Español"-properNoun-fr "El Correo Español"-properNoun-es
"El Correo Español"-properNoun-es "El Correo Español"-properNoun-fr
"griser"-verb-fr "emborrachar"-verb-es
"emborrachar"-verb-es "griser"-verb-fr
"emborrachar"-verb-es "enivrer"-verb-fr
"enivrer"-verb-fr "emborrachar"-verb-es
"enivrer"-verb-fr "embriagar"-verb-es
"business"-noun-fr "business"-noun-es
"business"-noun-es "business"-noun-fr
"LTD"-properNoun-fr "LTD"-properNoun-es
"LTD"-properNoun-es "LTD"-properNoun-fr
"Arakistain"-properNoun-fr "Arakistain"-properNoun-es
"Arakistain"-properNoun-es "Arakistain"-properNoun-fr
"Corporate"-properNoun-fr "Corporate"-properNoun-es
"Corporate"-properNoun-es "Corporate"-properNoun-fr
"Cézanne"-properNoun-fr "Cézanne"-properNoun-es
"Cézanne"-properNoun-es "Cézanne"-properNoun-fr
"psychique"-noun-fr "psíquico"-noun-es
"psíquico"-noun-es "psychique"-noun-fr
"Arekeev"-properNoun-fr "Arekeev"-properNoun-es
"Arekeev"-properNoun-es "Arekeev"-properNoun-fr
"anticastriste"-adjective-fr "anticastrista"-adjective-es
"anticastrista"-adjective-es "anticastriste"-adjective-fr
"contemporanéité"-noun-fr "contemporaneidad"-noun-es
"contemporaneidad"-noun-es "contemporanéité"-noun-fr
"Espanyol"-properNoun-fr "Espanyol"-properNoun-es
"Espanyol"-properNoun-es "Espanyol"-properNoun-fr
"Txus"-properNoun-fr "Txus"-properNoun-es
"Txus"-properNoun-es "Txus"-properNoun-fr
"Hinault"-properNoun-fr "Hinault"-properNoun-es
"Hinault"-properNoun-es "Hinault"-properNoun-fr
"tonicité"-noun-fr "tonicidad"-noun-es
"tonicidad"-noun-es "tonicité"-noun-fr
"concienciar"-verb-es "conscientiser"-verb-fr
"conscientiser"-verb-fr "concienciar"-verb-es
"Aduritz"-properNoun-fr "Aduritz"-properNoun-es
"Aduritz"-properNoun-es "Aduritz"-properNoun-fr
"absolutoire"-adjective-fr "absolutorio"-adjective-es
"absolutorio"-adjective-es "absolutoire"-adjective-fr
"tapissier"-noun-fr "tapicero"-noun-es
"tapicero"-noun-es "tapissier"-noun-fr
"saisonnalité"-noun-fr "estacionalidad"-noun-es
"estacionalidad"-noun-es "saisonnalité"-noun-fr
"examination"-noun-fr "examinación"-noun-es
"examinación"-noun-es "examination"-noun-fr
"Bhutto"-properNoun-fr "Bhutto"-properNoun-es
"Bhutto"-properNoun-es "Bhutto"-properNoun-fr
"Helvétie"-properNoun-fr "Helvecia"-properNoun-es
"Helvecia"-properNoun-es "Helvétie"-properNoun-fr
"apaiser"-verb-fr "aplacar"-verb-es
"aplacar"-verb-es "apaiser"-verb-fr
"Ouagadougou"-properNoun-fr "Uagadugú"-properNoun-es
"Ouagadougou"-properNoun-fr "Uagadugu"-properNoun-es
"Uagadugú"-properNoun-es "Ouagadougou"-properNoun-fr
"Uagadugu"-properNoun-es "Ouagadougou"-properNoun-fr
"TLC"-noun-fr "TLC"-noun-es
"TLC"-noun-es "TLC"-noun-fr
"Classic"-properNoun-fr "Classic"-properNoun-es
"Classic"-properNoun-es "Classic"-properNoun-fr
"monoplace"-noun-fr "monoplaza"-noun-es
"monoplaza"-noun-es "monoplace"-noun-fr
"côtoyer"-verb-fr "codear con"-verb-es
"côtoyer"-verb-fr "codear"-verb-es
"codear con"-verb-es "côtoyer"-verb-fr
"codear"-verb-es "côtoyer"-verb-fr
"actualisable"-adjective-fr "actualizable"-adjective-es
"actualizable"-adjective-es "actualisable"-adjective-fr
"distributeur"-adjective-fr "distribuidor"-adjective-es
"distribuidor"-adjective-es "distributeur"-adjective-fr
"Adidas"-properNoun-fr "Adidas"-properNoun-es
"Adidas"-properNoun-es "Adidas"-properNoun-fr
"Anchieta"-properNoun-fr "Anchieta"-properNoun-es
"Anchieta"-properNoun-es "Anchieta"-properNoun-fr
"couette"-noun-fr "edredón nórdico"-noun-es
"edredón nórdico"-noun-es "couette"-noun-fr
"Severiano"-properNoun-fr "Severiano"-properNoun-es
"Severiano"-properNoun-es "Severiano"-properNoun-fr
"McGuinness"-properNoun-fr "McGuinness"-properNoun-es
"McGuinness"-properNoun-es "McGuinness"-properNoun-fr
"Anne-Sophie"-properNoun-fr "Anne-Sophie"-properNoun-es
"Anne-Sophie"-properNoun-es "Anne-Sophie"-properNoun-fr
"antidrogue"-adjective-fr "antidroga"-adjective-es
"antidroga"-adjective-es "antidrogue"-adjective-fr
"EADS"-noun-fr "EADS"-noun-es
"EADS"-noun-es "EADS"-noun-fr
"Adánez"-properNoun-fr "Adánez"-properNoun-es
"Adánez"-properNoun-es "Adánez"-properNoun-fr
"aigu"-noun-fr "agudo"-noun-es
"agudo"-noun-es "aigu"-noun-fr
"estimer"-verb-fr "preciar"-verb-es
"preciar"-verb-es "estimer"-verb-fr
"infographie"-noun-fr "infografía"-noun-es
"infografía"-noun-es "infographie"-noun-fr
"apparaître"-verb-fr "recalar"-verb-es
"recalar"-verb-es "apparaître"-verb-fr
"Hispanie citérieure"-properNoun-fr "Hispania Citerior"-properNoun-es
"Hispania Citerior"-properNoun-es "Hispanie citérieure"-properNoun-fr
"douanier"-noun-fr "aduanero"-noun-es
"aduanero"-noun-es "douanier"-noun-fr
"outre-mer"-adverb-fr "en ultramar"-adverb-es
"en ultramar"-adverb-es "outre-mer"-adverb-fr
"gratter"-verb-fr "rascar"-verb-es
"rascar"-verb-es "gratter"-verb-fr
"voici"-adverb-fr "aquí está"-adverb-es
"aquí está"-adverb-es "voici"-adverb-fr
"mérou"-noun-fr "mero"-noun-es
"mero"-noun-es "mérou"-noun-fr
"Bergeaud"-properNoun-fr "Bergeaud"-properNoun-es
"Bergeaud"-properNoun-es "Bergeaud"-properNoun-fr
"Cème"-adjective-fr "C"-adjective-es
"C"-adjective-es "Cème"-adjective-fr
"bipolarité"-noun-fr "bipolaridad"-noun-es
"bipolaridad"-noun-es "bipolarité"-noun-fr
"ecu"-noun-fr "ecu"-noun-es
"ecu"-noun-es "ecu"-noun-fr
"Alexandros"-properNoun-fr "Alexandros"-properNoun-es
"Alexandros"-properNoun-es "Alexandros"-properNoun-fr
"cotitulaire"-noun-fr "cotitular"-noun-es
"cotitular"-noun-es "cotitulaire"-noun-fr
"mer Méditerranée"-properNoun-fr "Mar Mediterráneo"-properNoun-es
"Mar Mediterráneo"-properNoun-es "mer Méditerranée"-properNoun-fr
"inhumation"-noun-fr "sepelio"-noun-es
"inhumation"-noun-fr "inhumación"-noun-es
