"l"-noun-oc "l"-noun-es
"Valls"-properNoun-oc "Valls"-properNoun-es
"Valls"-noun-oc "Valls"-properNoun-es
"Vallés"-properNoun-oc "Vallés"-properNoun-es
"Vallés"-noun-oc "Vallés"-properNoun-es
"Valverde"-properNoun-oc "Valverde"-properNoun-es
"Valverde"-noun-oc "Valverde"-properNoun-es
"Varela"-properNoun-oc "Varela"-properNoun-es
"Varela"-noun-oc "Varela"-properNoun-es
"Vargas"-properNoun-oc "Vargas"-properNoun-es
"Vargas"-noun-oc "Vargas"-properNoun-es
"Vasallo"-properNoun-oc "Vasallo"-properNoun-es
"Vasallo"-noun-oc "Vasallo"-properNoun-es
"Vega"-properNoun-oc "Vega"-properNoun-es
"Vega"-noun-oc "Vega"-properNoun-es
"Veiga"-properNoun-oc "Veiga"-properNoun-es
"Veiga"-noun-oc "Veiga"-properNoun-es
"Velasco"-properNoun-oc "Velasco"-properNoun-es
"Velasco"-noun-oc "Velasco"-properNoun-es
"Velázquez"-properNoun-oc "Velázquez"-properNoun-es
"Velázquez"-noun-oc "Velázquez"-properNoun-es
"Vendrell"-properNoun-oc "Vendrell"-properNoun-es
"Vendrell"-noun-oc "Vendrell"-properNoun-es
"Ventura"-properNoun-oc "Ventura"-properNoun-es
"Ventura"-noun-oc "Ventura"-properNoun-es
"Verdaguer"-properNoun-oc "Verdaguer"-properNoun-es
"Verdaguer"-noun-oc "Verdaguer"-properNoun-es
"Verdi"-properNoun-oc "Verdi"-properNoun-es
"Verdi"-noun-oc "Verdi"-properNoun-es
"Vergara"-properNoun-oc "Vergara"-properNoun-es
"Vergara"-noun-oc "Vergara"-properNoun-es
"Vergés"-properNoun-oc "Vergés"-properNoun-es
"Vergés"-noun-oc "Vergés"-properNoun-es
"Viana"-properNoun-oc "Viana"-properNoun-es
"Viana"-noun-oc "Viana"-properNoun-es
"Vicens"-properNoun-oc "Vicens"-properNoun-es
"Vicens"-noun-oc "Vicens"-properNoun-es
"Vicenç"-properNoun-oc "Vicenç"-properNoun-es
"Vicenç"-noun-oc "Vicenç"-properNoun-es
"Vidal"-properNoun-oc "Vidal"-properNoun-es
"Vidal"-noun-oc "Vidal"-properNoun-es
"Vigo"-properNoun-oc "Vigo"-properNoun-es
"Vigo"-noun-oc "Vigo"-properNoun-es
"Vila"-properNoun-oc "Vila"-properNoun-es
"Vila"-noun-oc "Vila"-properNoun-es
"Vilafranca"-properNoun-oc "Villafranca del Cid"-properNoun-es
"Vilafranca"-properNoun-oc "Vilafranca"-properNoun-es
"Vilafranca"-noun-oc "Villafranca del Cid"-properNoun-es
"Vilafranca"-noun-oc "Vilafranca"-properNoun-es
"Vilallonga"-properNoun-oc "Vilallonga"-properNoun-es
"Vilallonga"-properNoun-oc "Villalonga"-properNoun-es
"Vilallonga"-noun-oc "Vilallonga"-properNoun-es
"Vilallonga"-noun-oc "Villalonga"-properNoun-es
"Vilanova"-properNoun-oc "Vilanova"-properNoun-es
"Vilanova"-noun-oc "Vilanova"-properNoun-es
"Vilar"-properNoun-oc "Vilar"-properNoun-es
"Vilar"-noun-oc "Vilar"-properNoun-es
"Villada"-properNoun-oc "Villada"-properNoun-es
"Villada"-noun-oc "Villada"-properNoun-es
"Villalba"-properNoun-oc "Villalba"-properNoun-es
"Villalba"-noun-oc "Villalba"-properNoun-es
"Villalobos"-properNoun-oc "Villalobos"-properNoun-es
"Villalobos"-noun-oc "Villalobos"-properNoun-es
"Villar"-properNoun-oc "Villar"-properNoun-es
"Villar"-noun-oc "Villar"-properNoun-es
"Villena"-properNoun-oc "Villena"-properNoun-es
"Villena"-noun-oc "Villena"-properNoun-es
"Villepin"-properNoun-oc "Villepin"-properNoun-es
"Villepin"-noun-oc "Villepin"-properNoun-es
"Vince"-properNoun-oc "Vince"-properNoun-es
"Vince"-noun-oc "Vince"-properNoun-es
"Vincent"-properNoun-oc "Vincent"-properNoun-es
"Vincent"-noun-oc "Vincent"-properNoun-es
"Vinci"-properNoun-oc "Vinci"-properNoun-es
"Vinci"-noun-oc "Vinci"-properNoun-es
"Vivó"-properNoun-oc "Vivó"-properNoun-es
"Vivó"-noun-oc "Vivó"-properNoun-es
"Vladimir"-properNoun-oc "Vladimir"-properNoun-es
"Vladimir"-noun-oc "Vladimir"-properNoun-es
"Voltaire"-properNoun-oc "Voltaire"-properNoun-es
"Voltaire"-noun-oc "Voltaire"-properNoun-es
"Vázquez"-properNoun-oc "Vázquez"-properNoun-es
"Vázquez"-noun-oc "Vázquez"-properNoun-es
"Vélez"-properNoun-oc "Vélez"-properNoun-es
"Vélez"-noun-oc "Vélez"-properNoun-es
"Waals"-properNoun-oc "Waals"-properNoun-es
"Waals"-noun-oc "Waals"-properNoun-es
"Warner"-properNoun-oc "Warner"-properNoun-es
"Warner"-noun-oc "Warner"-properNoun-es
"Washington"-properNoun-oc "Washington"-properNoun-es
"Washington"-noun-oc "Washington"-properNoun-es
"Watson"-properNoun-oc "Watson"-properNoun-es
"Watson"-noun-oc "Watson"-properNoun-es
"Wilde"-properNoun-oc "Wilde"-properNoun-es
"Wilde"-noun-oc "Wilde"-properNoun-es
"Williams"-properNoun-oc "Williams"-properNoun-es
"Williams"-noun-oc "Williams"-properNoun-es
"Wilson"-properNoun-oc "Wilson"-properNoun-es
"Wilson"-noun-oc "Wilson"-properNoun-es
"Wojtyla"-properNoun-oc "Wojtyla"-properNoun-es
"Wojtyla"-noun-oc "Wojtyla"-properNoun-es
"Xicoy"-properNoun-oc "Xicoy"-properNoun-es
"Xicoy"-noun-oc "Xicoy"-properNoun-es
"Yagüe"-properNoun-oc "Yagüe"-properNoun-es
"Yagüe"-noun-oc "Yagüe"-properNoun-es
"York"-properNoun-oc "York"-properNoun-es
"York"-noun-oc "York"-properNoun-es
"Young"-properNoun-oc "Young"-properNoun-es
"Young"-noun-oc "Young"-properNoun-es
"Yunus"-properNoun-oc "Yunus"-properNoun-es
"Yunus"-noun-oc "Yunus"-properNoun-es
"Yuste"-properNoun-oc "Yuste"-properNoun-es
"Yuste"-noun-oc "Yuste"-properNoun-es
"Zambrano"-properNoun-oc "Zambrano"-properNoun-es
"Zambrano"-noun-oc "Zambrano"-properNoun-es
"Zamora"-properNoun-oc "Zamora"-properNoun-es
"Zamora"-noun-oc "Zamora"-properNoun-es
"Zamorano"-properNoun-oc "Zamorano"-properNoun-es
"Zamorano"-noun-oc "Zamorano"-properNoun-es
"Zanón"-properNoun-oc "Zanón"-properNoun-es
"Zanón"-noun-oc "Zanón"-properNoun-es
"Zapata"-properNoun-oc "Zapata"-properNoun-es
"Zapata"-noun-oc "Zapata"-properNoun-es
"Zapater"-properNoun-oc "Zapater"-properNoun-es
"Zapater"-noun-oc "Zapater"-properNoun-es
"Zapatero"-properNoun-oc "Zapatero"-properNoun-es
"Zapatero"-noun-oc "Zapatero"-properNoun-es
"Zaplana"-properNoun-oc "Zaplana"-properNoun-es
"Zaplana"-noun-oc "Zaplana"-properNoun-es
"Zaragozá"-properNoun-oc "Zaragozá"-properNoun-es
"Zaragozá"-noun-oc "Zaragozá"-properNoun-es
"Zarranz"-properNoun-oc "Zarranz"-properNoun-es
"Zarranz"-noun-oc "Zarranz"-properNoun-es
"Zedillo"-properNoun-oc "Zedillo"-properNoun-es
"Zedillo"-noun-oc "Zedillo"-properNoun-es
"Zidane"-properNoun-oc "Zidane"-properNoun-es
"Zidane"-noun-oc "Zidane"-properNoun-es
"Zorrilla"-properNoun-oc "Zorrilla"-properNoun-es
"Zorrilla"-noun-oc "Zorrilla"-properNoun-es
"Zurbarán"-properNoun-oc "Zurbarán"-properNoun-es
"Zurbarán"-noun-oc "Zurbarán"-properNoun-es
"Zurita"-properNoun-oc "Zurita"-properNoun-es
"Zurita"-noun-oc "Zurita"-properNoun-es
"da Silva"-properNoun-oc "da Silva"-properNoun-es
"da Silva"-noun-oc "da Silva"-properNoun-es
"Álvarez"-properNoun-oc "Álvarez"-properNoun-es
"Álvarez"-noun-oc "Álvarez"-properNoun-es
"Álvaro"-properNoun-oc "Álvaro"-properNoun-es
"Álvaro"-noun-oc "Álvaro"-properNoun-es
"Edmilson"-properNoun-oc "Edmilson"-properNoun-es
"Edmilson"-noun-oc "Edmilson"-properNoun-es
"Freche"-properNoun-oc "Freche"-properNoun-es
"Freche"-noun-oc "Freche"-properNoun-es
"Laden"-properNoun-oc "Laden"-properNoun-es
"Laden"-noun-oc "Laden"-properNoun-es
"Loyola"-properNoun-oc "Loyola"-properNoun-es
"Loyola"-noun-oc "Loyola"-properNoun-es
"Magràs"-properNoun-oc "Carnestoltes"-properNoun-es
"Magràs"-noun-oc "Carnestoltes"-properNoun-es
"Mercè"-properNoun-oc "Mercè"-properNoun-es
"Mercè"-noun-oc "Mercè"-properNoun-es
"Susanna"-properNoun-oc "Susanna"-properNoun-es
"Susanna"-noun-oc "Susanna"-properNoun-es
"per part de"-preposition-oc "de parte de"-preposition-es
"per part de"-preposition-oc "por parte de"-preposition-es
"de la part de"-preposition-oc "de parte de"-preposition-es
"de la part de"-preposition-oc "por parte de"-preposition-es
"davant"-preposition-oc "ante"-preposition-es
"davant"-preposition-oc "delante de"-preposition-es
"davant"-preposition-oc "en frente de"-preposition-es
"al costat de"-preposition-oc "junto a"-preposition-es
"al travèrs de"-preposition-oc "a través de"-preposition-es
"Nàpols"-properNoun-oc "Nápoles"-properNoun-es
"Euròpa"-properNoun-oc "Europa"-properNoun-es
"Alemanha"-properNoun-oc "Alemania"-properNoun-es
"Canadà"-properNoun-oc "Canadá"-properNoun-es
"Quebèc"-properNoun-oc "Quebec"-properNoun-es
"Belgica"-properNoun-oc "Bélgica"-properNoun-es
"Londres"-properNoun-oc "Londres"-properNoun-es
"Japon"-properNoun-oc "Japón"-properNoun-es
"China"-properNoun-oc "China"-properNoun-es
"Polonha"-properNoun-oc "Polonia"-properNoun-es
"Africa"-properNoun-oc "África"-properNoun-es
"Soïssa"-properNoun-oc "Suiza"-properNoun-es
"Austràlia"-properNoun-oc "Australia"-properNoun-es
"Berlin"-properNoun-oc "Berlín"-properNoun-es
"Califòrnia"-properNoun-oc "California"-properNoun-es
"Bretanha"-properNoun-oc "Bretaña"-properNoun-es
"Índia"-properNoun-oc "India"-properNoun-es
"Viena"-properNoun-oc "Viena"-properNoun-es
"Brasil"-properNoun-oc "Brasil"-properNoun-es
"Moscòu"-properNoun-oc "Moscú"-properNoun-es
"Argeria"-properNoun-oc "Argelia"-properNoun-es
"Chicago"-properNoun-oc "Chicago"-properNoun-es
"Àustria"-properNoun-oc "Austria"-properNoun-es
"Ròse"-properNoun-oc "Ròse"-properNoun-es
"Marròc"-properNoun-oc "Marruecos"-properNoun-es
"Ongria"-properNoun-oc "Hungría"-properNoun-es
"Serbia"-properNoun-oc "Serbia"-properNoun-es
"Asia"-properNoun-oc "Asia"-properNoun-es
"Grècia"-properNoun-oc "Grecia"-properNoun-es
"Suècia"-properNoun-oc "Suecia"-properNoun-es
"Niça"-properNoun-oc "Niza"-properNoun-es
"Portugal"-properNoun-oc "Portugal"-properNoun-es
"Argentina"-properNoun-oc "Argentina"-properNoun-es
"Israèl"-properNoun-oc "Israel"-properNoun-es
"Mexic"-properNoun-oc "Méjico"-properNoun-es
"Mexic"-properNoun-oc "México"-properNoun-es
"Egipte"-properNoun-oc "Egipto"-properNoun-es
"America"-properNoun-oc "América"-properNoun-es
"Grand Bretanha"-properNoun-oc "Gran Bretaña"-properNoun-es
"Escòcia"-properNoun-oc "Escocia"-properNoun-es
"Normandia"-properNoun-oc "Normandía"-properNoun-es
"Savòia"-properNoun-oc "Saboya"-properNoun-es
"Turquia"-properNoun-oc "Turquía"-properNoun-es
"Irlanda"-properNoun-oc "Irlanda"-properNoun-es
"Luxemborg"-properNoun-oc "Luxemburgo"-properNoun-es
"America del Nòrd"-properNoun-oc "América del Norte"-properNoun-es
"Tòquio"-properNoun-oc "Tokio"-properNoun-es
"Tòquio"-properNoun-oc "Tokyo"-properNoun-es
"Colómbia"-properNoun-oc "Colombia"-properNoun-es
"Tunisia"-properNoun-oc "Túnez"-properNoun-es
"Munic"-properNoun-oc "Múnich"-properNoun-es
"Sèina"-properNoun-oc "Sèina"-properNoun-es
"Venècia"-properNoun-oc "Venecia"-properNoun-es
"Tèxas"-properNoun-oc "Texas"-properNoun-es
"Auvèrnhe"-properNoun-oc "Auvernia"-properNoun-es
"Auvèrnha"-properNoun-oc "Auvernia"-properNoun-es
"Còngo"-properNoun-oc "Congo"-properNoun-es
"Chile"-properNoun-oc "Chile"-properNoun-es
"Alsàcia"-properNoun-oc "Alsacia"-properNoun-es
"Amsterdam"-properNoun-oc "Amsterdam"-properNoun-es
"Romania"-properNoun-oc "Rumania"-properNoun-es
"Romania"-properNoun-oc "Rumanía"-properNoun-es
"Alps"-properNoun-oc "Alpes"-properNoun-es
"Aups"-properNoun-oc "Alpes"-properNoun-es
"Maurici"-properNoun-oc "Mauricio"-properNoun-es
"Norvègia"-properNoun-oc "Noruega"-properNoun-es
"Florida"-properNoun-oc "Florida"-properNoun-es
"Ucraïna"-properNoun-oc "Ucrania"-properNoun-es
"Finlàndia"-properNoun-oc "Finlandia"-properNoun-es
"Georgia"-properNoun-oc "Georgia"-properNoun-es
"Senegal"-properNoun-oc "Senegal"-properNoun-es
"Siria"-properNoun-oc "Siria"-properNoun-es
"Corèa"-properNoun-oc "Corea"-properNoun-es
"Peró"-properNoun-oc "Perú"-properNoun-es
"Cuba"-properNoun-oc "Cuba"-properNoun-es
"Sydney"-properNoun-oc "Sydney"-properNoun-es
"Paquistan"-properNoun-oc "Pakistán"-properNoun-es
"Mosèla"-properNoun-oc "Mosel·la"-properNoun-es
"Madagascar"-properNoun-oc "Madagascar"-properNoun-es
"Angieus"-properNoun-oc "Angers"-properNoun-es
"Turin"-properNoun-oc "Turín"-properNoun-es
"Liban"-properNoun-oc "Líbano"-properNoun-es
"Corsega"-properNoun-oc "Córcega"-properNoun-es
"Bòsnia e Ercegovina"-properNoun-oc "Bosnia y Herzegovina"-properNoun-es
"Bulgaria"-properNoun-oc "Bulgaria"-properNoun-es
"Vietnam"-properNoun-oc "Vietnam"-properNoun-es
"Aragon"-properNoun-oc "Aragón"-properNoun-es
"Indonesia"-properNoun-oc "Indonesia"-properNoun-es
"Còsta d'Evòri"-properNoun-oc "Costa de Marfil"-properNoun-es
"Pequin"-properNoun-oc "Pekín"-properNoun-es
"Maine"-properNoun-oc "Maine"-properNoun-es
"Marna"-properNoun-oc "Marna"-properNoun-es
"Zuric"-properNoun-oc "Zúrich"-properNoun-es
"Filipinas"-properNoun-oc "Filipinas"-properNoun-es
"Limòtges"-properNoun-oc "Limoges"-properNoun-es
"Iraq"-properNoun-oc "Irak"-properNoun-es
"Bòsnia"-properNoun-oc "Bosnia"-properNoun-es
"Etiopia"-properNoun-oc "Etiopía"-properNoun-es
"Malta"-properNoun-oc "Malta"-properNoun-es
"Hollywood"-properNoun-oc "Hollywood"-properNoun-es
"Eslovaquia"-properNoun-oc "Eslovaquia"-properNoun-es
"Singapor"-properNoun-oc "Singapur"-properNoun-es
"Islàndia"-properNoun-oc "Islandia"-properNoun-es
"Miami"-properNoun-oc "Miami"-properNoun-es
"Olanda"-properNoun-oc "Holanda"-properNoun-es
"Armenia"-properNoun-oc "Armenia"-properNoun-es
"Sodan"-properNoun-oc "Sudán"-properNoun-es
"Estònia"-properNoun-oc "Estonia"-properNoun-es
"Burkina Faso"-properNoun-oc "Burkina Faso"-properNoun-es
"Anjau"-properNoun-oc "Anjou"-properNoun-es
"Alabama"-properNoun-oc "Alabama"-properNoun-es
"Lituània"-properNoun-oc "Lituania"-properNoun-es
"Chipre"-properNoun-oc "Chipre"-properNoun-es
"Macedònia"-properNoun-oc "Macedonia"-properNoun-es
"Haití"-properNoun-oc "Haití"-properNoun-es
"Dordonha"-properNoun-oc "Dordoña"-properNoun-es
"Tailàndia"-properNoun-oc "Tailandia"-properNoun-es
"Minnesota"-properNoun-oc "Minnesota"-properNoun-es
"Belgrad"-properNoun-oc "Belgrado"-properNoun-es
"Nigèria"-properNoun-oc "Nigeria"-properNoun-es
"Guadalope"-properNoun-oc "Guadalupe"-properNoun-es
"Alaska"-properNoun-oc "Alaska"-properNoun-es
"Bolonha"-properNoun-oc "Bolonia"-properNoun-es
"Panamà"-properNoun-oc "Panamá"-properNoun-es
"Rosselhon"-properNoun-oc "Rosellón"-properNoun-es
"Rosselhon"-properNoun-oc "Rosselló"-properNoun-es
"Erau"-properNoun-oc "Hérault"-properNoun-es
"Albania"-properNoun-oc "Albania"-properNoun-es
"Afganistan"-properNoun-oc "Afganistán"-properNoun-es
"Uruguai"-properNoun-oc "Uruguay"-properNoun-es
"Sardenha"-properNoun-oc "Cerdeña"-properNoun-es
"Kenya"-properNoun-oc "Kenia"-properNoun-es
"Bielorussia"-properNoun-oc "Bielorrusia"-properNoun-es
"Albèrta"-properNoun-oc "Alberta"-properNoun-es
"Letònia"-properNoun-oc "Letonia"-properNoun-es
"Dakar"-properNoun-oc "Dakar"-properNoun-es
"Eslovènia"-properNoun-oc "Eslovenia"-properNoun-es
"Ghana"-properNoun-oc "Ghana"-properNoun-es
"Beirot"-properNoun-oc "Beirut"-properNoun-es
"Aosta"-properNoun-oc "Aosta"-properNoun-es
"Birmania"-properNoun-oc "Birmania"-properNoun-es
"Aquisgran"-properNoun-oc "Aquisgrán"-properNoun-es
"Moldàvia"-properNoun-oc "Moldavia"-properNoun-es
"Malàisia"-properNoun-oc "Malasia"-properNoun-es
"Lanas"-properNoun-oc "Landas"-properNoun-es
"Antilhas"-properNoun-oc "Antillas"-properNoun-es
"Perpinhan"-properNoun-oc "Perpiñán"-properNoun-es
"Òlt"-properNoun-oc "Olt"-properNoun-es
"Arkansas"-properNoun-oc "Arkansas"-properNoun-es
"Guinèa"-properNoun-oc "Guinea"-properNoun-es
"Andalosia"-properNoun-oc "Andalucía"-properNoun-es
"Libia"-properNoun-oc "Libia"-properNoun-es
"Vic"-properNoun-oc "Vich"-properNoun-es
"Vic"-properNoun-oc "Vic"-properNoun-es
"Rwanda"-properNoun-oc "Ruanda"-properNoun-es
"Nepal"-properNoun-oc "Nepal"-properNoun-es
"Guatemala"-properNoun-oc "Guatemala"-properNoun-es
"Gaza"-properNoun-oc "Gaza"-properNoun-es
"Benin"-properNoun-oc "Benín"-properNoun-es
"Bascoat"-properNoun-oc "País Vasco"-properNoun-es
"Sofia"-properNoun-oc "Sofia"-properNoun-es
"Garona"-properNoun-oc "Garona"-properNoun-es
"Carcassona"-properNoun-oc "Carcasona"-properNoun-es
"Nicaragua"-properNoun-oc "Nicaragua"-properNoun-es
"Montevideo"-properNoun-oc "Montevideo"-properNoun-es
"Jordania"-properNoun-oc "Jordania"-properNoun-es
"Zimbabwe"-properNoun-oc "Zimbabwe"-properNoun-es
"Pirenèus"-properNoun-oc "Pirineos"-properNoun-es
"Pirenèu"-properNoun-oc "Pirineo"-properNoun-es
"Hiroshima"-properNoun-oc "Hiroshima"-properNoun-es
"Gàmbia"-properNoun-oc "Gambia"-properNoun-es
"Galícia"-properNoun-oc "Galicia"-properNoun-es
"Eritrèa"-properNoun-oc "Eritrea"-properNoun-es
"Andòrra"-properNoun-oc "Andorra"-properNoun-es
"Anatolia"-properNoun-oc "Anatólia"-properNoun-es
"Zambia"-properNoun-oc "Zambia"-properNoun-es
"Vanuatu"-properNoun-oc "Vanuatu"-properNoun-es
"Sarajevo"-properNoun-oc "Sarajevo"-properNoun-es
"Mauritània"-properNoun-oc "Mauritania"-properNoun-es
"Burundi"-properNoun-oc "Burundi"-properNoun-es
"Bangkòk"-properNoun-oc "Bangkok"-properNoun-es
"Bahamas"-properNoun-oc "Bahamas"-properNoun-es
"Saragossa"-properNoun-oc "Zaragoza"-properNoun-es
"Liechtenstein"-properNoun-oc "Liechtenstein"-properNoun-es
"Gabon"-properNoun-oc "Gabón"-properNoun-es
"Oman"-properNoun-oc "Omán"-properNoun-es
"Neptun"-properNoun-oc "Neptuno"-properNoun-es
"Nauru"-properNoun-oc "Nauru"-properNoun-es
"Maldivas"-properNoun-oc "Maldivas"-properNoun-es
"Malawi"-properNoun-oc "Malawi"-properNoun-es
"Còsta d'Azur"-properNoun-oc "Costa Azul"-properNoun-es
"Botswana"-properNoun-oc "Botsuana"-properNoun-es
"Amazonia"-properNoun-oc "Amazonia"-properNoun-es
"Cerdanha"-properNoun-oc "Cerdaña"-properNoun-es
"Bahrayn"-properNoun-oc "Bahrein"-properNoun-es
"Alacant"-properNoun-oc "Alacant"-properNoun-es
"Alacant"-properNoun-oc "Alicante"-properNoun-es
"Valladolid"-properNoun-oc "Valladolid"-properNoun-es
"Taiwan"-properNoun-oc "Taiwán"-properNoun-es
"Surinam"-properNoun-oc "Surinam"-properNoun-es
"Bratislava"-properNoun-oc "Bratislava"-properNoun-es
"Guadalajara"-properNoun-oc "Guadalajara"-properNoun-es
"Timòr"-properNoun-oc "Timor"-properNoun-es
"Orleans"-properNoun-oc "Orleans"-properNoun-es
"Aquitània"-properNoun-oc "Aquitania"-properNoun-es
"Oise"-properNoun-oc "Oise"-properNoun-es
"Buenos Aires"-properNoun-oc "Buenos Aires"-properNoun-es
"Liverpool"-properNoun-oc "Liverpool"-properNoun-es
"Eure"-properNoun-oc "Eure"-properNoun-es
"Basilèa"-properNoun-oc "Basilea"-properNoun-es
"Loiret"-properNoun-oc "Loiret"-properNoun-es
"Charanta"-properNoun-oc "Charente"-properNoun-es
"Melbourne"-properNoun-oc "Melbourne"-properNoun-es
"Atlanta"-properNoun-oc "Atlanta"-properNoun-es
"Lombardia"-properNoun-oc "Lombardia"-properNoun-es
"Clarmont"-properNoun-oc "Clermont-Ferrand"-properNoun-es
"Manhattan"-properNoun-oc "Manhattan"-properNoun-es
"Baltimore"-properNoun-oc "Baltimore"-properNoun-es
"Avairon"-properNoun-oc "Aveyron"-properNoun-es
"Ardecha"-properNoun-oc "Ardèche"-properNoun-es
"Arràs"-properNoun-oc "Arrás"-properNoun-es
"Aussèrra"-properNoun-oc "Auxerre"-properNoun-es
"Yonne"-properNoun-oc "Yonne"-properNoun-es
"Guaiana"-properNoun-oc "Guayana"-properNoun-es
"Broadway"-properNoun-oc "Broadway"-properNoun-es
"Gard"-properNoun-oc "Gard"-properNoun-es
"Salzborg"-properNoun-oc "Salzburgo"-properNoun-es
"Piemont"-properNoun-oc "Piamonte"-properNoun-es
"Arièja"-properNoun-oc "Ariège"-properNoun-es
"Sarthe"-properNoun-oc "Sarthe"-properNoun-es
"Tarn"-properNoun-oc "Tarn"-properNoun-es
"Bengala"-properNoun-oc "Bengala"-properNoun-es
"Vauclusa"-properNoun-oc "Valclusa"-properNoun-es
"Portland"-properNoun-oc "Portland"-properNoun-es
"Cantal"-properNoun-oc "Cantal"-properNoun-es
"Jersey"-properNoun-oc "Jersey"-properNoun-es
"Delhi"-properNoun-oc "Delhi"-properNoun-es
"Arabia"-properNoun-oc "Arabia"-properNoun-es
"Calàbria"-properNoun-oc "Calabria"-properNoun-es
"Pluton"-properNoun-oc "Plutón"-properNoun-es
"Guam"-properNoun-oc "Guam"-properNoun-es
"Bamako"-properNoun-oc "Bamako"-properNoun-es
"Amman"-properNoun-oc "Ammán"-properNoun-es
"Agadir"-properNoun-oc "Agadir"-properNoun-es
"Danemarc"-properNoun-oc "Dinamarca"-properNoun-es
"Casablanca"-properNoun-oc "Casablanca"-properNoun-es
"Saturn"-properNoun-oc "Saturno"-properNoun-es
"Lorena"-properNoun-oc "Lorena"-properNoun-es
"Mónegue"-properNoun-oc "Mónaco"-properNoun-es
"Hong Kong"-properNoun-oc "Hong Kong"-properNoun-es
"Atenas"-properNoun-oc "Atenas"-properNoun-es
"Croàcia"-properNoun-oc "Croacia"-properNoun-es
"Lemòtges"-properNoun-oc "Limoges"-properNoun-es
"Arizòna"-properNoun-oc "Arizona"-properNoun-es
"Equator"-properNoun-oc "Ecuador"-properNoun-es
"Indiana"-properNoun-oc "Indiana"-properNoun-es
"Daufinat"-properNoun-oc "Delfinado"-properNoun-es
"Dalfinat"-properNoun-oc "Delfinado"-properNoun-es
"Salvador"-properNoun-oc "Salvador"-properNoun-es
"Republica Dominicana"-properNoun-oc "República Dominicana"-properNoun-es
"Losera"-properNoun-oc "Lozère"-properNoun-es
"Caledònia"-properNoun-oc "Caledonia"-properNoun-es
"repréner"-verb-oc "reanudar"-verb-es
"repréner"-verb-oc "reemprender"-verb-es
"repréner"-verb-oc "retomar"-verb-es
"reprene"-verb-oc "reanudar"-verb-es
"reprene"-verb-oc "reemprender"-verb-es
"reprene"-verb-oc "retomar"-verb-es
"inclure"-verb-oc "incluir"-verb-es
"correspondre"-verb-oc "corresponder"-verb-es
"desparéisser"-verb-oc "desaparecer"-verb-es
"interrompre"-verb-oc "interrumpir"-verb-es
"camin de fèrre"-noun-oc "ferrocarril"-noun-es
"Rosa"-properNoun-oc "Rosa"-properNoun-es
"Maria"-properNoun-oc "Maria"-properNoun-es
"Catherine"-properNoun-oc "Catherine"-properNoun-es
"Margarida"-properNoun-oc "Margarida"-properNoun-es
"Mary"-properNoun-oc "Mary"-properNoun-es
"Victoria"-properNoun-oc "Victoria"-properNoun-es
"Magdalena"-properNoun-oc "Magdalena"-properNoun-es
"Sarah"-properNoun-oc "Sarah"-properNoun-es
"Elisabeth"-properNoun-oc "Elisabeth"-properNoun-es
"Kim"-properNoun-oc "Kim"-properNoun-es
"Sophie"-properNoun-oc "Sophie"-properNoun-es
"Carolina"-properNoun-oc "Carolina"-properNoun-es
"Jane"-properNoun-oc "Jane"-properNoun-es
"Andy"-properNoun-oc "Andy"-properNoun-es
"Andrea"-properNoun-oc "Andrea"-properNoun-es
"Teresa"-properNoun-oc "Teresa"-properNoun-es
"Elizabeth"-properNoun-oc "Elizabeth"-properNoun-es
"Jessica"-properNoun-oc "Jessica"-properNoun-es
"Nicole"-properNoun-oc "Nicole"-properNoun-es
"Sara"-properNoun-oc "Sara"-properNoun-es
"Susana"-properNoun-oc "Susana"-properNoun-es
"Emma"-properNoun-oc "Emma"-properNoun-es
"Margaret"-properNoun-oc "Margaret"-properNoun-es
"Aude"-properNoun-oc "Aude"-properNoun-es
"Lisa"-properNoun-oc "Lisa"-properNoun-es
"Ana"-properNoun-oc "Ana"-properNoun-es
"María"-properNoun-oc "María"-properNoun-es
"Mariana"-properNoun-oc "Mariana"-properNoun-es
"Kate"-properNoun-oc "Kate"-properNoun-es
"Agnès"-properNoun-oc "Agnès"-properNoun-es
"Patricia"-properNoun-oc "Patricia"-properNoun-es
"Michelle"-properNoun-oc "Michelle"-properNoun-es
"Alexandra"-properNoun-oc "Alexandra"-properNoun-es
"Elena"-properNoun-oc "Elena"-properNoun-es
"Ruth"-properNoun-oc "Ruth"-properNoun-es
"Eva"-properNoun-oc "Eva"-properNoun-es
"Monica"-properNoun-oc "Monica"-properNoun-es
"Julia"-properNoun-oc "Julia"-properNoun-es
"Virginia"-properNoun-oc "Virginia"-properNoun-es
"Emily"-properNoun-oc "Emily"-properNoun-es
"Renée"-properNoun-oc "Renée"-properNoun-es
"Diane"-properNoun-oc "Diane"-properNoun-es
"Karen"-properNoun-oc "Karen"-properNoun-es
"Juliette"-properNoun-oc "Juliette"-properNoun-es
"Julieta"-properNoun-oc "Julieta"-properNoun-es
"Carmen"-properNoun-oc "Carmen"-properNoun-es
"Rachel"-properNoun-oc "Rachel"-properNoun-es
"Betty"-properNoun-oc "Betty"-properNoun-es
"Ivona"-properNoun-oc "Ivona"-properNoun-es
"Vanessa"-properNoun-oc "Vanessa"-properNoun-es
"Natalia"-properNoun-oc "Natalia"-properNoun-es
"Martha"-properNoun-oc "Martha"-properNoun-es
"Lucia"-properNoun-oc "Lucia"-properNoun-es
