"qué que ne siá"-adverb-oc "quoi qu'il en soit"-adverb-fr
"elicitacion"-noun-oc "élicitation"-noun-fr
"élicitation"-noun-fr "elicitacion"-noun-oc
"embriogenèsi"-noun-oc "embryogenèse"-noun-fr
"embryogenèse"-noun-fr "embriogenèsi"-noun-oc
"encensament"-noun-oc "encensement"-noun-fr
"encensement"-noun-fr "encensament"-noun-oc
"endemicitat"-noun-oc "endémicité"-noun-fr
"endémicité"-noun-fr "endemicitat"-noun-oc
"endosimbiòsi"-noun-oc "endosymbiose"-noun-fr
"endosymbiose"-noun-fr "endosimbiòsi"-noun-oc
"enflament"-noun-oc "enflement"-noun-fr
"enflement"-noun-fr "enflament"-noun-oc
"entimèma"-noun-oc "enthymème"-noun-fr
"enthymème"-noun-fr "entimèma"-noun-oc
"emmascament"-noun-oc "envoûtement"-noun-fr
"envoûtement"-noun-fr "emmascament"-noun-oc
"envoûtement"-noun-fr "enfachinament"-noun-oc
"enfachinament"-noun-oc "envoûtement"-noun-fr
"epanadiplòsi"-noun-oc "épanadiplose"-noun-fr
"épanadiplose"-noun-fr "epanadiplòsi"-noun-oc
"espelta"-noun-oc "épeautre"-noun-fr
"épeautre"-noun-fr "espelta"-noun-oc
"épeautre"-noun-fr "espeuta"-noun-oc
"épeautre"-noun-fr "espèuta"-noun-oc
"espeuta"-noun-oc "épeautre"-noun-fr
"espèuta"-noun-oc "épeautre"-noun-fr
"efemèra"-noun-oc "éphémère"-noun-fr
"éphémère"-noun-fr "efemèra"-noun-oc
"espieut"-noun-oc "épieu"-noun-fr
"épieu"-noun-fr "espieut"-noun-oc
"epigenetica"-noun-oc "épigénétique"-noun-fr
"épigénétique"-noun-fr "epigenetica"-noun-oc
"epifenomèn"-noun-oc "épiphénomène"-noun-fr
"épiphénomène"-noun-fr "epifenomèn"-noun-oc
"eponimia"-noun-oc "éponymie"-noun-fr
"éponymie"-noun-fr "eponimia"-noun-oc
"eritèma"-noun-oc "érythème"-noun-fr
"érythème"-noun-fr "eritèma"-noun-oc
"estuba"-noun-oc "étuve"-noun-fr
"étuve"-noun-fr "estuba"-noun-oc
"eutrofizacion"-noun-oc "eutrophisation"-noun-fr
"eutrophisation"-noun-fr "eutrofizacion"-noun-oc
"evangeliari"-noun-oc "évangéliaire"-noun-fr
"évangéliaire"-noun-fr "evangeliari"-noun-oc
"escarrabilhat"-noun-oc "éveillé"-noun-fr
"éveillé"-noun-fr "escarrabilhat"-noun-oc
"esventament"-noun-oc "éventement"-noun-fr
"éventement"-noun-fr "esventament"-noun-oc
"extrinsecisme"-noun-oc "extrinsécisme"-noun-fr
"extrinsécisme"-noun-fr "extrinsecisme"-noun-oc
"totòbra"-noun-oc "factotum"-noun-fr
"factotum"-noun-fr "totòbra"-noun-oc
"farsejaire"-noun-oc "farceur"-noun-fr
"farceur"-noun-fr "farsejaire"-noun-oc
"fetichizacion"-noun-oc "fétichisation"-noun-fr
"fétichisation"-noun-fr "fetichizacion"-noun-oc
"filador"-noun-oc "fileur"-noun-fr
"fileur"-noun-fr "filador"-noun-oc
"fileur"-noun-fr "filaire"-noun-oc
"filaire"-noun-oc "fileur"-noun-fr
"flexor"-noun-oc "fléchisseur"-noun-fr
"fléchisseur"-noun-fr "flexor"-noun-oc
"frairon"-noun-oc "frérot"-noun-fr
"frérot"-noun-fr "frairon"-noun-oc
"pecunha"-noun-oc "fric"-noun-fr
"fric"-noun-fr "pecunha"-noun-oc
"fric"-noun-fr "picalha"-noun-oc
"picalha"-noun-oc "fric"-noun-fr
"bronda"-noun-oc "frondaison"-noun-fr
"frondaison"-noun-fr "bronda"-noun-oc
"foissenc"-noun-oc "fuxéen"-noun-fr
"fuxéen"-noun-fr "foissenc"-noun-oc
"gaietat"-noun-oc "gaîté"-noun-fr
"gaîté"-noun-fr "gaietat"-noun-oc
"galèa"-noun-oc "galée"-noun-fr
"galée"-noun-fr "galèa"-noun-oc
"galée"-noun-fr "galèia"-noun-oc
"galèia"-noun-oc "galée"-noun-fr
"galvanizacion"-noun-oc "galvanisation"-noun-fr
"galvanisation"-noun-fr "galvanizacion"-noun-oc
"espingada"-noun-oc "gambade"-noun-fr
"gambade"-noun-fr "espingada"-noun-oc
"solharda"-noun-oc "garce"-noun-fr
"garce"-noun-fr "solharda"-noun-oc
"gascon"-noun-oc "gascon"-noun-fr
"gascon"-noun-fr "gascon"-noun-oc
"bestiesa"-noun-oc "gaudriole"-noun-fr
"gaudriole"-noun-fr "bestiesa"-noun-oc
"gaudriole"-noun-fr "colhonada"-noun-oc
"colhonada"-noun-oc "gaudriole"-noun-fr
"gampa"-noun-oc "gaupe"-noun-fr
"gaupe"-noun-fr "gampa"-noun-oc
"gaupe"-noun-fr "gaupa"-noun-oc
"gaupe"-noun-fr "soirassa"-noun-oc
"gaupa"-noun-oc "gaupe"-noun-fr
"soirassa"-noun-oc "gaupe"-noun-fr
"gemonias"-noun-oc "gémonies"-noun-fr
"gémonies"-noun-fr "gemonias"-noun-oc
"geoquimia"-noun-oc "géochimie"-noun-fr
"géochimie"-noun-fr "geoquimia"-noun-oc
"geolocalizacion"-noun-oc "géolocalisation"-noun-fr
"géolocalisation"-noun-fr "geolocalizacion"-noun-oc
"glèba"-noun-oc "glèbe"-noun-fr
"glèbe"-noun-fr "glèba"-noun-oc
"cluèg"-noun-oc "glui"-noun-fr
"glui"-noun-fr "cluèg"-noun-oc
"glui"-noun-fr "gluèg"-noun-oc
"gluèg"-noun-oc "glui"-noun-fr
"capochon"-noun-oc "gouet"-noun-fr
"gouet"-noun-fr "capochon"-noun-oc
"gouet"-noun-fr "podadoira"-noun-oc
"podadoira"-noun-oc "gouet"-noun-fr
"girbaud"-noun-oc "goujat"-noun-fr
"goujat"-noun-fr "girbaud"-noun-oc
"golut"-noun-oc "goulu"-noun-fr
"goulu"-noun-fr "golut"-noun-oc
"cadeneta"-noun-oc "gourmette"-noun-fr
"gourmette"-noun-fr "cadeneta"-noun-oc
"gourmette"-noun-fr "gormeta"-noun-oc
"gormeta"-noun-oc "gourmette"-noun-fr
"fageda"-noun-oc "hêtraie"-noun-fr
"hêtraie"-noun-fr "fageda"-noun-oc
"hêtraie"-noun-fr "faget"-noun-oc
"hêtraie"-noun-fr "fajal"-noun-oc
"faget"-noun-oc "hêtraie"-noun-fr
"fajal"-noun-oc "hêtraie"-noun-fr
"urós"-noun-oc "heureux"-noun-fr
"heureux"-noun-fr "urós"-noun-oc
"ominizacion"-noun-oc "hominisation"-noun-fr
"hominisation"-noun-fr "ominizacion"-noun-oc
"bodenflitge"-noun-oc "hydropisie"-noun-fr
"hydropisie"-noun-fr "bodenflitge"-noun-oc
"hydropisie"-noun-fr "idropisia"-noun-oc
"idropisia"-noun-oc "hydropisie"-noun-fr
"ipocentre"-noun-oc "hypocentre"-noun-fr
"hypocentre"-noun-fr "ipocentre"-noun-oc
"iponim"-noun-oc "hyponyme"-noun-fr
"hyponyme"-noun-fr "iponim"-noun-oc
"hyponyme"-noun-fr "iponime"-noun-oc
"iponime"-noun-oc "hyponyme"-noun-fr
"ipotipòsi"-noun-oc "hypotypose"-noun-fr
"hypotypose"-noun-fr "ipotipòsi"-noun-oc
"ido"-noun-oc "ido"-noun-fr
"ido"-noun-fr "ido"-noun-oc
"immutabilitat"-noun-oc "immuabilité"-noun-fr
"immuabilité"-noun-fr "immutabilitat"-noun-oc
"descarat"-noun-oc "insolent"-noun-fr
"insolent"-noun-fr "descarat"-noun-oc
"insolent"-noun-fr "desvergonhat"-noun-oc
"insolent"-noun-fr "insolent"-noun-oc
"desvergonhat"-noun-oc "insolent"-noun-fr
"insolent"-noun-oc "insolent"-noun-fr
"interstici"-noun-oc "interstice"-noun-fr
"interstice"-noun-fr "interstici"-noun-oc
"gelós"-noun-oc "jaloux"-noun-fr
"jaloux"-noun-fr "gelós"-noun-oc
"caqui"-noun-oc "kaki"-noun-fr
"kaki"-noun-fr "caqui"-noun-oc
"lag"-noun-oc "laid"-noun-fr
"laid"-noun-fr "lag"-noun-oc
"laid"-noun-fr "laid"-noun-oc
"laid"-noun-oc "laid"-noun-fr
"lanatge"-noun-oc "lainage"-noun-fr
"lainage"-noun-fr "lanatge"-noun-oc
"lanariá"-noun-oc "lainerie"-noun-fr
"lainerie"-noun-fr "lanariá"-noun-oc
"lanièr"-noun-oc "lainier"-noun-fr
"lainier"-noun-fr "lanièr"-noun-oc
"alarega"-noun-oc "laiteron"-noun-fr
"laiteron"-noun-fr "alarega"-noun-oc
"laiteron"-noun-fr "cardèla"-noun-oc
"laiteron"-noun-fr "lachairon"-noun-oc
"laiteron"-noun-fr "laitisson"-noun-oc
"cardèla"-noun-oc "laiteron"-noun-fr
"lachairon"-noun-oc "laiteron"-noun-fr
"laitisson"-noun-oc "laiteron"-noun-fr
"flandrinaire"-noun-oc "lambin"-noun-fr
"lambin"-noun-fr "flandrinaire"-noun-oc
"lambin"-noun-fr "flandrin"-noun-oc
"flandrin"-noun-oc "lambin"-noun-fr
"lengadocian"-noun-oc "languedocien"-noun-fr
"languedocien"-noun-fr "lengadocian"-noun-oc
"gaudèla"-noun-oc "lèchefrite"-noun-fr
"lèchefrite"-noun-fr "gaudèla"-noun-oc
"lèchefrite"-noun-fr "lecafròia"-noun-oc
"lèchefrite"-noun-fr "paragrais"-noun-oc
"lecafròia"-noun-oc "lèchefrite"-noun-fr
"paragrais"-noun-oc "lèchefrite"-noun-fr
"lesina"-noun-oc "lésine"-noun-fr
"lésine"-noun-fr "lesina"-noun-oc
"lexia"-noun-oc "lexie"-noun-fr
"lexie"-noun-fr "lexia"-noun-oc
"libidinós"-noun-oc "libidineux"-noun-fr
"libidineux"-noun-fr "libidinós"-noun-oc
"linhòl"-noun-oc "ligneul"-noun-fr
"ligneul"-noun-fr "linhòl"-noun-oc
"lignificacion"-noun-oc "lignification"-noun-fr
"lignification"-noun-fr "lignificacion"-noun-oc
"lignina"-noun-oc "lignine"-noun-fr
"lignine"-noun-fr "lignina"-noun-oc
"lemosin"-noun-oc "limousin"-noun-fr
"limousin"-noun-fr "lemosin"-noun-oc
"lepada"-noun-oc "lippée"-noun-fr
"lippée"-noun-fr "lepada"-noun-oc
"lolita"-noun-oc "lolita"-noun-fr
"lolita"-noun-fr "lolita"-noun-oc
"lobatariá"-noun-oc "louveterie"-noun-fr
"louveterie"-noun-fr "lobatariá"-noun-oc
"loseròt"-noun-oc "Lozérien"-noun-fr
"Lozérien"-noun-fr "loseròt"-noun-oc
"doceta"-noun-oc "mâche"-noun-fr
"mâche"-noun-fr "doceta"-noun-oc
"mâche"-noun-fr "graisseta"-noun-oc
"graisseta"-noun-oc "mâche"-noun-fr
"negrassa"-noun-oc "macreuse"-noun-fr
"macreuse"-noun-fr "negrassa"-noun-oc
"madrepòra"-noun-oc "madrépore"-noun-fr
"madrépore"-noun-fr "madrepòra"-noun-oc
"esparràs"-noun-oc "madrier"-noun-fr
"madrier"-noun-fr "esparràs"-noun-oc
"madrier"-noun-fr "esparrat"-noun-oc
"madrier"-noun-fr "madièr"-noun-oc
"madrier"-noun-fr "postassa"-noun-oc
"esparrat"-noun-oc "madrier"-noun-fr
"madièr"-noun-oc "madrier"-noun-fr
"postassa"-noun-oc "madrier"-noun-fr
"magre"-noun-oc "maigre"-noun-fr
"maigre"-noun-fr "magre"-noun-oc
"maigre"-noun-fr "maigre"-noun-oc
"maigre"-noun-oc "maigre"-noun-fr
"pataud"-noun-oc "maladroit"-noun-fr
"maladroit"-noun-fr "pataud"-noun-oc
"malausent"-noun-oc "malentendant"-noun-fr
"malentendant"-noun-fr "malausent"-noun-oc
"malentendant"-noun-fr "malentendent"-noun-oc
"malentendant"-noun-fr "sord"-noun-oc
"malentendent"-noun-oc "malentendant"-noun-fr
"sord"-noun-oc "malentendant"-noun-fr
"malastrós"-noun-oc "malheureux"-noun-fr
"malheureux"-noun-fr "malastrós"-noun-oc
"malheureux"-noun-fr "malaürós"-noun-oc
"malaürós"-noun-oc "malheureux"-noun-fr
"malnet"-noun-oc "malpropre"-noun-fr
"malpropre"-noun-fr "malnet"-noun-oc
"maniac"-noun-oc "maniaque"-noun-fr
"maniaque"-noun-fr "maniac"-noun-oc
"maniaque"-noun-fr "tissós"-noun-oc
"tissós"-noun-oc "maniaque"-noun-fr
"mercandejaire"-noun-oc "marchandeur"-noun-fr
"marchandeur"-noun-fr "mercandejaire"-noun-oc
"marchandeur"-noun-fr "regatejaire"-noun-oc
"regatejaire"-noun-oc "marchandeur"-noun-fr
"marguillier"-noun-fr "marguilièr"-noun-oc
"marguilièr"-noun-oc "marguillier"-noun-fr
"faucilh"-noun-oc "martinet"-noun-fr
"martinet"-noun-fr "faucilh"-noun-oc
"mascaret"-noun-oc "mascaret"-noun-fr
"mascaret"-noun-fr "mascaret"-noun-oc
"marrit"-noun-oc "mauvais"-noun-fr
"marrit"-noun-oc "méchant"-noun-fr
"mauvais"-noun-fr "marrit"-noun-oc
"méchant"-noun-fr "marrit"-noun-oc
"mecatronica"-noun-oc "mécatronique"-noun-fr
"mécatronique"-noun-fr "mecatronica"-noun-oc
"melhor"-noun-oc "meilleur"-noun-fr
"meilleur"-noun-fr "melhor"-noun-oc
"meronim"-noun-oc "méronyme"-noun-fr
"méronyme"-noun-fr "meronim"-noun-oc
"méronyme"-noun-fr "meronime"-noun-oc
"meronime"-noun-oc "méronyme"-noun-fr
"meronimia"-noun-oc "méronymie"-noun-fr
"méronymie"-noun-fr "meronimia"-noun-oc
"mesquin"-noun-oc "mesquin"-noun-fr
"mesquin"-noun-fr "mesquin"-noun-oc
"metabòla"-noun-oc "métabole"-noun-fr
"métabole"-noun-fr "metabòla"-noun-oc
"metalèpsi"-noun-oc "métalepse"-noun-fr
"métalepse"-noun-fr "metalèpsi"-noun-oc
"metaplasme"-noun-oc "métaplasme"-noun-fr
"métaplasme"-noun-fr "metaplasme"-noun-oc
"metazoari"-noun-oc "métazoaire"-noun-fr
"métazoaire"-noun-fr "metazoari"-noun-oc
"boira"-noun-oc "méteil"-noun-fr
"méteil"-noun-fr "boira"-noun-oc
"metriti"-noun-oc "métrite"-noun-fr
"métrite"-noun-fr "metriti"-noun-oc
"canhada"-noun-oc "meute"-noun-fr
"meute"-noun-fr "canhada"-noun-oc
"cantapolet"-noun-oc "mirliton"-noun-fr
"mirliton"-noun-fr "cantapolet"-noun-oc
"mirliton"-noun-fr "mirliton"-noun-oc
"mirliton"-noun-oc "mirliton"-noun-fr
"mobileta"-noun-oc "mobylette"-noun-fr
"mobylette"-noun-fr "mobileta"-noun-oc
"mobylette"-noun-fr "petarèl"-noun-oc
"mobylette"-noun-fr "petroleta"-noun-oc
"petarèl"-noun-oc "mobylette"-noun-fr
"petroleta"-noun-oc "mobylette"-noun-fr
"mirgalhadura"-noun-oc "moirure"-noun-fr
"moirure"-noun-fr "mirgalhadura"-noun-oc
"monista"-noun-oc "moniste"-noun-fr
"moniste"-noun-fr "monista"-noun-oc
"montpelhierenc"-noun-oc "montpelliérain"-noun-fr
"montpelliérain"-noun-fr "montpelhierenc"-noun-oc
"mut"-noun-oc "muet"-noun-fr
"muet"-noun-fr "mut"-noun-oc
"carlamusa"-noun-oc "musette"-noun-fr
"musette"-noun-fr "carlamusa"-noun-oc
"narrejament"-noun-oc "nasillement"-noun-fr
"nasillement"-noun-fr "narrejament"-noun-oc
"nasillement"-noun-fr "nasilhament"-noun-oc
"nasilhament"-noun-oc "nasillement"-noun-fr
"nacional"-noun-oc "national"-noun-fr
"national"-noun-fr "nacional"-noun-oc
"neoplasma"-noun-oc "néoplasme"-noun-fr
"néoplasme"-noun-fr "neoplasma"-noun-oc
"néoplasme"-noun-fr "tumor"-noun-oc
"tumor"-noun-oc "néoplasme"-noun-fr
"nimesenc"-noun-oc "Nîmois"-noun-fr
"Nîmois"-noun-fr "nimesenc"-noun-oc
"noosfèra"-noun-oc "noosphère"-noun-fr
"noosphère"-noun-fr "noosfèra"-noun-oc
"noumèn"-noun-oc "noumène"-noun-fr
"noumène"-noun-fr "noumèn"-noun-oc
"nosible"-noun-oc "nuisible"-noun-fr
"nuisible"-noun-fr "nosible"-noun-oc
"odonimia"-noun-oc "odonymie"-noun-fr
"odonymie"-noun-fr "odonimia"-noun-oc
"oliveda"-noun-oc "olivette"-noun-fr
"olivette"-noun-fr "oliveda"-noun-oc
"olivette"-noun-fr "oliveta"-noun-oc
"oliveta"-noun-oc "olivette"-noun-fr
"ontogenèsi"-noun-oc "ontogenèse"-noun-fr
"ontogenèse"-noun-fr "ontogenèsi"-noun-oc
"onzen"-noun-oc "onzième"-noun-fr
"onzième"-noun-fr "onzen"-noun-oc
"ordonançament"-noun-oc "ordonnancement"-noun-fr
"ordonnancement"-noun-fr "ordonançament"-noun-oc
"organèla"-noun-oc "organite"-noun-fr
"organite"-noun-fr "organèla"-noun-oc
"organite"-noun-fr "organet"-noun-oc
"organet"-noun-oc "organite"-noun-fr
"aranjada"-noun-oc "oronge"-noun-fr
"oronge"-noun-fr "aranjada"-noun-oc
"oronge"-noun-fr "cogamèla"-noun-oc
"oronge"-noun-fr "cogamèl"-noun-oc
"oronge"-noun-fr "iranjada"-noun-oc
"oronge"-noun-fr "oranjada"-noun-oc
"cogamèla"-noun-oc "oronge"-noun-fr
"cogamèl"-noun-oc "oronge"-noun-fr
"iranjada"-noun-oc "oronge"-noun-fr
"oranjada"-noun-oc "oronge"-noun-fr
"vimenièr"-noun-oc "oseraie"-noun-fr
"oseraie"-noun-fr "vimenièr"-noun-oc
"oseraie"-noun-fr "vimièra"-noun-oc
"oseraie"-noun-fr "viminièra"-noun-oc
"oseraie"-noun-fr "vimotièr"-noun-oc
"vimièra"-noun-oc "oseraie"-noun-fr
"viminièra"-noun-oc "oseraie"-noun-fr
"vimotièr"-noun-oc "oseraie"-noun-fr
"osmòsi"-noun-oc "osmose"-noun-fr
"osmose"-noun-fr "osmòsi"-noun-oc
"otiti"-noun-oc "otite"-noun-fr
"otite"-noun-fr "otiti"-noun-oc
"oblidós"-noun-oc "oublieux"-noun-fr
"oublieux"-noun-fr "oblidós"-noun-oc
"gorbet"-noun-oc "oyat"-noun-fr
"oyat"-noun-fr "gorbet"-noun-oc
"papilla"-noun-oc "papille"-noun-fr
"papille"-noun-fr "papilla"-noun-oc
"paraf"-noun-oc "paraphe"-noun-fr
"paraphe"-noun-fr "paraf"-noun-oc
"parièr"-noun-oc "pareil"-noun-fr
"pareil"-noun-fr "parièr"-noun-oc
"perfièch"-noun-oc "parfait"-noun-fr
"parfait"-noun-fr "perfièch"-noun-oc
"parfait"-noun-fr "perfièit"-noun-oc
"perfièit"-noun-oc "parfait"-noun-fr
"paronomasia"-noun-oc "paronomase"-noun-fr
"paronomase"-noun-fr "paronomasia"-noun-oc
"partença"-noun-oc "partance"-noun-fr
"partance"-noun-fr "partença"-noun-oc
"pelissièr"-noun-oc "pelletier"-noun-fr
"pelletier"-noun-fr "pelissièr"-noun-oc
"permanent"-noun-oc "permanent"-noun-fr
"permanent"-noun-fr "permanent"-noun-oc
"perorason"-noun-oc "péroraison"-noun-fr
"péroraison"-noun-fr "perorason"-noun-oc
"fenocristal"-noun-oc "phénocristal"-noun-fr
"phénocristal"-noun-fr "fenocristal"-noun-oc
"picapol"-noun-oc "picpoul"-noun-fr
"picpoul"-noun-fr "picapol"-noun-oc
"pipistrèla"-noun-oc "pipistrelle"-noun-fr
"pipistrelle"-noun-fr "pipistrèla"-noun-oc
"pitecantròp"-noun-oc "pithécanthrope"-noun-fr
"pithécanthrope"-noun-fr "pitecantròp"-noun-oc
"pleròma"-noun-oc "plérôme"-noun-fr
"plérôme"-noun-fr "pleròma"-noun-oc
"ploraire"-noun-oc "pleureur"-noun-fr
"pleureur"-noun-fr "ploraire"-noun-oc
"pleura"-noun-oc "plèvre"-noun-fr
"plèvre"-noun-fr "pleura"-noun-oc
"porcelet"-noun-oc "porcelet"-noun-fr
"porcelet"-noun-fr "porcelet"-noun-oc
"porcelet"-noun-fr "porcèl"-noun-oc
"porcèl"-noun-oc "porcelet"-noun-fr
"pragués"-noun-oc "Pragois"-noun-fr
"Pragois"-noun-fr "pragués"-noun-oc
"presuposicion"-noun-oc "présupposition"-noun-fr
"présupposition"-noun-fr "presuposicion"-noun-oc
"proboscidian"-noun-oc "proboscidien"-noun-fr
"proboscidien"-noun-fr "proboscidian"-noun-oc
"prodig"-noun-oc "prodigue"-noun-fr
"prodigue"-noun-fr "prodig"-noun-oc
"prodròme"-noun-oc "prodrome"-noun-fr
"prodrome"-noun-fr "prodròme"-noun-oc
"prostèsi"-noun-oc "prosthèse"-noun-fr
"prosthèse"-noun-fr "prostèsi"-noun-oc
"pterodactil"-noun-oc "ptérodactyle"-noun-fr
"ptérodactyle"-noun-fr "pterodactil"-noun-oc
"piuselatge"-noun-oc "pucelage"-noun-fr
"pucelage"-noun-fr "piuselatge"-noun-oc
"crentós"-noun-oc "pusillanime"-noun-fr
"pusillanime"-noun-fr "crentós"-noun-oc
"quaranten"-noun-oc "quarantième"-noun-fr
"quarantième"-noun-fr "quaranten"-noun-oc
"catorzen"-noun-oc "quatorzième"-noun-fr
"quatorzième"-noun-fr "catorzen"-noun-oc
"quatren"-noun-oc "quatrième"-noun-fr
"quatrième"-noun-fr "quatren"-noun-oc
"quidditat"-noun-oc "quiddité"-noun-fr
"quiddité"-noun-fr "quidditat"-noun-oc
"quiddité"-noun-fr "quiditat"-noun-oc
"quiditat"-noun-oc "quiddité"-noun-fr
"quinzen"-noun-oc "quinzième"-noun-fr
"quinzième"-noun-fr "quinzen"-noun-oc
"campanetas"-noun-oc "raiponce"-noun-fr
"raiponce"-noun-fr "campanetas"-noun-oc
"ramada"-noun-oc "ramée"-noun-fr
"ramée"-noun-fr "ramada"-noun-oc
"rabiment"-noun-oc "ravissement"-noun-fr
"ravissement"-noun-fr "rabiment"-noun-oc
"ravissement"-noun-fr "raubatòri"-noun-oc
"raubatòri"-noun-oc "ravissement"-noun-fr
"rejoveniment"-noun-oc "réjuvénation"-noun-fr
"réjuvénation"-noun-fr "rejoveniment"-noun-oc
"réjuvénation"-noun-fr "rejuvenacion"-noun-oc
"rejuvenacion"-noun-oc "réjuvénation"-noun-fr
"penedent"-noun-oc "repentant"-noun-fr
"repentant"-noun-fr "penedent"-noun-oc
"repentant"-noun-fr "pentent"-noun-oc
"repentant"-noun-fr "repentent"-noun-oc
"pentent"-noun-oc "repentant"-noun-fr
"repentent"-noun-oc "repentant"-noun-fr
"reviviscéncia"-noun-oc "reviviscence"-noun-fr
"reviviscence"-noun-fr "reviviscéncia"-noun-oc
"rèma"-noun-oc "rhème"-noun-fr
"rhème"-noun-fr "rèma"-noun-oc
"rodanenc"-noun-oc "Rhodanien"-noun-fr
"Rhodanien"-noun-fr "rodanenc"-noun-oc
"reumatic"-noun-oc "rhumatisant"-noun-fr
"rhumatisant"-noun-fr "reumatic"-noun-oc
"ridèla"-noun-oc "ridelle"-noun-fr
"ridelle"-noun-fr "ridèla"-noun-oc
"roergat"-noun-oc "rouergat"-noun-fr
"rouergat"-noun-fr "roergat"-noun-oc
"grasaca"-noun-oc "rousserolle"-noun-fr
"rousserolle"-noun-fr "grasaca"-noun-oc
"riusset"-noun-oc "ruisselet"-noun-fr
"ruisselet"-noun-fr "riusset"-noun-oc
"ruisselet"-noun-fr "rivassèl"-noun-oc
"ruisselet"-noun-fr "rivatèl"-noun-oc
"ruisselet"-noun-fr "rivolet"-noun-oc
"rivassèl"-noun-oc "ruisselet"-noun-fr
"rivatèl"-noun-oc "ruisselet"-noun-fr
"rivolet"-noun-oc "ruisselet"-noun-fr
"scissiparitat"-noun-oc "scissiparité"-noun-fr
"scissiparité"-noun-fr "scissiparitat"-noun-oc
"escotomizacion"-noun-oc "scotomisation"-noun-fr
"scotomisation"-noun-fr "escotomizacion"-noun-oc
"setzau"-noun-oc "seizième"-noun-fr
"seizième"-noun-fr "setzau"-noun-oc
"seizième"-noun-fr "setzen"-noun-oc
"setzen"-noun-oc "seizième"-noun-fr
"serpaton"-noun-oc "serpenteau"-noun-fr
"serpenteau"-noun-fr "serpaton"-noun-oc
"simple"-noun-oc "simple"-noun-fr
"simple"-noun-fr "simple"-noun-oc
"sinusiti"-noun-oc "sinusite"-noun-fr
"sinusite"-noun-fr "sinusiti"-noun-oc
"sociolècte"-noun-oc "sociolecte"-noun-fr
"sociolecte"-noun-fr "sociolècte"-noun-oc
"seishantau"-noun-oc "soixantième"-noun-fr
"soixantième"-noun-fr "seishantau"-noun-oc
"soixantième"-noun-fr "seissanten"-noun-oc
"seissanten"-noun-oc "soixantième"-noun-fr
"arièr"-noun-oc "sorbier"-noun-fr
"sorbier"-noun-fr "arièr"-noun-oc
"babòia"-noun-oc "sornette"-noun-fr
"sornette"-noun-fr "babòia"-noun-oc
"sornette"-noun-fr "fatòrga"-noun-oc
"sornette"-noun-fr "sorneta"-noun-oc
"fatòrga"-noun-oc "sornette"-noun-fr
"sorneta"-noun-oc "sornette"-noun-fr
"farivòla"-noun-oc "faribole"-noun-fr
"faribole"-noun-fr "farivòla"-noun-oc
"faribole"-noun-fr "faribòla"-noun-oc
"faribòla"-noun-oc "faribole"-noun-fr
"spinozisme"-noun-oc "spinozisme"-noun-fr
"spinozisme"-noun-fr "spinozisme"-noun-oc
"spinozista"-noun-oc "spinoziste"-noun-fr
"spinoziste"-noun-fr "spinozista"-noun-oc
"espongiositat"-noun-oc "spongiosité"-noun-fr
"spongiosité"-noun-fr "espongiositat"-noun-oc
"esporangi"-noun-oc "sporange"-noun-fr
"sporange"-noun-fr "esporangi"-noun-oc
"estereotipia"-noun-oc "stéréotypie"-noun-fr
"stéréotypie"-noun-fr "estereotipia"-noun-oc
"surge"-noun-oc "suint"-noun-fr
"suint"-noun-fr "surge"-noun-oc
"seguent"-noun-oc "suivant"-noun-fr
"suivant"-noun-fr "seguent"-noun-oc
"sinfisi"-noun-oc "symphyse"-noun-fr
"symphyse"-noun-fr "sinfisi"-noun-oc
"sinalèfa"-noun-oc "synalèphe"-noun-fr
"synalèphe"-noun-fr "sinalèfa"-noun-oc
"sinestesia"-noun-oc "synesthésie"-noun-fr
"synesthésie"-noun-fr "sinestesia"-noun-oc
"tacon"-noun-oc "tacon"-noun-fr
"tacon"-noun-fr "tacon"-noun-oc
"tambourinaire"-noun-oc "tambourineur"-noun-fr
"tambourineur"-noun-fr "tambourinaire"-noun-oc
"tarsièr"-noun-oc "tarsier"-noun-fr
"tarsier"-noun-fr "tarsièr"-noun-oc
"bima"-noun-oc "taure"-noun-fr
"taure"-noun-fr "bima"-noun-oc
"tausin"-noun-oc "tauzin"-noun-fr
"tauzin"-noun-fr "tausin"-noun-oc
"tenebrós"-noun-oc "ténébreux"-noun-fr
"ténébreux"-noun-fr "tenebrós"-noun-oc
"terebint"-noun-oc "térébinthe"-noun-fr
"térébinthe"-noun-fr "terebint"-noun-oc
"termitièra"-noun-oc "termitière"-noun-fr
"termitière"-noun-fr "termitièra"-noun-oc
"termia"-noun-oc "thermie"-noun-fr
"thermie"-noun-fr "termia"-noun-oc
"amassaire"-noun-oc "thésauriseur"-noun-fr
"thésauriseur"-noun-fr "amassaire"-noun-oc
"tòca-senh"-noun-oc "tocsin"-noun-fr
"tocsin"-noun-fr "tòca-senh"-noun-oc
"tondeson"-noun-oc "tonte"-noun-fr
"tonte"-noun-fr "tondeson"-noun-oc
"toron"-noun-oc "toron"-noun-fr
"toron"-noun-fr "toron"-noun-oc
"tòca"-noun-oc "touque"-noun-fr
"touque"-noun-fr "tòca"-noun-oc
"transumanisme"-noun-oc "transhumanisme"-noun-fr
"transhumanisme"-noun-fr "transumanisme"-noun-oc
"trabuquet"-noun-oc "trébuchet"-noun-fr
