"'Ndrangheta"-properNoun-fra "'Ndrangheta"-properNoun-cat
"molybdénite"-noun-fra "molibdenita"-noun-cat
"molybdique"-adjective-fra "molíbdic"-adjective-cat
"moment"-noun-fra "moment"-noun-cat
"momentanément"-adverb-fra "momentàniament"-adverb-cat
"momie"-noun-fra "mòmia"-noun-cat
"momification"-noun-fra "momificació"-noun-cat
"momifier"-verb-fra "momificar"-verb-cat
"Mompart"-properNoun-fra "Mompart"-properNoun-cat
"Mompó"-properNoun-fra "Mompó"-properNoun-cat
"Mompou"-properNoun-fra "Mompou"-properNoun-cat
"mon"-determiner-fra "el meu"-determiner-cat
"mon"-determiner-fra "el meu"-determiner-cat
"mon"-determiner-fra "el meu"-determiner-cat
"mon"-determiner-fra "el meu"-determiner-cat
"mon"-determiner-fra "el meu"-determiner-cat
"Mon"-properNoun-fra "Mon"-properNoun-cat
"Mona"-properNoun-fra "Mona"-properNoun-cat
"monacal"-adjective-fra "monacal"-adjective-cat
"Monacelli"-properNoun-fra "Monacelli"-properNoun-cat
"monachisme"-noun-fra "monaquisme"-noun-cat
"monachisme"-noun-fra "monacat"-noun-cat
"Monaci"-properNoun-fra "Monaci"-properNoun-cat
"Monaco"-properNoun-fra "Monaco"-properNoun-cat
"Monaco"-properNoun-fra "Mònaco"-properNoun-cat
"monade"-noun-fra "mònada"-noun-cat
"monadique"-adjective-fra "monàdic"-adjective-cat
"monadisme"-noun-fra "monadisme"-noun-cat
"monadologie"-noun-fra "monadologia"-noun-cat
"Monaghan"-properNoun-fra "Monaghan"-properNoun-cat
"Monai"-properNoun-fra "Monai"-properNoun-cat
"monandre"-adjective-fra "monandre"-adjective-cat
"monarchie"-noun-fra "monarquia"-noun-cat
"monarchie"-noun-fra "monarquia"-noun-cat
"monarchique"-adjective-fra "monàrquic"-adjective-cat
"monarchiste"-adjective-fra "monàrquic"-adjective-cat
"monarchiste"-noun-fra "monàrquic"-noun-cat
"monarque"-noun-fra "monarca"-noun-cat
"Monarque"-properNoun-fra "Monarque"-properNoun-cat
"Monast"-properNoun-fra "Monast"-properNoun-cat
"monastère"-noun-fra "monestir"-noun-cat
"monastère"-noun-fra "cenobi"-noun-cat
"Monasterio"-properNoun-fra "Monasterio"-properNoun-cat
"monastique"-adjective-fra "monàstic"-adjective-cat
"monazite"-noun-fra "monazita"-noun-cat
"Moncada"-properNoun-fra "Moncada"-properNoun-cat
"Moncada"-properNoun-fra "Montcada"-properNoun-cat
"Moncada"-properNoun-fra "Moncada"-properNoun-cat
"Moncayo"-properNoun-fra "Moncayo"-properNoun-cat
"monceau"-noun-fra "munt"-noun-cat
"Monchamp"-properNoun-fra "Monchamp"-properNoun-cat
"Monchiero"-properNoun-fra "Monchiero"-properNoun-cat
"Moncho"-properNoun-fra "Moncho"-properNoun-cat
"Moncion"-properNoun-fra "Moncion"-properNoun-cat
"Monclús"-properNoun-fra "Monclús"-properNoun-cat
"Moncofa"-properNoun-fra "Moncofa"-properNoun-cat
"Moncton"-properNoun-fra "Moncton"-properNoun-cat
"Moncunill"-properNoun-fra "Moncunill"-properNoun-cat
"Moncusí"-properNoun-fra "Moncusí"-properNoun-cat
"Mondadori"-properNoun-fra "Mondadori"-properNoun-cat
"mondain"-adjective-fra "mundà"-adjective-cat
"Mondale"-properNoun-fra "Mondale"-properNoun-cat
"monde"-noun-fra "món"-noun-cat
"monde"-noun-fra "gent"-noun-cat
"Mondéjar"-properNoun-fra "Mondéjar"-properNoun-cat
"Mondello"-properNoun-fra "Mondello"-properNoun-cat
"Mondésir"-properNoun-fra "Mondésir"-properNoun-cat
"mondial"-adjective-fra "mundial"-adjective-cat
"mondialement"-adverb-fra "mundialment"-adverb-cat
"mondialisation"-noun-fra "mundialització"-noun-cat
"Mondino"-properNoun-fra "Mondino"-properNoun-cat
"Mondor"-properNoun-fra "Mondor"-properNoun-cat
"Mondou"-properNoun-fra "Mondou"-properNoun-cat
"Mondragón"-properNoun-fra "Mondragón"-properNoun-cat
"Monedero"-properNoun-fra "Monedero"-properNoun-cat
"Monegal"-properNoun-fra "Monegal"-properNoun-cat
"Monell"-properNoun-fra "Monell"-properNoun-cat
"Monells"-properNoun-fra "Monells"-properNoun-cat
"Moneo"-properNoun-fra "Moneo"-properNoun-cat
"Moner"-properNoun-fra "Moner"-properNoun-cat
"Monesi"-properNoun-fra "Monesi"-properNoun-cat
"Monet"-properNoun-fra "Monet"-properNoun-cat
"monétaire"-adjective-fra "monetari"-adjective-cat
"monétairement"-adverb-fra "monetàriament"-adverb-cat
"monétarisme"-noun-fra "monetarisme"-noun-cat
"monétiser"-verb-fra "monetitzar"-verb-cat
"Monette"-properNoun-fra "Monette"-properNoun-cat
"Monferrer"-properNoun-fra "Monferrer"-properNoun-cat
"Monfette"-properNoun-fra "Monfette"-properNoun-cat
"Monfils"-properNoun-fra "Monfils"-properNoun-cat
"Monfort"-properNoun-fra "Monfort"-properNoun-cat
"Monforte"-properNoun-fra "Monforte"-properNoun-cat
"Monforte del Cid"-properNoun-fra "Monforte del Cid"-properNoun-cat
"Mongay"-properNoun-fra "Mongay"-properNoun-cat
"Monge"-properNoun-fra "Monge"-properNoun-cat
"Mongeau"-properNoun-fra "Mongeau"-properNoun-cat
"Mongelli"-properNoun-fra "Mongelli"-properNoun-cat
"Mongeon"-properNoun-fra "Mongeon"-properNoun-cat
"Monger"-properNoun-fra "Monger"-properNoun-cat
"Mongey"-properNoun-fra "Mongey"-properNoun-cat
"Mongiello"-properNoun-fra "Mongiello"-properNoun-cat
"mongol"-adjective-fra "mongol"-adjective-cat
"mongol"-noun-fra "mongol"-noun-cat
"Mongolie"-properNoun-fra "Mongòlia"-properNoun-cat
"mongolien"-adjective-fra "mongòlic"-adjective-cat
"mongolien"-noun-fra "mongòlic"-noun-cat
"mongolique"-adjective-fra "mongòlic"-adjective-cat
"mongolisme"-noun-fra "mongolisme"-noun-cat
"Mongrain"-properNoun-fra "Mongrain"-properNoun-cat
"Monguzzi"-properNoun-fra "Monguzzi"-properNoun-cat
"Monheit"-properNoun-fra "Monheit"-properNoun-cat
"monial"-noun-fra "monjo"-noun-cat
"Monica"-properNoun-fra "Monica"-properNoun-cat
"Monica"-properNoun-fra "Monica"-properNoun-cat
"Mònica"-properNoun-fra "Mònica"-properNoun-cat
"Mónica"-properNoun-fra "Mónica"-properNoun-cat
"Monier"-properNoun-fra "Monier"-properNoun-cat
"Monière"-properNoun-fra "Monière"-properNoun-cat
"Monique"-properNoun-fra "Monique"-properNoun-cat
"Monique"-properNoun-fra "Monique"-properNoun-cat
"monisme"-noun-fra "monisme"-noun-cat
"Monistrol de Calders"-properNoun-fra "Monistrol de Calders"-properNoun-cat
"Monistrol de Montserrat"-properNoun-fra "Monistrol de Montserrat"-properNoun-cat
"moniteur"-noun-fra "monitor"-noun-cat
"monition"-noun-fra "monició"-noun-cat
"monitoire"-adjective-fra "monitori"-adjective-cat
"monitoire"-noun-fra "monitori"-noun-cat
"Moniz"-properNoun-fra "Moniz"-properNoun-cat
"Monje"-properNoun-fra "Monje"-properNoun-cat
"Monjo"-properNoun-fra "Monjo"-properNoun-cat
"Monk"-properNoun-fra "Monk"-properNoun-cat
"Monleon"-properNoun-fra "Monleon"-properNoun-cat
"Monleón"-properNoun-fra "Monleón"-properNoun-cat
"Monllau"-properNoun-fra "Monllau"-properNoun-cat
"Monllor"-properNoun-fra "Monllor"-properNoun-cat
"Monmorency"-properNoun-fra "Monmorency"-properNoun-cat
"monnaie"-noun-fra "moneda"-noun-cat
"monnayage"-noun-fra "encunyació"-noun-cat
"monnayer"-verb-fra "adinerar"-verb-cat
"Monné"-properNoun-fra "Monné"-properNoun-cat
"Monnet"-properNoun-fra "Monnet"-properNoun-cat
"Monni"-properNoun-fra "Monni"-properNoun-cat
"Monnier"-properNoun-fra "Monnier"-properNoun-cat
"monoamine"-noun-fra "monoamina"-noun-cat
"monoatomique"-adjective-fra "monoatòmic"-adjective-cat
"monobasique"-adjective-fra "monobàsic"-adjective-cat
"monocaméral"-adjective-fra "monocameral"-adjective-cat
"monocaméralisme"-noun-fra "monocameralisme"-noun-cat
"monocaténaire"-adjective-fra "monocatenari"-adjective-cat
"monocellulaire"-adjective-fra "monocel·lular"-adjective-cat
"monochromatique"-adjective-fra "monocromàtic"-adjective-cat
"monochrome"-adjective-fra "monocrom"-adjective-cat
"monocinétique"-adjective-fra "monocinètic"-adjective-cat
"monoclinal"-adjective-fra "monoclinal"-adjective-cat
"monoclinique"-adjective-fra "monoclínic"-adjective-cat
"monoclonal"-adjective-fra "monoclonal"-adjective-cat
"monocotylédone"-noun-fra "monocotiledònia"-noun-cat
"monocristallin"-adjective-fra "monocristal·lí"-adjective-cat
"monoculaire"-adjective-fra "monocular"-adjective-cat
"monoculture"-noun-fra "monocultiu"-noun-cat
"monocyclique"-adjective-fra "monocíclic"-adjective-cat
"monocylindrique"-adjective-fra "monocilíndric"-adjective-cat
"monocyte"-noun-fra "monòcit"-noun-cat
"monodie"-noun-fra "monodia"-noun-cat
"monodique"-adjective-fra "monòdic"-adjective-cat
"monogamie"-noun-fra "monogàmia"-noun-cat
"monogénique"-adjective-fra "monogènic"-adjective-cat
"monogénisme"-noun-fra "monogenisme"-noun-cat
"monogramme"-noun-fra "monograma"-noun-cat
"monographie"-noun-fra "monografia"-noun-cat
"monographique"-adjective-fra "monogràfic"-adjective-cat
"monoïque"-adjective-fra "monoic"-adjective-cat
"monolingue"-adjective-fra "monolingüe"-adjective-cat
"monolingue"-adjective-fra "unilingüe"-adjective-cat
"monolithe"-noun-fra "monòlit"-noun-cat
"monolithique"-adjective-fra "monolític"-adjective-cat
"monolithisme"-noun-fra "monolitisme"-noun-cat
"monologue"-noun-fra "monòleg"-noun-cat
"monologuer"-verb-fra "monologar"-verb-cat
"monologuiste"-noun-fra "monologuista"-noun-cat
"monomaniaque"-adjective-fra "monomaníac"-adjective-cat
"monomanie"-noun-fra "monomania"-noun-cat
"monôme"-noun-fra "monomi"-noun-cat
"monomère"-noun-fra "monòmer"-noun-cat
"monomérique"-adjective-fra "monomèric"-adjective-cat
"monométallisme"-noun-fra "monometal·lisme"-noun-cat
"monométalliste"-noun-fra "monometal·lista"-noun-cat
"monomorphisme"-noun-fra "monomorfisme"-noun-cat
"monomoteur"-adjective-fra "monomotor"-adjective-cat
"mononucléaire"-adjective-fra "mononuclear"-adjective-cat
"monoparental"-adjective-fra "monoparental"-adjective-cat
"monophasique"-adjective-fra "monofàsic"-adjective-cat
"monophonie"-noun-fra "monofonia"-noun-cat
"monophonique"-adjective-fra "monofònic"-adjective-cat
"monophylétique"-adjective-fra "monofilètic"-adjective-cat
"monophysisme"-noun-fra "monofisisme"-noun-cat
"monophysite"-adjective-fra "monofisita"-adjective-cat
"monophysite"-noun-fra "monofisita"-noun-cat
"monoplace"-noun-fra "monoplaça"-noun-cat
"monoplan"-noun-fra "monoplà"-noun-cat
"monoplégie"-noun-fra "monoplegia"-noun-cat
"monopole"-noun-fra "monopoli"-noun-cat
"monopoliser"-verb-fra "monopolitzar"-verb-cat
"monopoliser"-verb-fra "acaparar"-verb-cat
"monopoliste"-adjective-fra "monopolista"-adjective-cat
"monopoliste"-noun-fra "monopolista"-noun-cat
"monopolistique"-adjective-fra "monopolístic"-adjective-cat
"monosaccaride"-noun-fra "monosacàrid"-noun-cat
"monosaccharide"-noun-fra "monosacàrid"-noun-cat
"monosémique"-adjective-fra "monosèmic"-adjective-cat
"monosomie"-noun-fra "monosomia"-noun-cat
"monosyllabe"-adjective-fra "monosíl·lab"-adjective-cat
"monosyllabique"-adjective-fra "monosil·làbic"-adjective-cat
"monosyllabisme"-noun-fra "monosil·labisme"-noun-cat
"monothéisme"-noun-fra "monoteisme"-noun-cat
"monothéiste"-adjective-fra "monoteista"-adjective-cat
"monothéiste"-noun-fra "monoteista"-noun-cat
"monothérapie"-noun-fra "monoteràpia"-noun-cat
"monotone"-adjective-fra "monòton"-adjective-cat
"monotonement"-adverb-fra "monòtonament"-adverb-cat
"monotonie"-noun-fra "monotonia"-noun-cat
"monovalent"-adjective-fra "monovalent"-adjective-cat
"Monòver"-properNoun-fra "Monòver"-properNoun-cat
"monoxyde"-noun-fra "monòxid"-noun-cat
"Monras"-properNoun-fra "Monras"-properNoun-cat
"Monreal"-properNoun-fra "Monreal"-properNoun-cat
"Monreale"-properNoun-fra "Monreale"-properNoun-cat
"Monroe"-properNoun-fra "Monroe"-properNoun-cat
"Monrós"-properNoun-fra "Monrós"-properNoun-cat
"Monroy"-properNoun-fra "Monroy"-properNoun-cat
"Mons"-properNoun-fra "Mons"-properNoun-cat
"Monsalve"-properNoun-fra "Monsalve"-properNoun-cat
"Monsanto"-properNoun-fra "Monsanto"-properNoun-cat
"monseigneur"-noun-fra "monsenyor"-noun-cat
"monseigneur"-noun-fra "mossèn"-noun-cat
"Monserdà"-properNoun-fra "Monserdà"-properNoun-cat
"Monserrat"-properNoun-fra "Monserrat"-properNoun-cat
"Monserrate"-properNoun-fra "Monserrate"-properNoun-cat
"monsieur"-noun-fra "home"-noun-cat
"monsieur"-noun-fra "senyor"-noun-cat
"monsieur"-noun-fra "el senyor"-noun-cat
"Monsó"-properNoun-fra "Monsó"-properNoun-cat
"Monsonís"-properNoun-fra "Monsonís"-properNoun-cat
"monstre"-noun-fra "monstre"-noun-cat
"monstrueusement"-adverb-fra "monstruosament"-adverb-cat
"monstrueux"-adjective-fra "monstruós"-adjective-cat
"monstrueux"-adjective-fra "monstruós"-adjective-cat
"monstruosité"-noun-fra "monstruositat"-noun-cat
"mont"-noun-fra "mont"-noun-cat
"Mont"-properNoun-fra "Mont"-properNoun-cat
"Mont Blanc"-properNoun-fra "Mont Blanc"-properNoun-cat
"mont de piété"-noun-fra "mont de pietat"-noun-cat
"Mont-ral"-properNoun-fra "Mont-ral"-properNoun-cat
"Mont-ras"-properNoun-fra "Mont-ras"-properNoun-cat
"Mont-roig del Camp"-properNoun-fra "Mont-roig del Camp"-properNoun-cat
"montage"-noun-fra "muntatge"-noun-cat
"montagnard"-adjective-fra "muntanyès"-adjective-cat
"montagnard"-adjective-fra "muntanyenc"-adjective-cat
"montagne"-noun-fra "muntanya"-noun-cat
"montagne"-noun-fra "serralada"-noun-cat
"Montagne"-properNoun-fra "Montagne"-properNoun-cat
"Montagnes Rocheuses"-properNoun-fra "Muntanyes Rocalloses"-properNoun-cat
"Montagnes Rocheuses"-properNoun-fra "Muntanyes Rocoses"-properNoun-cat
"Montagnes Rocheuses"-properNoun-fra "Rocalloses"-properNoun-cat
"montagneux"-adjective-fra "muntanyós"-adjective-cat
"montagneux"-adjective-fra "muntanyenc"-adjective-cat
"Montagnino"-properNoun-fra "Montagnino"-properNoun-cat
"Montagnoli"-properNoun-fra "Montagnoli"-properNoun-cat
"Montagu"-properNoun-fra "Montagu"-properNoun-cat
"Montagud"-properNoun-fra "Montagud"-properNoun-cat
"Montagut"-properNoun-fra "Montagut"-properNoun-cat
"Montahud"-properNoun-fra "Montahud"-properNoun-cat
"Montaigne"-properNoun-fra "Montaigne"-properNoun-cat
"Montal"-properNoun-fra "Montal"-properNoun-cat
"Montala"-properNoun-fra "Montala"-properNoun-cat
"Montalbán"-properNoun-fra "Montalbán"-properNoun-cat
"Montalbán"-properNoun-fra "Montalbán"-properNoun-cat
"Montalbano"-properNoun-fra "Montalbano"-properNoun-cat
"Montaldi"-properNoun-fra "Montaldi"-properNoun-cat
"Montalegre"-properNoun-fra "Montalegre"-properNoun-cat
"Montali"-properNoun-fra "Montali"-properNoun-cat
"Montalvo"-properNoun-fra "Montalvo"-properNoun-cat
"Montambault"-properNoun-fra "Montambault"-properNoun-cat
"Montán"-properNoun-fra "Montán"-properNoun-cat
"Montana"-properNoun-fra "Montana"-properNoun-cat
"Montana"-properNoun-fra "Montana"-properNoun-cat
"Montana"-properNoun-fra "Montana"-properNoun-cat
"Montanari"-properNoun-fra "Montanari"-properNoun-cat
"Montanaro"-properNoun-fra "Montanaro"-properNoun-cat
"Montand"-properNoun-fra "Montand"-properNoun-cat
"Montané"-properNoun-fra "Montané"-properNoun-cat
"Montanejos"-properNoun-fra "Montanejos"-properNoun-cat
"Montanelli"-properNoun-fra "Montanelli"-properNoun-cat
"Montaner"-properNoun-fra "Montaner"-properNoun-cat
"Montani"-properNoun-fra "Montani"-properNoun-cat
"montanisme"-noun-fra "montanisme"-noun-cat
"montaniste"-adjective-fra "montanista"-adjective-cat
"montaniste"-noun-fra "montanista"-noun-cat
"montant"-adjective-fra "ascendent"-adjective-cat
"montant"-noun-fra "import"-noun-cat
"montant"-noun-fra "muntant"-noun-cat
"Montaperto"-properNoun-fra "Montaperto"-properNoun-cat
"Montardit"-properNoun-fra "Montardit"-properNoun-cat
"Montarroso"-properNoun-fra "Montarroso"-properNoun-cat
"Montaruli"-properNoun-fra "Montaruli"-properNoun-cat
"Montasell"-properNoun-fra "Montasell"-properNoun-cat
"Montaverner"-properNoun-fra "Montaverner"-properNoun-cat
"Montaña"-properNoun-fra "Montaña"-properNoun-cat
"Montañana"-properNoun-fra "Montañana"-properNoun-cat
"Montañés"-properNoun-fra "Montañés"-properNoun-cat
"Montañez"-properNoun-fra "Montañez"-properNoun-cat
"Montaño"-properNoun-fra "Montaño"-properNoun-cat
"Montbéliard"-properNoun-fra "Montbéliard"-properNoun-cat
"Montblanc"-properNoun-fra "Montblanc"-properNoun-cat
"Montbrió del Camp"-properNoun-fra "Montbrió del Camp"-properNoun-cat
"Montcada i Reixac"-properNoun-fra "Montcada i Reixac"-properNoun-cat
"Montcalm"-properNoun-fra "Montcalm"-properNoun-cat
"Montclar"-properNoun-fra "Montclar"-properNoun-cat
"Montcorbau"-properNoun-fra "Montcorbau"-properNoun-cat
"Monte"-properNoun-fra "Monte"-properNoun-cat
"Monteagudo"-properNoun-fra "Monteagudo"-properNoun-cat
"Montebourg"-properNoun-fra "Montebourg"-properNoun-cat
"Montecchi"-properNoun-fra "Montecchi"-properNoun-cat
"Montecuollo"-properNoun-fra "Montecuollo"-properNoun-cat
"montée"-noun-fra "pujada"-noun-cat
"Monteiro"-properNoun-fra "Monteiro"-properNoun-cat
"Montejo"-properNoun-fra "Montejo"-properNoun-cat
"Montells"-properNoun-fra "Montells"-properNoun-cat
"Montemaggi"-properNoun-fra "Montemaggi"-properNoun-cat
"monténégrin"-adjective-fra "montenegrí"-adjective-cat
"monténégrin"-noun-fra "montenegrí"-noun-cat
"Montenegro"-properNoun-fra "Montenegro"-properNoun-cat
"Monténégro"-properNoun-fra "Montenegro"-properNoun-cat
"Montepianu"-properNoun-fra "Montepianu"-properNoun-cat
"Monter"-properNoun-fra "Monter"-properNoun-cat
"monter"-verb-fra "pujar"-verb-cat
"monter"-verb-fra "apujar"-verb-cat
"monter"-verb-fra "ascendir"-verb-cat
"monter"-verb-fra "muntar"-verb-cat
"Monterde"-properNoun-fra "Monterde"-properNoun-cat
"Montero"-properNoun-fra "Montero"-properNoun-cat
"Monterrey"-properNoun-fra "Monterrey"-properNoun-cat
"Monterrubio"-properNoun-fra "Monterrubio"-properNoun-cat
"Montes"-properNoun-fra "Montes"-properNoun-cat
"Montesa"-properNoun-fra "Montesa"-properNoun-cat
"Montesinos"-properNoun-fra "Montesinos"-properNoun-cat
"Montesinos"-properNoun-fra "Montesinos"-properNoun-cat
"Monteso"-properNoun-fra "Monteso"-properNoun-cat
"Montesquieu"-properNoun-fra "Montesquieu"-properNoun-cat
"Montevecchi"-properNoun-fra "Montevecchi"-properNoun-cat
"Montevideo"-properNoun-fra "Montevideo"-properNoun-cat
"Montezemolo"-properNoun-fra "Montezemolo"-properNoun-cat
"Montferrer"-properNoun-fra "Montferrer"-properNoun-cat
"Montferri"-properNoun-fra "Montferri"-properNoun-cat
"Montfort"-properNoun-fra "Montfort"-properNoun-cat
"Montfulleda"-properNoun-fra "Montfulleda"-properNoun-cat
"Montgai"-properNoun-fra "Montgai"-properNoun-cat
"Montgarri"-properNoun-fra "Montgarri"-properNoun-cat
"Montgat"-properNoun-fra "Montgat"-properNoun-cat
"Montgomery"-properNoun-fra "Montgomery"-properNoun-cat
"Monti"-properNoun-fra "Monti"-properNoun-cat
"Montiano"-properNoun-fra "Montiano"-properNoun-cat
"Monticone"-properNoun-fra "Monticone"-properNoun-cat
"monticule"-noun-fra "monticle"-noun-cat
"Montiel"-properNoun-fra "Montiel"-properNoun-cat
"Montigny"-properNoun-fra "Montigny"-properNoun-cat
"Montijo"-properNoun-fra "Montijo"-properNoun-cat
"Montilla"-properNoun-fra "Montilla"-properNoun-cat
"Montini"-properNoun-fra "Montini"-properNoun-cat
"Montitxelvo"-properNoun-fra "Montitxelvo"-properNoun-cat
"Montjuic"-properNoun-fra "Montjuïc"-properNoun-cat
"Montllor"-properNoun-fra "Montllor"-properNoun-cat
"Montmagny"-properNoun-fra "Montmagny"-properNoun-cat
"Montmajor"-properNoun-fra "Montmajor"-properNoun-cat
"Montmaneu"-properNoun-fra "Montmaneu"-properNoun-cat
"Montmany"-properNoun-fra "Montmany"-properNoun-cat
"Montmarché"-properNoun-fra "Montmarché"-properNoun-cat
"Montmarquette"-properNoun-fra "Montmarquette"-properNoun-cat
"Montmeló"-properNoun-fra "Montmeló"-properNoun-cat
"Montmigny"-properNoun-fra "Montmigny"-properNoun-cat
"Montminy"-properNoun-fra "Montminy"-properNoun-cat
"Montmorency"-properNoun-fra "Montmorency"-properNoun-cat
"montmorillonite"-noun-fra "montmoril·lonita"-noun-cat
"Montolio"-properNoun-fra "Montolio"-properNoun-cat
"Montolío"-properNoun-fra "Montolío"-properNoun-cat
"Montoliu"-properNoun-fra "Montoliu"-properNoun-cat
"Montoliu de Lleida"-properNoun-fra "Montoliu de Lleida"-properNoun-cat
"Montoliu de Segarra"-properNoun-fra "Montoliu de Segarra"-properNoun-cat
"Monton"-properNoun-fra "Monton"-properNoun-cat
"Montón"-properNoun-fra "Montón"-properNoun-cat
"Montornès de Segarra"-properNoun-fra "Montornès de Segarra"-properNoun-cat
"Montornès del Vallès"-properNoun-fra "Montornès del Vallès"-properNoun-cat
"Montoro"-properNoun-fra "Montoro"-properNoun-cat
"Montour"-properNoun-fra "Montour"-properNoun-cat
"Montoya"-properNoun-fra "Montoya"-properNoun-cat
"Montpas"-properNoun-fra "Montpas"-properNoun-cat
"Montpellier"-properNoun-fra "Montpellier"-properNoun-cat
"Montpellier"-properNoun-fra "Montpeller"-properNoun-cat
"Montpellier"-properNoun-fra "Montpellier"-properNoun-cat
"montpelliérain"-adjective-fra "montpellerí"-adjective-cat
"Montpelliérain"-noun-fra "montpellerí"-noun-cat
"Montpetit"-properNoun-fra "Montpetit"-properNoun-cat
"Montplaisir"-properNoun-fra "Montplaisir"-properNoun-cat
"montre"-noun-fra "rellotge"-noun-cat
"Montréal"-properNoun-fra "Montreal"-properNoun-cat
"montrer"-verb-fra "mostrar"-verb-cat
"montrer"-verb-fra "assenyalar"-verb-cat
"Montreuil"-properNoun-fra "Montreuil"-properNoun-cat
"montreur"-noun-fra "presentador"-noun-cat
"Montroi"-properNoun-fra "Montroi"-properNoun-cat
"Montroni"-properNoun-fra "Montroni"-properNoun-cat
"Montse"-properNoun-fra "Montse"-properNoun-cat
"Montsec"-properNoun-fra "Montsec"-properNoun-cat
"Montseny"-properNoun-fra "Montseny"-properNoun-cat
"Montseny"-properNoun-fra "Montseny"-properNoun-cat
"Montserrat"-properNoun-fra "Montserrat"-properNoun-cat
"Montserrat"-properNoun-fra "Montserrat"-properNoun-cat
"Montserrat"-properNoun-fra "Montserrat"-properNoun-cat
"Montserrat"-properNoun-fra "Montserrat"-properNoun-cat
"Montsià"-properNoun-fra "Montsià"-properNoun-cat
"montueux"-adjective-fra "montuós"-adjective-cat
"Montull"-properNoun-fra "Montull"-properNoun-cat
"monture"-noun-fra "muntura"-noun-cat
"Monturiol"-properNoun-fra "Monturiol"-properNoun-cat
"Monty"-properNoun-fra "Monty"-properNoun-cat
"monument"-noun-fra "monument"-noun-cat
"monumental"-adjective-fra "monumental"-adjective-cat
"monumentalement"-adverb-fra "monumentalment"-adverb-cat
"monumentalité"-noun-fra "monumentalitat"-noun-cat
"Monzerolle"-properNoun-fra "Monzerolle"-properNoun-cat
"Monzo"-properNoun-fra "Monzo"-properNoun-cat
"Monzó"-properNoun-fra "Monzó"-properNoun-cat
"Monzon"-properNoun-fra "Monzon"-properNoun-cat
"Monzón"-properNoun-fra "Monzón"-properNoun-cat
"Monzón"-properNoun-fra "Montsó"-properNoun-cat
"Monzonís"-properNoun-fra "Monzonís"-properNoun-cat
"Moody"-properNoun-fra "Moody"-properNoun-cat
"Mooney"-properNoun-fra "Mooney"-properNoun-cat
"Moorcock"-properNoun-fra "Moorcock"-properNoun-cat
"Moore"-properNoun-fra "Moore"-properNoun-cat
"moquer"-verb-fra "burlar"-verb-cat
"moquerie"-noun-fra "burla"-noun-cat
"moquette"-noun-fra "moqueta"-noun-cat
"moquetteur"-noun-fra "emmoquetador"-noun-cat
"Moquin"-properNoun-fra "Moquin"-properNoun-cat
"Mor"-properNoun-fra "Mor"-properNoun-cat
"Mora"-properNoun-fra "Mora"-properNoun-cat
"Móra d'Ebre"-properNoun-fra "Móra d'Ebre"-properNoun-cat
"Móra la Nova"-properNoun-fra "Móra la Nova"-properNoun-cat
"Morabito"-properNoun-fra "Morabito"-properNoun-cat
"Moracchini"-properNoun-fra "Moracchini"-properNoun-cat
"Morache"-properNoun-fra "Morache"-properNoun-cat
"Moraes"-properNoun-fra "Moraes"-properNoun-cat
"Moraga"-properNoun-fra "Moraga"-properNoun-cat
"Moragas"-properNoun-fra "Moragas"-properNoun-cat
"Moragues"-properNoun-fra "Moragues"-properNoun-cat
"Moragues i Mas"-properNoun-fra "Moragues i Mas"-properNoun-cat
"moraine"-noun-fra "morena"-noun-cat
"Morais"-properNoun-fra "Morais"-properNoun-cat
"Moráis"-properNoun-fra "Moráis"-properNoun-cat
"moral"-adjective-fra "moral"-adjective-cat
"Moral"-properNoun-fra "Moral"-properNoun-cat
"moral"-noun-fra "moral"-noun-cat
"morale"-noun-fra "moral"-noun-cat
"Moraleda"-properNoun-fra "Moraleda"-properNoun-cat
"moralement"-adverb-fra "moralment"-adverb-cat
"Morales"-properNoun-fra "Morales"-properNoun-cat
"moralisateur"-adjective-fra "moralitzador"-adjective-cat
"moralisation"-noun-fra "moralització"-noun-cat
"moraliser"-verb-fra "moralitzar"-verb-cat
"moralisme"-noun-fra "moralisme"-noun-cat
"moraliste"-noun-fra "moralista"-noun-cat
"moralité"-noun-fra "moralitat"-noun-cat
"Moran"-properNoun-fra "Moran"-properNoun-cat
"Morán"-properNoun-fra "Morán"-properNoun-cat
"Morancho"-properNoun-fra "Morancho"-properNoun-cat
"Morand"-properNoun-fra "Morand"-properNoun-cat
"Morando"-properNoun-fra "Morando"-properNoun-cat
"Morane"-properNoun-fra "Morane"-properNoun-cat
"Morani"-properNoun-fra "Morani"-properNoun-cat
"Morant"-properNoun-fra "Morant"-properNoun-cat
"Morante"-properNoun-fra "Morante"-properNoun-cat
"Morar"-properNoun-fra "Morar"-properNoun-cat
"Morariu"-properNoun-fra "Morariu"-properNoun-cat
"Moraru"-properNoun-fra "Moraru"-properNoun-cat
"Morasse"-properNoun-fra "Morasse"-properNoun-cat
"Morassut"-properNoun-fra "Morassut"-properNoun-cat
"Morata"-properNoun-fra "Morata"-properNoun-cat
"Morata"-properNoun-fra "Morata"-properNoun-cat
"Moratal"-properNoun-fra "Moratal"-properNoun-cat
"Moratalla"-properNoun-fra "Moratalla"-properNoun-cat
"Moratinos"-properNoun-fra "Moratinos"-properNoun-cat
"Morato"-properNoun-fra "Morato"-properNoun-cat
"Morató"-properNoun-fra "Morató"-properNoun-cat
