"ac’h"-interjection-bre "arrg"-interjection-fra
"bodadig"-noun-bre "mini-commission"-noun-fra
"bodad -labour"-noun-bre "commission"-noun-fra
"bodad -priziañ"-noun-bre "commission d’évaluation"-noun-fra
"bodad priziañ"-noun-bre "commission d’évaluation"-noun-fra
"bodad trakêr"-noun-bre "commission extra-municipale"-noun-fra
"bodenn"-noun-bre "arbuste"-noun-fra
"boem"-noun-bre "charme"-noun-fra
"boeson"-noun-bre "boisson alcoolisée"-noun-fra
"boest"-noun-bre "boîte"-noun-fra
"boestad"-noun-bre "boîte"-noun-fra
"boestad kreionoù"-noun-bre "boîte de crayons"-noun-fra
"boest an diaoul"-noun-bre "accordéon"-noun-fra
"boestig"-noun-bre "petite boîte"-noun-fra
"boest -mir"-noun-bre "boîte de conserve"-noun-fra
"boest -post"-noun-bre "boîte postale"-noun-fra
"bogoderezh"-noun-bre "détournement de fond"-noun-fra
"boked"-noun-bre "bouquet"-noun-fra
"boked -laezh"-noun-bre "primevère"-noun-fra
"bole"-noun-bre "branle"-noun-fra
"boled"-noun-bre "boulet"-noun-fra
"boled kanol"-noun-bre "boulet de canon"-noun-fra
"bolenn"-noun-bre "bol"-noun-fra
"bolennad"-noun-bre "bol"-noun-fra
"bolennad chokolad"-noun-bre "bol de chocolat"-noun-fra
"bolennad kafe"-noun-bre "bol de café"-noun-fra
"bolennad laezh"-noun-bre "bol de lait"-noun-fra
"Bolivian"-noun-bre "Bolivien"-noun-fra
"Bolivian"-noun-bre "Bolivien"-noun-fra
"bolontez"-noun-bre "volonté"-noun-fra
"bolotenn"-noun-bre "ballon"-noun-fra
"bolz"-noun-bre "voute"-noun-fra
"bolzenn"-noun-bre "renflement"-noun-fra
"bolzer"-noun-bre "objet convexe"-noun-fra
"bombañs"-noun-bre "bombance"-noun-fra
"bombard"-noun-bre "bombarde"-noun-fra
"bombezadeg"-noun-bre "bombardement"-noun-fra
"bombezenn"-noun-bre "bombe"-noun-fra
"bomm"-noun-bre "jet"-noun-fra
"bon"-noun-bre "radical"-noun-fra
"bondeul"-noun-bre "charte"-noun-fra
"boned"-noun-bre "bonnet"-noun-fra
"boned kouronkañ"-noun-bre "bonnet de bain"-noun-fra
"boneg"-noun-bre "code"-noun-fra
"bonelour"-noun-bre "fondamentaliste"-noun-fra
"bonelour"-noun-bre "fondamentaliste"-noun-fra
"bonelour"-noun-bre "fondamentaliste"-noun-fra
"bonn"-noun-bre "borne"-noun-fra
"bonreizh"-noun-bre "constitution"-noun-fra
"boñz"-noun-bre "bonze"-noun-fra
"boñz"-noun-bre "bonze"-noun-fra
"boñz"-noun-bre "bonze"-noun-fra
"borc’h"-noun-bre "bourg"-noun-fra
"bord"-noun-bre "bord"-noun-fra
"bordel"-noun-bre "bordel"-noun-fra
"bordig"-noun-bre "petit bord"-noun-fra
"born"-noun-bre "as"-noun-fra
"born"-noun-bre "as"-noun-fra
"born"-noun-bre "as"-noun-fra
"bos"-noun-bre "bosse"-noun-fra
"boseg"-noun-bre "bossu"-noun-fra
"boseg"-noun-bre "bossu"-noun-fra
"bosenn"-noun-bre "peste"-noun-fra
"boser"-noun-bre "boucher"-noun-fra
"boser"-noun-bre "boucher"-noun-fra
"Bosniad"-noun-bre "Bosniaque"-noun-fra
"Bosniad"-noun-bre "Bosniaque"-noun-fra
"Bosniad"-noun-bre "Bosniaque"-noun-fra
"botaouer"-noun-bre "cordonnier"-noun-fra
"botaouer"-noun-bre "cordonnier"-noun-fra
"botez"-noun-bre "chaussure"-noun-fra
"botezaj"-noun-bre "sabotage"-noun-fra
"botez -koad"-noun-bre "sabot"-noun-fra
"botez -ruilh"-noun-bre "patin à roulettes"-noun-fra
"botez ruzikat"-noun-bre "patin à glace"-noun-fra
"Botswanad"-noun-bre "Botswanais"-noun-fra
"Botswanad"-noun-bre "Botswanais"-noun-fra
"Botswanad"-noun-bre "Botswanais"-noun-fra
"Botswanad"-noun-bre "Botswanais"-noun-fra
"boubouadeg"-noun-bre "bourdonnement"-noun-fra
"boubouadenn"-noun-bre "bourdonnement"-noun-fra
"boubouenn"-noun-bre "bruit confus"-noun-fra
"bouch"-noun-bre "baiser"-noun-fra
"bouchad"-noun-bre "huppe"-noun-fra
"bouchadenn"-noun-bre "baiser"-noun-fra
"bouchenn"-noun-bre "maillot d’enfant"-noun-fra
"bouchig"-noun-bre "bisou"-noun-fra
"bouc’h"-noun-bre "bouc"-noun-fra
"boudaegezh"-noun-bre "bouddhisme"-noun-fra
"boudelezh"-noun-bre "entité"-noun-fra
"boud"-noun-bre "être"-noun-fra
"bouder"-noun-bre "corne de brume"-noun-fra
"boue"-noun-bre "bouée"-noun-fra
"boued"-noun-bre "nourriture"-noun-fra
"bouedenn"-noun-bre "substance"-noun-fra
"boued laezh"-noun-bre "laitage"-noun-fra
"boued -mir"-noun-bre "nourriture en conserve"-noun-fra
"bouedvirerezh"-noun-bre "conservation"-noun-fra
"boue saveteiñ"-noun-bre "bouée de sauvetage"-noun-fra
"bougenn"-noun-bre "joue"-noun-fra
"bougennad"-noun-bre "soufflet"-noun-fra
"bouilhenn"-noun-bre "boue"-noun-fra
"bouilh"-noun-bre "remous"-noun-fra
"bouilh"-noun-bre "remous"-noun-fra
"bouilh"-noun-bre "remous"-noun-fra
"bouilhad"-noun-bre "tempête"-noun-fra
"bouilhoñs"-noun-bre "bouillon"-noun-fra
"boujedenn"-noun-bre "budget"-noun-fra
"bouji"-noun-bre "bougie"-noun-fra
"boujienn"-noun-bre "bougie"-noun-fra
"boul"-noun-bre "boule"-noun-fra
"boulaoueg"-noun-bre "roulement"-noun-fra
"boulc’henn"-noun-bre "brèche"-noun-fra
"boulc’higenn"-noun-bre "baisure"-noun-fra
"boul -douar"-noun-bre "globe terrestre"-noun-fra
"boulenn"-noun-bre "boule"-noun-fra
"boulienn"-noun-bre "bouille"-noun-fra
"boulig"-noun-bre "globule"-noun-fra
"boulomig"-noun-bre "bonhomme"-noun-fra
"boull"-noun-bre "boule"-noun-fra
"boullenn"-noun-bre "boule"-noun-fra
"boulouard"-noun-bre "boulevard"-noun-fra
"boultouz"-noun-bre "lotte"-noun-fra
"boulzouar"-noun-bre "globe terrestre"-noun-fra
"bount"-noun-bre "poussée"-noun-fra
"bountadenn"-noun-bre "poussée"-noun-fra
"bourc’h"-noun-bre "bourg"-noun-fra
"bourc’hadenn"-noun-bre "bourgade"-noun-fra
"bourd"-noun-bre "plaisanterie"-noun-fra
"bourell"-noun-bre "bourre"-noun-fra
"bourellenn"-noun-bre "collier"-noun-fra
"bourev"-noun-bre "bourreau"-noun-fra
"bourev"-noun-bre "bourreau"-noun-fra
"bourk"-noun-bre "bourg"-noun-fra
"bourzh"-noun-bre "bord"-noun-fra
"boutailh"-noun-bre "bouteille"-noun-fra
"boutailhad"-noun-bre "bouteille"-noun-fra
"boutailhad champouenn"-noun-bre "bouteille de shampoing"-noun-fra
"boutailhad dour"-noun-bre "bouteille d’eau"-noun-fra
"boutailhad laezh"-noun-bre "bouteille de lait"-noun-fra
"boutailhad gwin"-noun-bre "bouteille de vin"-noun-fra
"boutailhad sistr"-noun-bre "bouteille de cidre"-noun-fra
"boutell"-noun-bre "botte"-noun-fra
"boutellerez"-noun-bre "lieuse"-noun-fra
"boutikl"-noun-bre "boutique"-noun-fra
"boutinadur"-noun-bre "vulgarisation"-noun-fra
"bouton"-noun-bre "bouton"-noun-fra
"bouzellenn"-noun-bre "chambre à air"-noun-fra
"bozad"-noun-bre "poignée"-noun-fra
"bragezenn"-noun-bre "jambe"-noun-fra
"bragez"-noun-bre "germe"-noun-fra
"bragoù"-noun-bre "pantalon"-noun-fra
"bragoù berr"-noun-bre "culotte courte"-noun-fra
"bragoù jean"-noun-bre "jean"-noun-fra
"bragoù sport"-noun-bre "survêtement"-noun-fra
"brahmanegezh"-noun-bre "brahmanisme"-noun-fra
"bramm"-noun-bre "pet"-noun-fra
"bran"-noun-bre "corbeau"-noun-fra
"brank"-noun-bre "branche"-noun-fra
"braog"-noun-bre "bar"-noun-fra
"braoued"-noun-bre "boisson"-noun-fra
"brasadur"-noun-bre "agrandissement"-noun-fra
"brasjedadenn"-noun-bre "estimation"-noun-fra
"brasniver"-noun-bre "majorité"-noun-fra
"brastaolenn"-noun-bre "tableau général"-noun-fra
"brastres"-noun-bre "schéma"-noun-fra
"braventez"-noun-bre "beauté"-noun-fra
"braventiour"-noun-bre "esthéticien"-noun-fra
"braventiour"-noun-bre "esthéticien"-noun-fra
"braveri"-noun-bre "atour"-noun-fra
"bravig"-noun-bre "bijou"-noun-fra
"bravigerezh"-noun-bre "bijouterie"-noun-fra
"bravigour"-noun-bre "bijoutier"-noun-fra
"bravigour"-noun-bre "bijoutier"-noun-fra
"braz"-noun-bre "majeure partie"-noun-fra
"Braziliad"-noun-bre "Brésilien"-noun-fra
"Braziliad"-noun-bre "Brésilien"-noun-fra
"Brazilian"-noun-bre "Brésilien"-noun-fra
"Brazilian"-noun-bre "Brésilien"-noun-fra
"brazouer"-noun-bre "brasero"-noun-fra
"bre"-noun-bre "brai"-noun-fra
"brec’h"-noun-bre "bras"-noun-fra
"brec’h"-noun-bre "bras"-noun-fra
"brec’h"-noun-bre "bras"-noun-fra
"brec’henn"-noun-bre "bras"-noun-fra
"brec’henn"-noun-bre "bras"-noun-fra
"brec’henn"-noun-bre "bras"-noun-fra
"brec’h-nij"-noun-bre "varicelle"-noun-fra
"brec’hwisk"-noun-bre "brassard"-noun-fra
"bredwezher"-noun-bre "psychotrope"-noun-fra
"breinadur"-noun-bre "pourriture"-noun-fra
"Breizhad"-noun-bre "Breton"-noun-fra
"Breizhad"-noun-bre "Breton"-noun-fra
"breizhadelezh"-noun-bre "identité bretonne"-noun-fra
"Breizhizeliad"-noun-bre "Bas-Breton"-noun-fra
"Breizhizeliad"-noun-bre "Bas-Breton"-noun-fra
"Breizhuheliad"-noun-bre "Haut-Breton"-noun-fra
"Breizhuheliad"-noun-bre "Haut-Breton"-noun-fra
"breliñsadenn"-noun-bre "douche"-noun-fra
"breliñsadur"-noun-bre "éclaboussure"-noun-fra
"breliñserezh"-noun-bre "douche"-noun-fra
"brenk"-noun-bre "branchie"-noun-fra
"brenk"-noun-bre "accoudoir"-noun-fra
"brennig"-noun-bre "patelle"-noun-fra
"breo"-noun-bre "moulin à bras"-noun-fra
"breou"-noun-bre "brevet"-noun-fra
"brepenn"-noun-bre "bâton"-noun-fra
"breser"-noun-bre "brasseur"-noun-fra
"breser"-noun-bre "brasseur"-noun-fra
"breskenn"-noun-bre "affolement"-noun-fra
"bresour"-noun-bre "brasseur"-noun-fra
"bresour"-noun-bre "brasseur"-noun-fra
"breserezh"-noun-bre "brasserie"-noun-fra
"breskted"-noun-bre "fragilité"-noun-fra
"breskter"-noun-bre "fragilité"-noun-fra
"Brestad"-noun-bre "Brestois"-noun-fra
"Brestad"-noun-bre "Brestois"-noun-fra
"Brestad"-noun-bre "Brestois"-noun-fra
"Brestad"-noun-bre "Brestois"-noun-fra
"bretell"-noun-bre "bretelle"-noun-fra
"Breton"-noun-bre "Breton"-noun-fra
"Breton"-noun-bre "Breton"-noun-fra
"breud"-noun-bre "débat"-noun-fra
"breudeuriezh"-noun-bre "fraternité"-noun-fra
"breudvell"-noun-bre "polémique"-noun-fra
"breuger"-noun-bre "klaxon"-noun-fra
"breugeud"-noun-bre "rot"-noun-fra
"breujad"-noun-bre "dispute"-noun-fra
"breujoù"-noun-bre "assise"-noun-fra
"breur"-noun-bre "frère"-noun-fra
"breureg"-noun-bre "beau-frère"-noun-fra
"breutaenn"-noun-bre "argument"-noun-fra
"breutaer"-noun-bre "avocat"-noun-fra
"breutaer"-noun-bre "avocat"-noun-fra
"breutaerezh"-noun-bre "discussion"-noun-fra
"breutaour"-noun-bre "avocat"-noun-fra
"breutaour"-noun-bre "avocat"-noun-fra
"breved"-noun-bre "brevet"-noun-fra
"brezel"-noun-bre "guerre"-noun-fra
"brezel bed"-noun-bre "guerre mondiale"-noun-fra
"brezel diabarzh"-noun-bre "guerre civile"-noun-fra
"brezelig"-noun-bre "guéguerre"-noun-fra
"brezelour"-noun-bre "guerrier"-noun-fra
"brezelour"-noun-bre "guerrier"-noun-fra
"Brezhon"-noun-bre "Breton"-noun-fra
"Brezhon"-noun-bre "Breton"-noun-fra
"brezhoneg"-noun-bre "breton"-noun-fra
"brezhoneger"-noun-bre "brittophone"-noun-fra
"brezhoneger"-noun-bre "brittophone"-noun-fra
"brezhoneger"-noun-bre "brittophone"-noun-fra
"brezhonegva"-noun-bre "zone brittophone"-noun-fra
"brezhonekadur"-noun-bre "bretonnisation"-noun-fra
"bri"-noun-bre "respect"-noun-fra
"bri"-noun-bre "flan"-noun-fra
"briad"-noun-bre "brassée"-noun-fra
"briatadenn"-noun-bre "accolade"-noun-fra
"Briegad"-noun-bre "Briécois"-noun-fra
"Briegad"-noun-bre "Briécois"-noun-fra
"Briegad"-noun-bre "Briécois"-noun-fra
"Briegad"-noun-bre "Briécois"-noun-fra
"brienn"-noun-bre "rive"-noun-fra
"brientiliz"-noun-bre "basilique"-noun-fra
"brientin"-noun-bre "aristocrate"-noun-fra
"brientin"-noun-bre "aristocrate"-noun-fra
"brientin"-noun-bre "aristocrate"-noun-fra
"brifenn"-noun-bre "pitance"-noun-fra
"brig"-noun-bre "brick"-noun-fra
"brigadenn"-noun-bre "brigade"-noun-fra
"briker"-noun-bre "ponceur"-noun-fra
"briker"-noun-bre "ponceur"-noun-fra
"brikezenn"-noun-bre "robinet"-noun-fra
"brikoloù"-noun-bre "bretelle"-noun-fra
"briwerzh"-noun-bre "honoraire"-noun-fra
"brizh"-noun-bre "gugusse"-noun-fra
"brizhanv"-noun-bre "nom hybride"-noun-fra
"brizhilhon"-noun-bre "morceau"-noun-fra
"brizhkelaouiñ"-noun-bre "information grossière"-noun-fra
"brizhkeltiegour"-noun-bre "celtomane"-noun-fra
"brizhkeltiegour"-noun-bre "celtomane"-noun-fra
"brizhkeltiegour"-noun-bre "celtomane"-noun-fra
"brizhkredennour"-noun-bre "superstitieux"-noun-fra
"brizhkredennour"-noun-bre "superstitieux"-noun-fra
"brizhouizieg"-noun-bre "demi-savant"-noun-fra
"brizhouizieg"-noun-bre "demi-savant"-noun-fra
"bro"-noun-bre "pays"-noun-fra
"bro"-noun-bre "pays"-noun-fra
"bro"-noun-bre "pays"-noun-fra
"broad"-noun-bre "nation"-noun-fra
"broadeler"-noun-bre "nationaliste"-noun-fra
"broadeler"-noun-bre "nationaliste"-noun-fra
"broadeler"-noun-bre "nationaliste"-noun-fra
"broadelour"-noun-bre "nationaliste"-noun-fra
"broadelour"-noun-bre "nationaliste"-noun-fra
"broadelour"-noun-bre "nationaliste"-noun-fra
"broadeladur"-noun-bre "nationalisation"-noun-fra
"broadelezh"-noun-bre "nationalité"-noun-fra
"broadelouriezh"-noun-bre "nationalisme"-noun-fra
"broch"-noun-bre "cheville"-noun-fra
"broc’h"-noun-bre "blaireau"-noun-fra
"broc’hadeg"-noun-bre "fâcherie"-noun-fra
"broc’hadenn"-noun-bre "fâcherie"-noun-fra
"broderezh"-noun-bre "broderie"-noun-fra
"broderez"-noun-bre "brodeur"-noun-fra
"broelerezh"-noun-bre "acclimatation"-noun-fra
"broen"-noun-bre "jonc"-noun-fra
"brok"-noun-bre "broc"-noun-fra
"brokard"-noun-bre "brocard"-noun-fra
"brokusted"-noun-bre "générosité"-noun-fra
"brondenn"-noun-bre "chemisette"-noun-fra
"bronduenn"-noun-bre "hématome"-noun-fra
"bronn"-noun-bre "sein"-noun-fra
"bronnadur"-noun-bre "allaitement"-noun-fra
"bronneg"-noun-bre "mammifère"-noun-fra
"broñs"-noun-bre "bourgeon"-noun-fra
"brorener"-noun-bre "gouvernant"-noun-fra
"brorener"-noun-bre "gouvernant"-noun-fra
"brorenerezh"-noun-bre "politique"-noun-fra
"broudadenn"-noun-bre "piqûre"-noun-fra
"broudeür"-noun-bre "broderie"-noun-fra
"broudvrizhell"-noun-bre "tatouage"-noun-fra
"brouezenn"-noun-bre "emportement"-noun-fra
"brouilhed"-noun-bre "brouillon"-noun-fra
"brouilhes"-noun-bre "brouille"-noun-fra
"brouskoad"-noun-bre "broussailles"-noun-fra
"broust"-noun-bre "brosse"-noun-fra
"broust blev"-noun-bre "brosse à cheveux"-noun-fra
"broust dent"-noun-bre "brosse à dents"-noun-fra
"broustenn"-noun-bre "rejeton"-noun-fra
"brouti"-noun-bre "serre"-noun-fra
"brozenn"-noun-bre "bavardage"-noun-fra
"brozennour"-noun-bre "mythomane"-noun-fra
"brozennour"-noun-bre "mythomane"-noun-fra
"brozennour"-noun-bre "mythomane"-noun-fra
"brozh"-noun-bre "jupe"-noun-fra
"bruched"-noun-bre "poitrine"-noun-fra
"brudadeg"-noun-bre "campagne publicitaire"-noun-fra
"brudadur"-noun-bre "propagation"-noun-fra
"bruderezh"-noun-bre "publicité"-noun-fra
"brud"-noun-bre "bruit"-noun-fra
"brud"-noun-bre "réputation"-noun-fra
"brudfollenn"-noun-bre "tract"-noun-fra
"brudour"-noun-bre "annonceur"-noun-fra
"brudour"-noun-bre "annonceur"-noun-fra
"brug"-noun-bre "bruyère"-noun-fra
"brugenn"-noun-bre "brosse"-noun-fra
"brulu"-noun-bre "digitale"-noun-fra
"brumenn"-noun-bre "brouillard"-noun-fra
"Bruneian"-noun-bre "Brunéien"-noun-fra
"Bruneian"-noun-bre "Brunéien"-noun-fra
"brusk"-noun-bre "poitrine"-noun-fra
"bruzun"-noun-bre "miette"-noun-fra
"bruzunadur"-noun-bre "émiettement"-noun-fra
"bual"-noun-bre "buffle"-noun-fra
"buanadenn"-noun-bre "accélération"-noun-fra
"buanadur"-noun-bre "accélération"-noun-fra
"buanaer"-noun-bre "accélérateur"-noun-fra
"buanez"-noun-bre "vitesse"-noun-fra
"budjed"-noun-bre "budget"-noun-fra
"bugaleaj"-noun-bre "enfance"-noun-fra
"bugaleerezh"-noun-bre "enfance"-noun-fra
"bugel"-noun-bre "enfant"-noun-fra
"bugelez"-noun-bre "apprenti"-noun-fra
"bugaligoù"-noun-bre "petit enfant"-noun-fra
"bugelig"-noun-bre "petit enfant"-noun-fra
"bugulgan"-noun-bre "bucolique"-noun-fra
"buhez"-noun-bre "vie"-noun-fra
"buhezad"-noun-bre "expérience"-noun-fra
"buhezadenn"-noun-bre "animation"-noun-fra
"buhezadur"-noun-bre "expérience vécue"-noun-fra
"buhezegezhour"-noun-bre "moraliste"-noun-fra
"buhezegezhour"-noun-bre "moraliste"-noun-fra
"buhezegezhour"-noun-bre "moraliste"-noun-fra
"buhezeg"-noun-bre "être vivant"-noun-fra
"buheziñ"-noun-bre "animation"-noun-fra
"buhezoniour"-noun-bre "biologiste"-noun-fra
"buhezoniour"-noun-bre "biologiste"-noun-fra
"buhezoniour"-noun-bre "biologiste"-noun-fra
"buhezour"-noun-bre "animateur"-noun-fra
"buhezour"-noun-bre "animateur"-noun-fra
"buhezskrid"-noun-bre "biographie"-noun-fra
"buhezskridour"-noun-bre "biographe"-noun-fra
"buhezskridour"-noun-bre "biographe"-noun-fra
"buhezskridour"-noun-bre "biographe"-noun-fra
"buhezskriver"-noun-bre "biographe"-noun-fra
"buhezskriver"-noun-bre "biographe"-noun-fra
"buhezskriver"-noun-bre "biographe"-noun-fra
"buhezsuner"-noun-bre "parasite"-noun-fra
"builh"-noun-bre "bulle"-noun-fra
"bukad"-noun-bre "visée"-noun-fra
"bukenn"-noun-bre "position"-noun-fra
"Bulgar"-noun-bre "Bulgare"-noun-fra
"Bulgar"-noun-bre "Bulgare"-noun-fra
"Bulgar"-noun-bre "Bulgare"-noun-fra
"bulzun"-noun-bre "navette"-noun-fra
"buoc’h"-noun-bre "vache"-noun-fra
"buoc’h -Doue"-noun-bre "coccinelle"-noun-fra
"buoc’hig -Doue"-noun-bre "coccinelle"-noun-fra
"buoc’h laezh"-noun-bre "vache laitière"-noun-fra
"buretenn"-noun-bre "biberon"-noun-fra
"burev"-noun-bre "bureau"-noun-fra
"burezh"-noun-bre "vapeur"-noun-fra
"Burkinabad"-noun-bre "Burkinabé"-noun-fra
"Burkinabad"-noun-bre "Burkinabé"-noun-fra
"Burkinabad"-noun-bre "Burkinabé"-noun-fra
"Burkinabad"-noun-bre "Burkinabé"-noun-fra
"Burundiad"-noun-bre "Burundais"-noun-fra
"Burundiad"-noun-bre "Burundais"-noun-fra
"Burundiad"-noun-bre "Burundais"-noun-fra
"Burundiad"-noun-bre "Burundais"-noun-fra
"burutelladenn"-noun-bre "critique"-noun-fra
"buruteller"-noun-bre "critique"-noun-fra
"buruteller"-noun-bre "critique"-noun-fra
"buruteller"-noun-bre "critique"-noun-fra
"burzhud"-noun-bre "miracle"-noun-fra
"butun"-noun-bre "tabac"-noun-fra
"butunenn"-noun-bre "cigarette"-noun-fra
"butuner"-noun-bre "fumeur"-noun-fra
"butuner"-noun-bre "fumeur"-noun-fra
"butunlec’h"-noun-bre "fumoir"-noun-fra
"butunva"-noun-bre "fumoir"-noun-fra
"buz"-noun-bre "victoire"-noun-fra
"buzad"-noun-bre "bénéfice"-noun-fra
"buzhug"-noun-bre "ver de terre"-noun-fra
"buzore"-noun-bre "niais"-noun-fra
"buzore"-noun-bre "niais"-noun-fra
"buzore"-noun-bre "niais"-noun-fra
"c"-noun-bre "c"-noun-fra
"ç"-noun-bre "ç"-noun-fra
"ch"-noun-bre "ch"-noun-fra
"chabistr"-noun-bre "chapitre"-noun-fra
"chabous"-noun-bre "scène de ménage"-noun-fra
"chadennad"-noun-bre "chaîne"-noun-fra
"chadenn"-noun-bre "chaîne"-noun-fra
"chaker"-noun-bre "râleur"-noun-fra
"chaker"-noun-bre "râleur"-noun-fra
"chaker"-noun-bre "grognon"-noun-fra
"chakod"-noun-bre "poche"-noun-fra
"chalboter"-noun-bre "roulier"-noun-fra
"chalboter"-noun-bre "roulier"-noun-fra
"chalotez"-noun-bre "échalote"-noun-fra
"chambarle"-noun-bre "porche"-noun-fra
"champouenn"-noun-bre "shampoing"-noun-fra
"chañs"-noun-bre "chance"-noun-fra
"chañson"-noun-bre "chanson"-noun-fra
"chanter"-noun-bre "chantier"-noun-fra
"chaodouron"-noun-bre "chaudron"-noun-fra
"chaok"-noun-bre "bavardage"-noun-fra
"chaoker"-noun-bre "rabâcheur"-noun-fra
"chaoker"-noun-bre "rabâcheur"-noun-fra
"chaoser"-noun-bre "digue"-noun-fra
"chaoson"-noun-bre "chausson"-noun-fra
"chaous"-noun-bre "sauce"-noun-fra
"chaparlank"-noun-bre "chambellan"-noun-fra
"chapel"-noun-bre "chapelle"-noun-fra
"chapeled"-noun-bre "chapelet"-noun-fra
"chapeledad"-noun-bre "file"-noun-fra
"charadenn"-noun-bre "charade"-noun-fra
"charlezenn"-noun-bre "catin"-noun-fra
"charread"-noun-bre "charroi"-noun-fra
"charreadeg"-noun-bre "convoi"-noun-fra
"charreer"-noun-bre "charroyeur"-noun-fra
"charreer"-noun-bre "charroyeur"-noun-fra
"charretour"-noun-bre "charretier"-noun-fra
"charretour"-noun-bre "charretier"-noun-fra
"chase"-noun-bre "chasse"-noun-fra
"chasgeu"-noun-bre "suisse"-noun-fra
"chastre"-noun-bre "désagrément"-noun-fra
"chastre"-noun-bre "soin"-noun-fra
"ched"-noun-bre "gîte"-noun-fra
"cheftadenn"-noun-bre "cafetière"-noun-fra
"chekennaoueg"-noun-bre "chéquier"-noun-fra
"chemizetenn"-noun-bre "chemisette"-noun-fra
"cheñchamant"-noun-bre "changement"-noun-fra
"cherif"-noun-bre "shérif"-noun-fra
"chervad"-noun-bre "bombance"-noun-fra
"chervadenn"-noun-bre "festin"-noun-fra
"chevañs"-noun-bre "chevance"-noun-fra
"chevr"-noun-bre "crevette"-noun-fra
"chiboudenn"-noun-bre "piquette"-noun-fra
"chidhouarn"-noun-bre "chaudron"-noun-fra
"chikan"-noun-bre "querelle"-noun-fra
"Chilean"-noun-bre "Chilien"-noun-fra
"Chilean"-noun-bre "Chilien"-noun-fra
"chilpadenn"-noun-bre "jappement"-noun-fra
"chimikenn"-noun-bre "allumette"-noun-fra
"chiminaou"-noun-bre "chemineau"-noun-fra
"choanenn"-noun-bre "miche"-noun-fra
"chokolad"-noun-bre "chocolat"-noun-fra
"cholpad"-noun-bre "soufflet"-noun-fra
"chomadenn"-noun-bre "séjour"-noun-fra
"chomadur"-noun-bre "séjour"-noun-fra
"chopinad"-noun-bre "verre"-noun-fra
"chouadenn"-noun-bre "cri"-noun-fra
"chouan"-noun-bre "chouan"-noun-fra
"chouchenn"-noun-bre "chouchenn"-noun-fra
"choukenn"-noun-bre "garniture de sabot"-noun-fra
"chouradenn"-noun-bre "caresse"-noun-fra
"chourikadenn"-noun-bre "grincement"-noun-fra
"chuchuenn"-noun-bre "lambine"-noun-fra
"chug"-noun-bre "jus"-noun-fra
"chug"-noun-bre "jus"-noun-fra
"chug"-noun-bre "jus"-noun-fra
"chug avaloù"-noun-bre "jus de pomme"-noun-fra
"chug avaloù"-noun-bre "jus de pomme"-noun-fra
"chug avaloù"-noun-bre "jus de pomme"-noun-fra
"chug -frouezh"-noun-bre "jus de fruit"-noun-fra
"chug -frouezh"-noun-bre "jus de fruit"-noun-fra
"chug -frouezh"-noun-bre "jus de fruit"-noun-fra
"chug orañjez"-noun-bre "jus d’orange"-noun-fra
"chug orañjez"-noun-bre "jus d’orange"-noun-fra
"chug orañjez"-noun-bre "jus d’orange"-noun-fra
"chug rezin"-noun-bre "jus de raisin"-noun-fra
"chug rezin"-noun-bre "jus de raisin"-noun-fra
"chug rezin"-noun-bre "jus de raisin"-noun-fra
"chutell"-noun-bre "tétine"-noun-fra
"c’h"-noun-bre "c’h"-noun-fra
"c’hoant"-noun-bre "envie"-noun-fra
"c’hoant kousket"-noun-bre "envie de dormir"-noun-fra
"c’hoar"-noun-bre "soeur"-noun-fra
"c’hoarig"-noun-bre "petite soeur"-noun-fra
"c’hwec’hkogn"-noun-bre "hexagone"-noun-fra
"c’hwec’hkogneg"-noun-bre "hexagone"-noun-fra
"c’hwec’hmizvezh"-noun-bre "semestre"-noun-fra
"c’hwec’htroadeg"-noun-bre "insecte"-noun-fra
"c’hwed"-noun-bre "vomissement"-noun-fra
"c’hwedadenn"-noun-bre "vomissement"-noun-fra
"c’hwedenn"-noun-bre "vomissement"-noun-fra
"c’hweladur"-noun-bre "rotation"-noun-fra
"c’hweldro"-noun-bre "révolutif"-noun-fra
"c’hweldrogemm"-noun-bre "permutation circulaire"-noun-fra
"c’hwelgevrat"-noun-bre "convention collective"-noun-fra
"c’hweluniad"-noun-bre "syndicat"-noun-fra
"c’hwen"-noun-bre "puce"-noun-fra
"c’hwennad"-noun-bre "sarclage"-noun-fra
"c’hwennadeg"-noun-bre "sarclage"-noun-fra
"c’hwennadenn"-noun-bre "sarclage"-noun-fra
"c’hwennadur"-noun-bre "sarclure"-noun-fra
"c’hwenenn"-noun-bre "jolie fille"-noun-fra
"c’hwenner"-noun-bre "sarcleur"-noun-fra
"c’hwenner"-noun-bre "sarcleur"-noun-fra
"c’hwervder"-noun-bre "amertume"-noun-fra
"c’hwez"-noun-bre "sueur"-noun-fra
"c’hwezadenn"-noun-bre "suée"-noun-fra
"c’hwezadur"-noun-bre "sueur"-noun-fra
"c’hwezenn"-noun-bre "sueur"-noun-fra
"c’hwezhadur"-noun-bre "gonflement"-noun-fra
"c’hwezerez"-noun-bre "gonfleur"-noun-fra
"c’hwezh"-noun-bre "odeur"-noun-fra
"c’hwezhadenn"-noun-bre "souffle"-noun-fra
"c’hwezhenn"-noun-bre "odeur"-noun-fra
"c’hwezhigell"-noun-bre "ballon"-noun-fra
"c’hwezigell"-noun-bre "vessie"-noun-fra
